col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,State Treasurer - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Joe Torsella,Write-In,Amy Roat,Lisa Powley,Alvaro Quinones,Vayda Good,Lorraine Haw,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Pamela Robinson,Michele Lockman,Mona Getzes Cohen,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Write-In,All
Joe Torsella,167,0,"1,849","1,802","1,702","1,699","1,678","1,637","1,523","1,483","1,381","1,327","1,300","1,165","1,127","1,121",45,All
Write-In,,4,8,7,9,9,8,9,8,9,1,1,1,1,1,2,16,All
Amy Roat,,,6,"1,979","1,796","1,827","1,838","1,790","1,697","1,653",476,409,398,285,265,256,4,All
Lisa Powley,,,,1,"1,757","1,778","1,797","1,747","1,652","1,619",464,419,396,274,267,259,3,All
Alvaro Quinones,,,,,7,"1,805","1,759","1,750","1,696","1,668",302,261,313,184,178,163,3,All
Vayda Good,,,,,,1,"1,805","1,778","1,701","1,653",304,261,330,151,133,138,5,All
Lorraine Haw,,,,,,,2,"1,761","1,681","1,650",311,268,303,140,132,133,4,All
Kempis Ghani Songster,,,,,,,,3,"1,707","1,641",262,214,259,153,132,129,7,All
Ronald Raju Joseph,,,,,,,,,2,"1,642",150,114,165,97,81,75,3,All
Adam Tennant,,,,,,,,,,3,121,105,136,83,76,78,1,All
Pamela Robinson,,,,,,,,,,,12,"1,393","1,312","1,273","1,240","1,224",34,All
Michele Lockman,,,,,,,,,,,,6,"1,311","1,262","1,250","1,237",33,All
Mona Getzes Cohen,,,,,,,,,,,,,3,"1,163","1,150","1,140",36,All
Anthony Bellmon,,,,,,,,,,,,,,4,"1,221","1,217",34,All
Patrick Parkinson,,,,,,,,,,,,,,,6,"1,210",33,All
Theodore Kirsch,,,,,,,,,,,,,,,,1,33,All
Write-In,,,,,,,,,,,,,,,,,1,All
Total,"3,181",16,"2,208","2,137","2,027","2,015","1,990","1,962","1,823","1,775","1,617","1,541","1,490","1,367","1,330","1,309",66,All
,State Treasurer - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,1
,Joe Torsella,Write-In,Amy Roat,Lisa Powley,Lorraine Haw,Vayda Good,Alvaro Quinones,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Pamela Robinson,Michele Lockman,Mona Getzes Cohen,Anthony Bellmon,Theodore Kirsch,Patrick Parkinson,Write-In,1
Joe Torsella,17,0,167,162,142,142,143,139,132,125,122,112,111,99,93,90,0,1
Write-In,,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,0,1
Amy Roat,,,0,179,167,165,165,160,156,151,51,41,38,26,22,22,0,1
Lisa Powley,,,,0,153,157,156,152,147,143,51,45,42,28,23,24,0,1
Lorraine Haw,,,,,0,158,154,156,149,146,30,24,22,11,8,7,0,1
Vayda Good,,,,,,0,160,161,153,146,25,24,23,10,7,4,0,1
Alvaro Quinones,,,,,,,0,154,149,143,27,22,22,16,13,9,0,1
Kempis Ghani Songster,,,,,,,,0,153,144,28,23,24,15,12,11,0,1
Ronald Raju Joseph,,,,,,,,,0,148,19,12,13,7,7,5,0,1
Adam Tennant,,,,,,,,,,1,15,11,11,6,5,5,0,1
Pamela Robinson,,,,,,,,,,,1,117,116,107,99,101,0,1
Michele Lockman,,,,,,,,,,,,0,114,100,98,94,0,1
Mona Getzes Cohen,,,,,,,,,,,,,0,100,96,95,0,1
Anthony Bellmon,,,,,,,,,,,,,,0,98,95,0,1
Theodore Kirsch,,,,,,,,,,,,,,,0,95,0,1
Patrick Parkinson,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,0,1
Total,273,3,202,192,176,176,175,173,163,157,141,127,125,112,105,104,0,1
,State Treasurer - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,2
