col_1,col_2,col_3,division
,Attorney General - Republican,,All
,Heather Heidelbaugh,Write-In,All
Heather Heidelbaugh,663,0,All
Write-In,,12,All
Total,663,12,All
,Attorney General - Republican,,1
,Heather Heidelbaugh,Write-In,1
Heather Heidelbaugh,16,0,1
Write-In,,0,1
Total,16,0,1
,Attorney General - Republican,,2
,Heather Heidelbaugh,Write-In,2
Heather Heidelbaugh,18,0,2
Write-In,,0,2
Total,18,0,2
,Attorney General - Republican,,3
,Heather Heidelbaugh,Write-In,3
Heather Heidelbaugh,21,0,3
Write-In,,1,3
Total,21,1,3
,Attorney General - Republican,,4
,Heather Heidelbaugh,Write-In,4
Heather Heidelbaugh,19,0,4
Write-In,,0,4
Total,19,0,4
,Attorney General - Republican,,5
,Heather Heidelbaugh,Write-In,5
Heather Heidelbaugh,12,0,5
Write-In,,0,5
Total,12,0,5
,Attorney General - Republican,,6
,Heather Heidelbaugh,Write-In,6
Heather Heidelbaugh,18,0,6
Write-In,,0,6
Total,18,0,6
,Attorney General - Republican,,7
,Heather Heidelbaugh,Write-In,7
Heather Heidelbaugh,28,0,7
Write-In,,1,7
Total,28,1,7
,Attorney General - Republican,,8
,Heather Heidelbaugh,Write-In,8
Heather Heidelbaugh,21,0,8
Write-In,,1,8
Total,21,1,8
,Attorney General - Republican,,9
,Heather Heidelbaugh,Write-In,9
Heather Heidelbaugh,19,0,9
Write-In,,0,9
Total,19,0,9
,Attorney General - Republican,,10
,Heather Heidelbaugh,Write-In,10
Heather Heidelbaugh,26,0,10
Write-In,,1,10
Total,26,1,10
,Attorney General - Republican,,11
,Heather Heidelbaugh,Write-In,11
Heather Heidelbaugh,16,0,11
Write-In,,0,11
Total,16,0,11
,Attorney General - Republican,,12
,Heather Heidelbaugh,Write-In,12
Heather Heidelbaugh,8,0,12
Write-In,,0,12
Total,8,0,12
,Attorney General - Republican,,13
,Heather Heidelbaugh,Write-In,13
Heather Heidelbaugh,14,0,13
Write-In,,0,13
Total,14,0,13
,Attorney General - Republican,,14
,Heather Heidelbaugh,Write-In,14
Heather Heidelbaugh,12,0,14
Write-In,,0,14
Total,12,0,14
,Attorney General - Republican,,15
,Heather Heidelbaugh,Write-In,15
Heather Heidelbaugh,25,0,15
Write-In,,1,15
Total,25,1,15
,Attorney General - Republican,,16
,Heather Heidelbaugh,Write-In,16
Heather Heidelbaugh,21,0,16
Write-In,,0,16
Total,21,0,16
,Attorney General - Republican,,17
,Heather Heidelbaugh,Write-In,17
Heather Heidelbaugh,22,0,17
Write-In,,0,17
Total,22,0,17
,Attorney General - Republican,,18
,Heather Heidelbaugh,Write-In,18
Heather Heidelbaugh,36,0,18
Write-In,,1,18
Total,36,1,18
,Attorney General - Republican,,19
,Heather Heidelbaugh,Write-In,19
Heather Heidelbaugh,20,0,19
Write-In,,2,19
Total,20,2,19
,Attorney General - Republican,,20
,Heather Heidelbaugh,Write-In,20
Heather Heidelbaugh,9,0,20
Write-In,,0,20
Total,9,0,20
,Attorney General - Republican,,21
,Heather Heidelbaugh,Write-In,21
Heather Heidelbaugh,25,0,21
Write-In,,0,21
Total,25,0,21
,Attorney General - Republican,,22
,Heather Heidelbaugh,Write-In,22
Heather Heidelbaugh,12,0,22
Write-In,,0,22
Total,12,0,22
,Attorney General - Republican,,23
,Heather Heidelbaugh,Write-In,23
Heather Heidelbaugh,12,0,23
Write-In,,0,23
Total,12,0,23
,Attorney General - Republican,,24
,Heather Heidelbaugh,Write-In,24
Heather Heidelbaugh,23,0,24
Write-In,,0,24
Total,23,0,24
,Attorney General - Republican,,25
,Heather Heidelbaugh,Write-In,25
Heather Heidelbaugh,45,0,25
Write-In,,0,25
Total,45,0,25
,Attorney General - Republican,,26
,Heather Heidelbaugh,Write-In,26
Heather Heidelbaugh,15,0,26
Write-In,,1,26
Total,15,1,26
,Attorney General - Republican,,27
,Heather Heidelbaugh,Write-In,27
Heather Heidelbaugh,14,0,27
Write-In,,0,27
Total,14,0,27
,Attorney General - Republican,,28
,Heather Heidelbaugh,Write-In,28
Heather Heidelbaugh,8,0,28
Write-In,,0,28
Total,8,0,28
,Attorney General - Republican,,29
,Heather Heidelbaugh,Write-In,29
Heather Heidelbaugh,29,0,29
Write-In,,1,29
Total,29,1,29
,Attorney General - Republican,,30
,Heather Heidelbaugh,Write-In,30
Heather Heidelbaugh,29,0,30
Write-In,,0,30
Total,29,0,30
,Attorney General - Republican,,31
,Heather Heidelbaugh,Write-In,31
Heather Heidelbaugh,17,0,31
Write-In,,0,31
Total,17,0,31
,Attorney General - Republican,,32
,Heather Heidelbaugh,Write-In,32
Heather Heidelbaugh,15,0,32
Write-In,,0,32
Total,15,0,32
,Attorney General - Republican,,33
,Heather Heidelbaugh,Write-In,33
Heather Heidelbaugh,9,0,33
Write-In,,1,33
Total,9,1,33
,Attorney General - Republican,,34
,Heather Heidelbaugh,Write-In,34
Heather Heidelbaugh,10,0,34
Write-In,,0,34
Total,10,0,34
,Attorney General - Republican,,35
,Heather Heidelbaugh,Write-In,35
Heather Heidelbaugh,19,0,35
Write-In,,1,35
Total,19,1,35
