col_1,col_2,col_3,col_4,division
,Senator In The General Assembly 1st District - Democrat,,,All
,Nikil Saval,Larry Farnese,Write-In,All
Nikil Saval,"3,172",0,0,All
Larry Farnese,,"2,585",0,All
Write-In,,,10,All
Total,"3,172","2,585",10,All
,Senator In The General Assembly 1st District - Democrat,,,1
,Nikil Saval,Larry Farnese,Write-In,1
Nikil Saval,205,0,0,1
Larry Farnese,,160,0,1
Write-In,,,0,1
Total,205,160,0,1
,Senator In The General Assembly 1st District - Democrat,,,2
,Nikil Saval,Larry Farnese,Write-In,2
Nikil Saval,174,0,0,2
Larry Farnese,,172,0,2
Write-In,,,1,2
Total,174,172,1,2
,Senator In The General Assembly 1st District - Democrat,,,3
,Nikil Saval,Larry Farnese,Write-In,3
Nikil Saval,231,0,0,3
Larry Farnese,,107,0,3
Write-In,,,0,3
Total,231,107,0,3
,Senator In The General Assembly 1st District - Democrat,,,4
,Nikil Saval,Larry Farnese,Write-In,4
Nikil Saval,106,0,0,4
Larry Farnese,,90,0,4
Write-In,,,1,4
Total,106,90,1,4
,Senator In The General Assembly 1st District - Democrat,,,5
,Larry Farnese,Nikil Saval,Write-In,5
Larry Farnese,138,0,0,5
Nikil Saval,,138,0,5
Write-In,,,0,5
Total,138,138,0,5
,Senator In The General Assembly 1st District - Democrat,,,6
,Larry Farnese,Nikil Saval,Write-In,6
Larry Farnese,343,0,0,6
Nikil Saval,,108,0,6
Write-In,,,0,6
Total,343,108,0,6
,Senator In The General Assembly 1st District - Democrat,,,7
,Nikil Saval,Larry Farnese,Write-In,7
Nikil Saval,238,0,0,7
Larry Farnese,,103,0,7
Write-In,,,1,7
Total,238,103,1,7
,Senator In The General Assembly 1st District - Democrat,,,8
,Nikil Saval,Larry Farnese,Write-In,8
Nikil Saval,174,0,0,8
Larry Farnese,,128,0,8
Write-In,,,2,8
Total,174,128,2,8
,Senator In The General Assembly 1st District - Democrat,,,9
,Larry Farnese,Nikil Saval,Write-In,9
Larry Farnese,156,0,0,9
Nikil Saval,,156,0,9
Write-In,,,0,9
Total,156,156,0,9
,Senator In The General Assembly 1st District - Democrat,,,10
,Nikil Saval,Larry Farnese,Write-In,10
Nikil Saval,200,0,0,10
Larry Farnese,,105,0,10
Write-In,,,0,10
Total,200,105,0,10
,Senator In The General Assembly 1st District - Democrat,,,11
,Nikil Saval,Larry Farnese,Write-In,11
Nikil Saval,151,0,0,11
Larry Farnese,,92,0,11
Write-In,,,1,11
Total,151,92,1,11
,Senator In The General Assembly 1st District - Democrat,,,12
,Nikil Saval,Larry Farnese,Write-In,12
Nikil Saval,193,0,0,12
Larry Farnese,,110,0,12
Write-In,,,0,12
Total,193,110,0,12
,Senator In The General Assembly 1st District - Democrat,,,13
,Nikil Saval,Larry Farnese,Write-In,13
Nikil Saval,138,0,0,13
Larry Farnese,,122,0,13
Write-In,,,0,13
Total,138,122,0,13
,Senator In The General Assembly 1st District - Democrat,,,14
,Nikil Saval,Larry Farnese,Write-In,14
Nikil Saval,147,0,0,14
Larry Farnese,,145,0,14
Write-In,,,0,14
Total,147,145,0,14
,Senator In The General Assembly 1st District - Democrat,,,15
,Nikil Saval,Larry Farnese,Write-In,15
Nikil Saval,117,0,0,15
Larry Farnese,,93,0,15
Write-In,,,0,15
Total,117,93,0,15
,Senator In The General Assembly 1st District - Democrat,,,16
,Nikil Saval,Larry Farnese,Write-In,16
Nikil Saval,158,0,0,16
Larry Farnese,,142,0,16
Write-In,,,1,16
Total,158,142,1,16
,Senator In The General Assembly 1st District - Democrat,,,17
,Nikil Saval,Larry Farnese,Write-In,17
Nikil Saval,177,0,0,17
Larry Farnese,,134,0,17
Write-In,,,2,17
Total,177,134,2,17
,Senator In The General Assembly 1st District - Democrat,,,18
,Nikil Saval,Larry Farnese,Write-In,18
Nikil Saval,207,0,0,18
Larry Farnese,,123,0,18
Write-In,,,0,18
Total,207,123,0,18
,Senator In The General Assembly 1st District - Democrat,,,19
,Nikil Saval,Larry Farnese,Write-In,19
Nikil Saval,154,0,0,19
Larry Farnese,,122,0,19
Write-In,,,1,19
Total,154,122,1,19
