col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Representative In The General Assembly 179th District - Democrat,,Auditor General - Democrat,,,,,,,All
,Jason Dawkins,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,H Scott Conklin,Write-In,All
Jason Dawkins,1,0,77,24,8,3,2,2,0,All
Write-In,,0,0,0,0,0,0,0,0,All
Nina Ahmad,,,9,0,0,0,0,0,0,All
Michael Lamb,,,,1,0,0,0,0,0,All
Rose Rosie Marie Davis,,,,,2,0,0,0,0,All
Tracie Fountain,,,,,,3,0,0,0,All
Christina M Hartman,,,,,,,1,0,0,All
H Scott Conklin,,,,,,,,0,0,All
Write-In,,,,,,,,,0,All
Total,117,0,86,25,10,6,3,2,0,All
,Representative In The General Assembly 179th District - Democrat,,Auditor General - Democrat,,,,,,,1
,Jason Dawkins,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,H Scott Conklin,Write-In,1
Jason Dawkins,1,0,77,24,8,3,2,2,0,1
Write-In,,0,0,0,0,0,0,0,0,1
Nina Ahmad,,,9,0,0,0,0,0,0,1
Michael Lamb,,,,1,0,0,0,0,0,1
Rose Rosie Marie Davis,,,,,2,0,0,0,0,1
Tracie Fountain,,,,,,3,0,0,0,1
Christina M Hartman,,,,,,,1,0,0,1
H Scott Conklin,,,,,,,,0,0,1
Write-In,,,,,,,,,0,1
Total,117,0,86,25,10,6,3,2,0,1
