col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Auditor General - Democrat,,,,,,,Representative In The General Assembly 175th District - Democrat,,,,,All
,Nina Ahmad,Christina M Hartman,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Write-In,Marylouise Isaacson,Vanessa Mcgrath,Jeff Dempsey,Andre Del Valle,Write-In,All
Nina Ahmad,571,0,0,0,0,0,0,"3,222","2,967","1,998","1,182",5,All
Christina M Hartman,,25,0,0,0,0,0,764,336,148,103,0,All
Michael Lamb,,,48,0,0,0,0,534,310,274,108,3,All
Tracie Fountain,,,,26,0,0,0,316,281,197,155,0,All
Rose Rosie Marie Davis,,,,,14,0,0,135,141,64,103,1,All
H Scott Conklin,,,,,,13,0,128,67,107,40,0,All
Write-In,,,,,,,3,1,1,6,2,4,All
Marylouise Isaacson,,,,,,,,261,0,0,0,0,All
Vanessa Mcgrath,,,,,,,,,150,0,0,0,All
Jeff Dempsey,,,,,,,,,,149,0,0,All
Andre Del Valle,,,,,,,,,,,86,0,All
Write-In,,,,,,,,,,,,1,All
Total,"9,945","1,376","1,277",975,458,355,17,"5,361","4,253","2,943","1,779",14,All
