col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In The General Assembly 191st District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joanna E Mcclinton,Write-In,Malcolm Kenyatta,Nina Tinari,Ken Washington,Cindy Bass,Charlene Cooper,Terry Gillen,Wynnetta Ward,Matthew Miller,Anuj Gupta,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Daisy Confoy,Christina Borst,Steve Paul,Arielle Cohen,Carla Le'Coin,Bryan Mercer,Paul Prescod,Jack Cahill,Sergio Cea,Daniel Laufer,Write-In,All
Joanna E Mcclinton,244,0,"3,190","3,162","3,103","3,068","3,045","3,055","3,016","2,896","2,895","2,841","2,692",940,839,770,746,713,680,653,624,630,619,579,552,539,500,26,All
Write-In,,2,9,9,6,8,5,4,5,7,8,6,5,1,2,1,0,0,2,1,0,3,2,1,6,1,1,2,All
Malcolm Kenyatta,,,12,"3,125","3,242","3,039","3,066","3,087","3,193","3,126","2,946","3,059","2,715",485,380,366,293,299,393,224,335,349,349,187,272,269,231,14,All
Nina Tinari,,,,26,"3,114","3,151","3,172","3,165","3,015","2,947","3,044","2,867","2,871",595,468,479,408,405,330,317,237,287,272,303,215,205,165,27,All
Ken Washington,,,,,14,"3,004","3,066","3,092","3,128","3,092","2,936","2,971","2,739",472,358,362,314,300,369,229,289,336,347,217,272,266,217,21,All
Cindy Bass,,,,,,1,"3,130","3,109","2,944","2,868","2,998","2,776","2,841",576,490,452,428,388,285,323,251,240,242,286,192,174,138,12,All
Charlene Cooper,,,,,,,1,"3,163","2,994","2,942","3,045","2,857","2,825",559,443,443,396,390,292,304,240,256,246,298,182,183,110,12,All
Terry Gillen,,,,,,,,1,"3,004","2,973","3,023","2,889","2,844",569,437,454,385,386,307,306,249,262,266,305,216,191,160,13,All
Wynnetta Ward,,,,,,,,,6,"3,007","2,854","2,956","2,625",463,359,345,293,284,367,214,327,336,326,172,278,260,219,13,All
Matthew Miller,,,,,,,,,,2,"2,825","2,938","2,650",406,297,297,244,235,335,147,269,298,302,151,242,237,197,11,All
Anuj Gupta,,,,,,,,,,,0,"2,755","2,767",521,408,429,376,364,260,276,211,223,215,275,139,165,111,10,All
Lindy Li,,,,,,,,,,,,5,"2,632",377,309,269,276,219,320,160,283,305,285,135,231,241,195,13,All
Owen Voutsinas-Klose,,,,,,,,,,,,,2,437,387,342,358,290,201,279,189,180,183,245,144,147,114,10,All
Sherrie Cohen,,,,,,,,,,,,,,3,670,627,596,590,458,584,461,424,408,519,374,364,377,2,All
Heather Pope,,,,,,,,,,,,,,,8,559,597,553,411,549,462,393,400,486,380,379,361,9,All
Joanne Beer,,,,,,,,,,,,,,,,0,544,587,421,511,405,346,372,516,347,370,347,0,All
Anlin Wang,,,,,,,,,,,,,,,,,1,523,360,536,407,363,352,482,342,386,329,2,All
Daisy Confoy,,,,,,,,,,,,,,,,,,1,431,498,402,385,340,512,337,366,339,1,All
Christina Borst,,,,,,,,,,,,,,,,,,,0,361,449,502,477,309,434,413,440,1,All
Steve Paul,,,,,,,,,,,,,,,,,,,,1,382,353,359,471,364,349,346,1,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,,1,425,407,340,401,438,400,2,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,0,470,328,431,409,420,12,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,0,334,422,398,412,9,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,1,311,328,307,1,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,0,373,419,10,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,,0,368,1,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"4,401",19,"3,665","3,652","3,582","3,496","3,468","3,466","3,453","3,303","3,285","3,252","3,064","1,037",949,867,820,792,769,724,719,716,701,649,636,614,570,46,All
