col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Attorney General - Democrat,,Auditor General - Democrat,,,,,,,All
,Josh Shapiro,Write-In,Nina Ahmad,Michael Lamb,Christina M Hartman,Rose Rosie Marie Davis,H Scott Conklin,Tracie Fountain,Write-In,All
Josh Shapiro,187,0,"2,719",426,255,159,184,139,4,All
Write-In,,4,6,0,7,2,1,1,11,All
Nina Ahmad,,,524,0,0,0,0,0,0,All
Michael Lamb,,,,69,0,0,0,0,0,All
Christina M Hartman,,,,,76,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,79,0,0,0,All
H Scott Conklin,,,,,,,28,0,0,All
Tracie Fountain,,,,,,,,54,0,All
Write-In,,,,,,,,,0,All
Total,"4,073",32,"3,249",495,338,240,213,194,15,All
,Attorney General - Democrat,,Auditor General - Democrat,,,,,,,1
,Josh Shapiro,Write-In,Nina Ahmad,Michael Lamb,Christina M Hartman,H Scott Conklin,Rose Rosie Marie Davis,Tracie Fountain,Write-In,1
Josh Shapiro,1,0,63,16,10,5,3,2,0,1
Write-In,,0,0,0,0,0,0,0,0,1
Nina Ahmad,,,5,0,0,0,0,0,0,1
Michael Lamb,,,,0,0,0,0,0,0,1
Christina M Hartman,,,,,1,0,0,0,0,1
H Scott Conklin,,,,,,2,0,0,0,1
Rose Rosie Marie Davis,,,,,,,4,0,0,1
Tracie Fountain,,,,,,,,2,0,1
Write-In,,,,,,,,,0,1
Total,100,0,68,16,11,7,7,4,0,1
,Attorney General - Democrat,,Auditor General - Democrat,,,,,,,2
,Josh Shapiro,Write-In,Nina Ahmad,Christina M Hartman,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Write-In,2
Josh Shapiro,1,0,45,6,4,4,2,1,0,2
Write-In,,0,0,0,0,0,0,0,0,2
Nina Ahmad,,,7,0,0,0,0,0,0,2
Christina M Hartman,,,,0,0,0,0,0,0,2
Michael Lamb,,,,,2,0,0,0,0,2
Rose Rosie Marie Davis,,,,,,0,0,0,0,2
Tracie Fountain,,,,,,,0,0,0,2
H Scott Conklin,,,,,,,,0,0,2
Write-In,,,,,,,,,0,2
Total,63,0,52,6,6,4,2,1,0,2
,Attorney General - Democrat,,Auditor General - Democrat,,,,,,,3
,Josh Shapiro,Write-In,Nina Ahmad,H Scott Conklin,Christina M Hartman,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Write-In,3
Josh Shapiro,2,0,33,6,3,5,4,1,0,3
Write-In,,0,0,0,0,0,0,0,0,3
Nina Ahmad,,,6,0,0,0,0,0,0,3
H Scott Conklin,,,,0,0,0,0,0,0,3
Christina M Hartman,,,,,2,0,0,0,0,3
Michael Lamb,,,,,,0,0,0,0,3
Tracie Fountain,,,,,,,0,0,0,3
Rose Rosie Marie Davis,,,,,,,,0,0,3
Write-In,,,,,,,,,0,3
Total,54,0,39,6,5,5,4,1,0,3
,Attorney General - Democrat,,Auditor General - Democrat,,,,,,,4
,Josh Shapiro,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,4
Josh Shapiro,7,0,39,8,3,5,3,2,0,4
Write-In,,0,0,0,0,0,0,0,0,4
Nina Ahmad,,,4,0,0,0,0,0,0,4
Michael Lamb,,,,2,0,0,0,0,0,4
Tracie Fountain,,,,,3,0,0,0,0,4
Rose Rosie Marie Davis,,,,,,0,0,0,0,4
Christina M Hartman,,,,,,,1,0,0,4
H Scott Conklin,,,,,,,,0,0,4
Write-In,,,,,,,,,0,4
Total,67,0,43,10,6,5,4,2,0,4
,Attorney General - Democrat,,Auditor General - Democrat,,,,,,,5
,Josh Shapiro,Write-In,Nina Ahmad,H Scott Conklin,Christina M Hartman,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,Write-In,5
Josh Shapiro,9,0,66,14,5,7,4,4,0,5
Write-In,,0,0,0,1,0,0,0,0,5
Nina Ahmad,,,11,0,0,0,0,0,0,5
H Scott Conklin,,,,0,0,0,0,0,0,5
Christina M Hartman,,,,,1,0,0,0,0,5
Michael Lamb,,,,,,0,0,0,0,5
Rose Rosie Marie Davis,,,,,,,1,0,0,5
Tracie Fountain,,,,,,,,1,0,5
Write-In,,,,,,,,,0,5
Total,109,1,77,14,7,7,5,5,0,5
,Attorney General - Democrat,,Auditor General - Democrat,,,,,,,6
,Josh Shapiro,Write-In,Nina Ahmad,Michael Lamb,Christina M Hartman,H Scott Conklin,Tracie Fountain,Rose Rosie Marie Davis,Write-In,6
Josh Shapiro,7,0,44,13,6,6,4,3,0,6
Write-In,,0,0,0,0,0,0,1,1,6
Nina Ahmad,,,8,0,0,0,0,0,0,6
Michael Lamb,,,,1,0,0,0,0,0,6
Christina M Hartman,,,,,3,0,0,0,0,6
H Scott Conklin,,,,,,1,0,0,0,6
Tracie Fountain,,,,,,,1,0,0,6
Rose Rosie Marie Davis,,,,,,,,0,0,6
Write-In,,,,,,,,,0,6
Total,83,2,52,14,9,7,5,4,1,6
,Attorney General - Democrat,,Auditor General - Democrat,,,,,,,7
,Josh Shapiro,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Christina M Hartman,Rose Rosie Marie Davis,H Scott Conklin,Write-In,7
Josh Shapiro,1,0,35,9,6,4,2,1,0,7
Write-In,,0,1,0,0,0,1,0,0,7
Nina Ahmad,,,3,0,0,0,0,0,0,7
Michael Lamb,,,,5,0,0,0,0,0,7
Tracie Fountain,,,,,0,0,0,0,0,7
Christina M Hartman,,,,,,1,0,0,0,7
Rose Rosie Marie Davis,,,,,,,0,0,0,7
H Scott Conklin,,,,,,,,1,0,7
