col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Auditor General - Democrat,,,,,,,All
,Maryanne Donaghy,Samantha Newell,Colleen Guiney,Rebecca Divalerio,Michel Lee,Karyn Hollis,Amanda Mcillmurray,Cora Linehan,John Randolph,Jake Metzger,Deidre Selig,Tray Herman,Ryan Yeager,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,H Scott Conklin,Write-In,All
Maryanne Donaghy,18,845,871,817,201,189,225,145,143,108,156,145,158,7,643,72,82,55,38,20,0,All
Samantha Newell,,12,823,858,242,238,174,194,186,152,120,103,108,7,646,77,65,51,37,28,0,All
Colleen Guiney,,,3,793,174,169,211,113,116,98,150,131,145,7,634,70,73,51,34,20,0,All
Rebecca Divalerio,,,,4,234,232,167,188,182,152,102,110,114,7,605,75,74,49,35,26,0,All
Michel Lee,,,,,2,275,188,245,238,216,177,167,153,0,205,52,34,23,23,23,0,All
Karyn Hollis,,,,,,2,187,245,232,217,166,163,129,0,197,51,32,20,19,19,0,All
Amanda Mcillmurray,,,,,,,0,165,126,139,209,169,190,0,200,35,34,26,16,8,0,All
Cora Linehan,,,,,,,,2,220,221,168,163,129,0,171,47,20,25,13,26,0,All
John Randolph,,,,,,,,,0,202,134,147,129,0,152,50,26,21,13,22,0,All
Jake Metzger,,,,,,,,,,6,148,154,126,0,140,43,22,18,15,26,0,All
Deidre Selig,,,,,,,,,,,0,167,162,0,161,32,28,23,12,9,0,All
Tray Herman,,,,,,,,,,,,1,165,0,154,30,30,18,9,13,0,All
Ryan Yeager,,,,,,,,,,,,,0,3,154,29,27,17,9,9,0,All
Write-In,,,,,,,,,,,,,,1,2,0,0,1,0,0,0,All
Nina Ahmad,,,,,,,,,,,,,,,73,0,0,0,0,0,0,All
Michael Lamb,,,,,,,,,,,,,,,,15,0,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,,,,,,,,,,,,12,0,0,0,0,All
Tracie Fountain,,,,,,,,,,,,,,,,,,7,0,0,0,All
Christina M Hartman,,,,,,,,,,,,,,,,,,,3,0,0,All
H Scott Conklin,,,,,,,,,,,,,,,,,,,,6,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,1,All
Total,"1,013","1,000",958,942,390,365,336,328,308,294,279,274,265,8,888,134,123,89,56,52,1,All
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,Auditor General - Democrat,,,,,,,3
