col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,All
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,All
Joe Torsella,88,0,"2,338",384,264,116,132,73,2,All
Write-In,,0,8,0,0,0,1,0,1,All
Nina Ahmad,,,596,0,0,0,0,0,0,All
Michael Lamb,,,,91,0,0,0,0,0,All
Tracie Fountain,,,,,73,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,84,0,0,0,All
Christina M Hartman,,,,,,,15,0,0,All
H Scott Conklin,,,,,,,,15,0,All
Write-In,,,,,,,,,0,All
Total,"3,397",10,"2,942",475,337,200,148,88,3,All
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,1
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,1
Joe Torsella,2,0,20,15,4,2,3,0,0,1
Write-In,,0,0,0,0,0,0,0,0,1
Nina Ahmad,,,18,0,0,0,0,0,0,1
Michael Lamb,,,,7,0,0,0,0,0,1
Rose Rosie Marie Davis,,,,,5,0,0,0,0,1
Tracie Fountain,,,,,,3,0,0,0,1
H Scott Conklin,,,,,,,1,0,0,1
Christina M Hartman,,,,,,,,0,0,1
Write-In,,,,,,,,,0,1
Total,46,0,38,22,9,5,4,0,0,1
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,2
,Joe Torsella,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,2
Joe Torsella,6,0,127,17,18,7,6,3,0,2
Write-In,,0,0,0,0,0,0,0,0,2
Nina Ahmad,,,50,0,0,0,0,0,0,2
Tracie Fountain,,,,9,0,0,0,0,0,2
Michael Lamb,,,,,7,0,0,0,0,2
Rose Rosie Marie Davis,,,,,,8,0,0,0,2
H Scott Conklin,,,,,,,1,0,0,2
Christina M Hartman,,,,,,,,0,0,2
Write-In,,,,,,,,,0,2
Total,184,0,177,26,25,15,7,3,0,2
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,3
,Joe Torsella,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,3
Joe Torsella,3,0,103,22,15,6,4,1,0,3
Write-In,,0,0,0,0,0,0,0,0,3
Nina Ahmad,,,39,0,0,0,0,0,0,3
Tracie Fountain,,,,8,0,0,0,0,0,3
Michael Lamb,,,,,3,0,0,0,0,3
Rose Rosie Marie Davis,,,,,,6,0,0,0,3
H Scott Conklin,,,,,,,2,0,0,3
Christina M Hartman,,,,,,,,1,0,3
Write-In,,,,,,,,,0,3
Total,154,0,142,30,18,12,6,2,0,3
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,4
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,4
Joe Torsella,2,0,63,14,7,10,2,3,0,4
Write-In,,0,0,0,0,0,0,0,0,4
Nina Ahmad,,,14,0,0,0,0,0,0,4
Michael Lamb,,,,3,0,0,0,0,0,4
Rose Rosie Marie Davis,,,,,6,0,0,0,0,4
Tracie Fountain,,,,,,3,0,0,0,4
H Scott Conklin,,,,,,,2,0,0,4
Christina M Hartman,,,,,,,,0,0,4
Write-In,,,,,,,,,0,4
Total,101,0,77,17,13,13,4,3,0,4
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,5
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,5
Joe Torsella,2,0,44,14,14,1,1,1,0,5
Write-In,,0,0,0,0,0,0,0,0,5
Nina Ahmad,,,23,0,0,0,0,0,0,5
Michael Lamb,,,,4,0,0,0,0,0,5
Tracie Fountain,,,,,4,0,0,0,0,5
Rose Rosie Marie Davis,,,,,,4,0,0,0,5
Christina M Hartman,,,,,,,1,0,0,5
H Scott Conklin,,,,,,,,1,0,5
Write-In,,,,,,,,,0,5
Total,77,0,67,18,18,5,2,2,0,5
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,6
,Joe Torsella,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,6
Joe Torsella,3,0,99,17,11,5,3,3,1,6
Write-In,,0,0,0,0,0,0,0,0,6
Nina Ahmad,,,37,0,0,0,0,0,0,6
Tracie Fountain,,,,5,0,0,0,0,0,6
Michael Lamb,,,,,5,0,0,0,0,6
Rose Rosie Marie Davis,,,,,,4,0,0,0,6
Christina M Hartman,,,,,,,3,0,0,6
H Scott Conklin,,,,,,,,1,0,6
Write-In,,,,,,,,,0,6
Total,142,0,136,22,16,9,6,4,1,6
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,7
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,7
Joe Torsella,0,0,75,21,5,2,4,4,0,7
Write-In,,0,0,0,0,0,0,0,0,7
Nina Ahmad,,,28,0,0,0,0,0,0,7
Michael Lamb,,,,9,0,0,0,0,0,7
Rose Rosie Marie Davis,,,,,2,0,0,0,0,7
Tracie Fountain,,,,,,4,0,0,0,7
H Scott Conklin,,,,,,,1,0,0,7
Christina M Hartman,,,,,,,,0,0,7
Write-In,,,,,,,,,0,7
Total,111,0,103,30,7,6,5,4,0,7
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,8
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,8
Joe Torsella,4,0,65,20,4,2,1,0,0,8
Write-In,,0,0,0,0,0,0,0,0,8
Nina Ahmad,,,25,0,0,0,0,0,0,8
Michael Lamb,,,,10,0,0,0,0,0,8
Rose Rosie Marie Davis,,,,,4,0,0,0,0,8
Tracie Fountain,,,,,,1,0,0,0,8
H Scott Conklin,,,,,,,0,0,0,8
Christina M Hartman,,,,,,,,0,0,8
Write-In,,,,,,,,,0,8
Total,96,0,90,30,8,3,1,0,0,8
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,9
,Joe Torsella,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,9
Joe Torsella,5,0,234,26,20,13,9,5,0,9
Write-In,,0,0,0,0,0,0,0,0,9
Nina Ahmad,,,43,0,0,0,0,0,0,9
Tracie Fountain,,,,4,0,0,0,0,0,9
Michael Lamb,,,,,5,0,0,0,0,9
Rose Rosie Marie Davis,,,,,,7,0,0,0,9
Christina M Hartman,,,,,,,1,0,0,9
H Scott Conklin,,,,,,,,0,0,9
Write-In,,,,,,,,,0,9
Total,312,0,277,30,25,20,10,5,0,9
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,10
,Joe Torsella,Write-In,Nina Ahmad,Rose Rosie Marie Davis,Tracie Fountain,Michael Lamb,Christina M Hartman,H Scott Conklin,Write-In,10
Joe Torsella,4,0,116,11,18,15,3,2,0,10
Write-In,,0,0,0,0,0,0,0,0,10
Nina Ahmad,,,37,0,0,0,0,0,0,10
Rose Rosie Marie Davis,,,,11,0,0,0,0,0,10
Tracie Fountain,,,,,4,0,0,0,0,10
Michael Lamb,,,,,,2,0,0,0,10
Christina M Hartman,,,,,,,0,0,0,10
H Scott Conklin,,,,,,,,1,0,10
Write-In,,,,,,,,,0,10
Total,169,0,153,22,22,17,3,3,0,10
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,11
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Christina M Hartman,Tracie Fountain,H Scott Conklin,Rose Rosie Marie Davis,Write-In,11
Joe Torsella,2,0,117,34,15,5,3,0,0,11
Write-In,,0,0,0,0,0,0,0,0,11
Nina Ahmad,,,31,0,0,0,0,0,0,11
Michael Lamb,,,,1,0,0,0,0,0,11
Christina M Hartman,,,,,2,0,0,0,0,11
Tracie Fountain,,,,,,4,0,0,0,11
H Scott Conklin,,,,,,,1,0,0,11
Rose Rosie Marie Davis,,,,,,,,1,0,11
Write-In,,,,,,,,,0,11
Total,176,0,148,35,17,9,4,1,0,11
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,12
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Christina M Hartman,H Scott Conklin,Rose Rosie Marie Davis,Write-In,12
Joe Torsella,3,0,132,20,13,12,6,2,0,12
Write-In,,0,2,0,0,1,0,0,1,12
Nina Ahmad,,,17,0,0,0,0,0,0,12
Michael Lamb,,,,5,0,0,0,0,0,12
Tracie Fountain,,,,,2,0,0,0,0,12
Christina M Hartman,,,,,,0,0,0,0,12
H Scott Conklin,,,,,,,0,0,0,12
Rose Rosie Marie Davis,,,,,,,,1,0,12
Write-In,,,,,,,,,0,12
Total,188,4,151,25,15,13,6,3,1,12
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,13
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Christina M Hartman,H Scott Conklin,Rose Rosie Marie Davis,Write-In,13
Joe Torsella,12,0,162,21,18,14,9,7,0,13
Write-In,,0,0,0,0,0,0,0,0,13
Nina Ahmad,,,25,0,0,0,0,0,0,13
Michael Lamb,,,,1,0,0,0,0,0,13
Tracie Fountain,,,,,1,0,0,0,0,13
Christina M Hartman,,,,,,3,0,0,0,13
H Scott Conklin,,,,,,,0,0,0,13
Rose Rosie Marie Davis,,,,,,,,0,0,13
Write-In,,,,,,,,,0,13
Total,243,0,187,22,19,17,9,7,0,13
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,14
,Joe Torsella,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Christina M Hartman,Rose Rosie Marie Davis,H Scott Conklin,Write-In,14
Joe Torsella,3,0,136,15,15,12,6,3,0,14
Write-In,,0,0,0,0,0,0,0,0,14
Nina Ahmad,,,16,0,0,0,0,0,0,14
Tracie Fountain,,,,1,0,0,0,0,0,14
Michael Lamb,,,,,0,0,0,0,0,14
Christina M Hartman,,,,,,0,0,0,0,14
Rose Rosie Marie Davis,,,,,,,1,0,0,14
H Scott Conklin,,,,,,,,0,0,14
Write-In,,,,,,,,,0,14
Total,190,0,152,16,15,12,7,3,0,14
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,15
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Christina M Hartman,Rose Rosie Marie Davis,H Scott Conklin,Write-In,15
Joe Torsella,11,0,177,33,16,15,9,5,0,15
Write-In,,0,1,0,0,0,0,0,0,15
Nina Ahmad,,,46,0,0,0,0,0,0,15
Michael Lamb,,,,5,0,0,0,0,0,15
Tracie Fountain,,,,,4,0,0,0,0,15
Christina M Hartman,,,,,,4,0,0,0,15
Rose Rosie Marie Davis,,,,,,,4,0,0,15
H Scott Conklin,,,,,,,,1,0,15
Write-In,,,,,,,,,0,15
Total,266,1,224,38,20,19,13,6,0,15
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,16
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Christina M Hartman,Rose Rosie Marie Davis,H Scott Conklin,Write-In,16
Joe Torsella,5,0,141,28,13,12,5,2,1,16
Write-In,,0,2,0,0,0,0,0,0,16
Nina Ahmad,,,24,0,0,0,0,0,0,16
Michael Lamb,,,,6,0,0,0,0,0,16
Tracie Fountain,,,,,2,0,0,0,0,16
Christina M Hartman,,,,,,0,0,0,0,16
Rose Rosie Marie Davis,,,,,,,2,0,0,16
H Scott Conklin,,,,,,,,0,0,16
Write-In,,,,,,,,,0,16
Total,207,2,167,34,15,12,7,2,1,16
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,17
,Joe Torsella,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,17
Joe Torsella,4,0,110,15,15,3,2,2,0,17
Write-In,,0,0,0,0,0,0,0,0,17
Nina Ahmad,,,32,0,0,0,0,0,0,17
Tracie Fountain,,,,3,0,0,0,0,0,17
Michael Lamb,,,,,2,0,0,0,0,17
Rose Rosie Marie Davis,,,,,,5,0,0,0,17
H Scott Conklin,,,,,,,1,0,0,17
Christina M Hartman,,,,,,,,0,0,17
Write-In,,,,,,,,,0,17
Total,151,0,142,18,17,8,3,2,0,17
,State Treasurer - Democrat,,Auditor General - Democrat,,,,,,,18
,Joe Torsella,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Christina M Hartman,Rose Rosie Marie Davis,H Scott Conklin,Write-In,18
Joe Torsella,6,0,160,31,13,7,6,6,0,18
Write-In,,0,1,0,0,0,0,0,0,18
Nina Ahmad,,,23,0,0,0,0,0,0,18
Michael Lamb,,,,7,0,0,0,0,0,18
