col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 198th District - Democrat,,,,,All
,Cindy Bass,Malcolm Kenyatta,Ken Washington,Nina Tinari,Charlene Cooper,Wynnetta Ward,Terry Gillen,Anuj Gupta,Lindy Li,Matthew Miller,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Christina Borst,Daisy Confoy,Carla Le'Coin,Arielle Cohen,Bryan Mercer,Steve Paul,Sergio Cea,Paul Prescod,Jack Cahill,Daniel Laufer,Write-In,Darisha K Parker,Fareed Abdullah,Supreme Dow,Bernard A Williams,Write-In,All
Cindy Bass,23,"2,469","2,406","2,486","2,488","2,326","2,421","2,310","2,172","2,207","2,144",620,524,439,426,342,391,316,308,296,302,217,298,218,168,27,790,780,635,624,3,All
Malcolm Kenyatta,,1,"2,604","2,479","2,465","2,543","2,435","2,323","2,410","2,415","2,084",534,440,344,324,424,295,388,350,374,237,304,216,284,226,40,784,782,658,594,2,All
Ken Washington,,,8,"2,464","2,452","2,501","2,445","2,294","2,358","2,421","2,121",478,360,314,297,364,253,323,290,334,214,269,197,244,216,26,755,770,649,584,1,All
Nina Tinari,,,,8,"2,510","2,351","2,474","2,385","2,253","2,260","2,225",617,504,430,420,369,396,323,272,284,319,233,275,198,161,27,782,762,619,591,1,All
Charlene Cooper,,,,,1,"2,366","2,513","2,390","2,252","2,280","2,174",588,480,412,390,335,374,305,270,276,286,194,281,189,131,30,749,714,600,572,0,All
Wynnetta Ward,,,,,,1,"2,343","2,234","2,354","2,328","1,983",490,418,325,331,392,278,356,345,315,212,275,167,242,214,34,722,735,618,549,0,All
Terry Gillen,,,,,,,0,"2,364","2,256","2,297","2,187",548,453,406,363,337,345,297,269,292,296,203,281,214,159,25,725,713,613,565,0,All
Anuj Gupta,,,,,,,,0,"2,153","2,161","2,117",527,432,381,371,298,346,268,243,234,264,199,255,131,118,34,690,680,564,525,0,All
Lindy Li,,,,,,,,,2,"2,251","1,978",418,389,264,309,346,234,326,322,282,180,262,141,218,200,30,692,687,570,497,1,All
Matthew Miller,,,,,,,,,,0,"2,000",385,303,239,228,325,189,291,264,289,138,245,137,224,178,29,671,665,558,504,1,All
Owen Voutsinas-Klose,,,,,,,,,,,2,419,399,292,344,207,257,199,192,198,247,148,214,145,108,21,645,602,503,477,0,All
Sherrie Cohen,,,,,,,,,,,,4,985,903,899,784,904,752,780,695,843,664,757,654,651,15,365,314,290,337,0,All
Heather Pope,,,,,,,,,,,,,8,860,899,734,863,730,780,675,813,680,740,669,651,9,344,311,269,309,1,All
Joanne Beer,,,,,,,,,,,,,,1,804,718,879,666,715,640,766,658,771,608,611,6,301,253,246,280,1,All
Anlin Wang,,,,,,,,,,,,,,,0,675,805,686,729,635,788,677,720,615,611,8,288,271,230,274,0,All
Christina Borst,,,,,,,,,,,,,,,,0,737,829,736,745,636,685,589,703,706,9,283,259,233,260,0,All
Daisy Confoy,,,,,,,,,,,,,,,,,0,713,729,602,760,649,747,611,614,7,282,256,236,259,0,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,0,754,737,631,694,618,710,683,8,277,265,229,246,0,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,1,676,670,728,619,678,658,8,272,256,231,242,1,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,1,619,669,595,695,677,14,246,239,225,243,0,All
