col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,,,All
,Maryanne Donaghy,Samantha Newell,Rebecca Divalerio,Colleen Guiney,Michel Lee,Karyn Hollis,Amanda Mcillmurray,Cora Linehan,Jake Metzger,John Randolph,Ryan Yeager,Tray Herman,Deidre Selig,Gregory R Benjamin,James R Roebuck,Rick Krajewski,Karen Dunn,All
Maryanne Donaghy,2,123,117,126,33,31,38,24,20,22,28,25,23,51,55,23,17,All
Samantha Newell,,0,125,117,39,38,29,29,26,27,19,17,19,55,50,18,17,All
Rebecca Divalerio,,,0,113,40,35,32,28,27,27,24,20,18,49,47,19,17,All
Colleen Guiney,,,,1,26,26,35,18,15,15,27,22,22,42,50,21,18,All
Michel Lee,,,,,0,43,35,40,39,36,24,27,28,26,20,13,7,All
Karyn Hollis,,,,,,0,29,39,36,31,21,27,28,20,23,10,6,All
Amanda Mcillmurray,,,,,,,0,29,25,23,32,29,32,12,21,13,11,All
Cora Linehan,,,,,,,,0,39,33,20,28,29,19,20,8,7,All
Jake Metzger,,,,,,,,,0,33,25,27,27,20,14,12,4,All
John Randolph,,,,,,,,,,0,20,20,18,16,14,10,5,All
Ryan Yeager,,,,,,,,,,,0,26,26,13,15,11,6,All
Tray Herman,,,,,,,,,,,,0,27,16,16,9,5,All
Deidre Selig,,,,,,,,,,,,,0,11,14,11,7,All
Gregory R Benjamin,,,,,,,,,,,,,,16,0,0,0,All
James R Roebuck,,,,,,,,,,,,,,,3,0,0,All
Rick Krajewski,,,,,,,,,,,,,,,,3,0,All
Karen Dunn,,,,,,,,,,,,,,,,,1,All
Total,152,146,138,136,68,61,58,55,52,47,46,46,43,89,73,35,26,All
