col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,,,,All
,Malcolm Kenyatta,Nina Tinari,Ken Washington,Wynnetta Ward,Cindy Bass,Anuj Gupta,Charlene Cooper,Lindy Li,Terry Gillen,Matthew Miller,Heather Pope,Owen Voutsinas-Klose,Sherrie Cohen,Anlin Wang,Daisy Confoy,Christina Borst,Arielle Cohen,Carla Le'Coin,Steve Paul,Joanne Beer,Jack Cahill,Sergio Cea,Bryan Mercer,Daniel Laufer,Paul Prescod,Write-In,Rick Krajewski,James R Roebuck,Karen Dunn,Gregory R Benjamin,Write-In,All
Malcolm Kenyatta,1,319,330,330,306,312,312,320,305,313,58,274,61,52,50,59,52,56,43,34,51,52,50,35,25,7,127,150,54,45,1,All
Nina Tinari,,2,326,318,323,323,325,308,318,293,70,291,76,64,61,58,40,47,48,51,32,41,35,24,31,6,131,142,57,40,1,All
Ken Washington,,,0,327,309,305,311,317,314,314,47,277,54,44,38,54,44,48,41,33,42,43,47,33,18,6,113,148,56,45,1,All
Wynnetta Ward,,,,0,303,299,310,321,305,309,61,265,62,56,52,68,53,59,39,39,44,46,49,40,20,7,121,143,52,43,2,All
Cindy Bass,,,,,0,312,319,298,312,289,65,286,67,64,54,44,36,41,44,46,27,33,32,17,27,7,119,135,54,38,1,All
Anuj Gupta,,,,,,0,314,296,312,285,60,286,64,63,54,50,31,41,44,47,27,36,35,23,30,6,123,133,51,38,1,All
Charlene Cooper,,,,,,,0,299,321,294,59,281,63,57,51,37,34,42,42,43,32,36,36,16,33,6,117,141,48,39,1,All
Lindy Li,,,,,,,,0,301,299,49,266,51,53,46,64,51,55,36,35,39,44,44,33,18,7,122,134,52,38,1,All
Terry Gillen,,,,,,,,,1,293,55,280,58,56,49,50,40,43,43,41,33,36,40,25,27,5,113,142,51,36,1,All
Matthew Miller,,,,,,,,,,0,34,261,40,35,28,48,40,46,23,19,38,42,42,30,14,3,103,133,45,40,1,All
Heather Pope,,,,,,,,,,,0,54,267,264,263,239,242,230,253,250,235,232,217,226,234,3,207,41,35,17,2,All
Owen Voutsinas-Klose,,,,,,,,,,,,0,57,53,43,38,27,33,40,39,28,35,29,19,30,5,105,116,45,31,1,All
