col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Representative In The General Assembly 185th District - Democrat,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Regina Young,Maria P Donatucci,Write-In,Ken Washington,Nina Tinari,Malcolm Kenyatta,Wynnetta Ward,Charlene Cooper,Cindy Bass,Terry Gillen,Anuj Gupta,Lindy Li,Matthew Miller,Owen Voutsinas-Klose,Heather Pope,Sherrie Cohen,Anlin Wang,Joanne Beer,Daisy Confoy,Arielle Cohen,Christina Borst,Carla Le'Coin,Steve Paul,Jack Cahill,Sergio Cea,Paul Prescod,Bryan Mercer,Daniel Laufer,Write-In,All
Regina Young,82,0,0,542,545,553,528,523,501,511,495,470,462,423,426,427,412,411,414,394,397,383,348,339,350,336,342,320,13,All
Maria P Donatucci,,64,0,352,360,340,325,336,348,340,330,319,313,306,195,195,189,182,171,162,168,163,177,159,144,159,149,144,20,All
Write-In,,,0,3,4,3,3,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,All
Ken Washington,,,,5,779,815,800,769,729,774,744,750,772,669,90,146,109,106,105,107,121,98,71,73,88,65,90,57,27,All
Nina Tinari,,,,,8,767,760,814,786,801,786,726,724,709,166,205,162,170,167,114,132,117,114,70,82,100,74,45,19,All
Malcolm Kenyatta,,,,,,4,800,761,730,758,736,747,761,660,127,164,125,128,119,135,146,128,86,95,107,66,104,69,27,All
Wynnetta Ward,,,,,,,1,753,722,755,729,754,752,635,121,143,117,122,114,129,140,119,73,82,95,50,91,66,19,All
Charlene Cooper,,,,,,,,1,787,809,780,713,728,695,151,180,138,151,149,96,114,101,101,59,65,89,76,34,23,All
Cindy Bass,,,,,,,,,6,762,750,678,680,698,165,182,148,158,149,110,108,93,106,61,64,92,61,51,30,All
Terry Gillen,,,,,,,,,,1,763,716,737,701,143,176,141,146,142,101,110,98,105,72,72,103,83,52,24,All
Anuj Gupta,,,,,,,,,,,2,704,702,687,151,177,158,156,154,91,112,103,99,53,74,88,67,42,25,All
Lindy Li,,,,,,,,,,,,0,726,636,122,132,121,110,102,123,126,123,64,76,99,46,90,68,19,All
Matthew Miller,,,,,,,,,,,,,0,639,84,111,82,90,74,92,102,93,47,74,78,51,87,53,27,All
Owen Voutsinas-Klose,,,,,,,,,,,,,,3,124,130,119,110,104,71,60,65,85,46,44,76,44,37,19,All
Heather Pope,,,,,,,,,,,,,,,2,545,547,531,519,497,478,480,507,450,449,469,432,436,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,532,541,543,486,492,476,514,442,432,484,433,428,0,All
Anlin Wang,,,,,,,,,,,,,,,,,0,522,527,496,474,471,501,448,453,471,430,440,3,All
Joanne Beer,,,,,,,,,,,,,,,,,,0,544,481,478,458,489,434,441,489,424,432,7,All
Daisy Confoy,,,,,,,,,,,,,,,,,,,0,480,487,481,491,430,437,483,418,432,6,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,1,482,481,456,459,478,434,441,450,8,All
Christina Borst,,,,,,,,,,,,,,,,,,,,,0,515,442,460,451,410,458,448,9,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,0,435,455,450,420,451,446,5,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,0,436,424,471,421,430,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,0,432,427,443,452,1,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,0,417,429,427,0,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,,1,411,411,5,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,428,8,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,117",651,5,961,961,957,910,909,907,902,871,844,829,775,661,661,638,629,620,604,604,582,563,536,533,532,530,497,56,All
