col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Representative In The General Assembly 185th District - Democrat,,,President Of The United States - Democrat,,,,All
,Maria P Donatucci,Regina Young,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,All
Maria P Donatucci,244,0,0,"1,450",377,109,33,All
Regina Young,,12,0,328,344,19,12,All
Write-In,,,0,1,2,0,1,All
Joseph R Biden,,,,80,0,0,0,All
Bernie Sanders,,,,,37,0,0,All
Tulsi Gabbard,,,,,,4,0,All
Write-In,,,,,,,2,All
Total,"2,213",715,4,"1,859",760,132,48,All
,Representative In The General Assembly 185th District - Democrat,,,President Of The United States - Democrat,,,,1
,Maria P Donatucci,Regina Young,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,1
Maria P Donatucci,17,0,0,58,10,5,2,1
Regina Young,,1,0,5,5,0,0,1
Write-In,,,0,0,0,0,0,1
Joseph R Biden,,,,1,0,0,0,1
Bernie Sanders,,,,,0,0,0,1
Tulsi Gabbard,,,,,,0,0,1
Write-In,,,,,,,1,1
Total,92,11,0,64,15,5,3,1
,Representative In The General Assembly 185th District - Democrat,,,President Of The United States - Democrat,,,,2
,Maria P Donatucci,Regina Young,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,2
Maria P Donatucci,17,0,0,78,8,3,1,2
Regina Young,,0,0,11,3,0,0,2
Write-In,,,0,0,0,0,0,2
Joseph R Biden,,,,2,0,0,0,2
Bernie Sanders,,,,,1,0,0,2
Tulsi Gabbard,,,,,,0,0,2
Write-In,,,,,,,0,2
Total,107,14,0,91,12,3,1,2
,Representative In The General Assembly 185th District - Democrat,,,President Of The United States - Democrat,,,,3
,Maria P Donatucci,Regina Young,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,3
Maria P Donatucci,13,0,0,63,14,7,4,3
Regina Young,,0,0,5,3,1,0,3
Write-In,,,0,0,0,0,0,3
Joseph R Biden,,,,0,0,0,0,3
Bernie Sanders,,,,,0,0,0,3
Tulsi Gabbard,,,,,,0,0,3
Write-In,,,,,,,0,3
Total,101,9,0,68,17,8,4,3
,Representative In The General Assembly 185th District - Democrat,,,President Of The United States - Democrat,,,,4
,Maria P Donatucci,Regina Young,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,4
Maria P Donatucci,11,0,0,48,7,2,2,4
Regina Young,,2,0,7,2,1,0,4
Write-In,,,0,0,0,0,0,4
Joseph R Biden,,,,5,0,0,0,4
Bernie Sanders,,,,,2,0,0,4
Tulsi Gabbard,,,,,,0,0,4
Write-In,,,,,,,0,4
Total,70,12,0,60,11,3,2,4
,Representative In The General Assembly 185th District - Democrat,,,President Of The United States - Democrat,,,,5
,Maria P Donatucci,Regina Young,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,5
Maria P Donatucci,16,0,0,67,13,4,1,5
Regina Young,,0,0,6,4,1,0,5
Write-In,,,0,0,0,0,0,5
Joseph R Biden,,,,1,0,0,0,5
Bernie Sanders,,,,,1,0,0,5
Tulsi Gabbard,,,,,,1,0,5
Write-In,,,,,,,0,5
Total,101,11,0,74,18,6,1,5
,Representative In The General Assembly 185th District - Democrat,,,President Of The United States - Democrat,,,,6
,Maria P Donatucci,Regina Young,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,6
