col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Senator In The General Assembly 7th District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Vincent Hughes,Write-In,Heather Pope,Anlin Wang,Sherrie Cohen,Daisy Confoy,Joanne Beer,Christina Borst,Carla Le'Coin,Arielle Cohen,Steve Paul,Sergio Cea,Paul Prescod,Bryan Mercer,Jack Cahill,Daniel Laufer,Nina Tinari,Wynnetta Ward,Lindy Li,Charlene Cooper,Cindy Bass,Owen Voutsinas-Klose,Anuj Gupta,Terry Gillen,Malcolm Kenyatta,Ken Washington,Matthew Miller,Write-In,All
Vincent Hughes,40,0,225,219,217,207,205,203,198,197,196,197,186,184,183,180,184,172,170,168,166,165,163,164,160,149,144,7,All
Write-In,,0,2,1,2,2,1,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,All
Heather Pope,,,1,238,244,245,231,224,225,228,233,219,220,210,206,209,53,44,44,43,42,43,47,42,31,23,26,0,All
Anlin Wang,,,,0,236,233,228,219,220,222,224,220,220,205,208,204,49,36,41,35,40,39,41,39,26,21,19,0,All
Sherrie Cohen,,,,,0,236,225,218,221,223,228,217,218,206,206,204,51,38,41,38,40,38,43,41,31,24,23,0,All
Daisy Confoy,,,,,,0,232,222,227,228,226,217,218,205,207,205,37,32,31,27,26,32,34,28,17,10,11,0,All
Joanne Beer,,,,,,,0,218,218,218,219,214,216,204,202,204,40,30,27,27,32,29,31,24,19,16,11,0,All
Christina Borst,,,,,,,,0,223,218,209,208,202,211,206,208,26,29,26,20,22,22,25,25,22,17,15,0,All
Carla Le'Coin,,,,,,,,,0,222,210,215,205,210,206,206,26,28,27,15,16,15,22,19,15,11,10,0,All
Arielle Cohen,,,,,,,,,,0,217,216,210,205,210,206,27,26,30,16,17,20,23,20,13,9,12,0,All
Steve Paul,,,,,,,,,,,0,212,218,202,207,207,29,18,17,21,21,24,26,21,11,8,9,0,All
Sergio Cea,,,,,,,,,,,,0,210,205,207,203,28,25,27,18,18,17,24,20,20,18,14,0,All
Paul Prescod,,,,,,,,,,,,,0,202,201,199,21,15,17,16,14,18,24,18,11,9,6,0,All
Bryan Mercer,,,,,,,,,,,,,,0,203,203,18,20,22,16,13,17,22,21,18,17,17,0,All
Jack Cahill,,,,,,,,,,,,,,,2,206,12,14,15,7,6,17,12,12,10,8,9,2,All
Daniel Laufer,,,,,,,,,,,,,,,,0,14,17,15,7,8,15,11,12,10,9,13,0,All
Nina Tinari,,,,,,,,,,,,,,,,,1,166,167,172,172,157,164,159,156,151,145,5,All
Wynnetta Ward,,,,,,,,,,,,,,,,,,1,168,164,158,144,155,152,161,150,144,4,All
Lindy Li,,,,,,,,,,,,,,,,,,,0,159,155,144,157,154,158,150,146,5,All
Charlene Cooper,,,,,,,,,,,,,,,,,,,,0,163,152,162,163,156,149,144,4,All
Cindy Bass,,,,,,,,,,,,,,,,,,,,,0,150,151,155,148,144,138,5,All
Owen Voutsinas-Klose,,,,,,,,,,,,,,,,,,,,,,0,146,149,142,137,135,6,All
Anuj Gupta,,,,,,,,,,,,,,,,,,,,,,,0,153,151,141,134,4,All
Terry Gillen,,,,,,,,,,,,,,,,,,,,,,,,0,148,147,145,4,All
Malcolm Kenyatta,,,,,,,,,,,,,,,,,,,,,,,,,1,151,145,4,All
Ken Washington,,,,,,,,,,,,,,,,,,,,,,,,,,1,144,4,All
Matthew Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,430,2,272,261,261,253,248,242,240,239,239,237,227,226,225,220,202,189,186,184,181,181,178,178,173,164,158,7,All
,Senator In The General Assembly 7th District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Vincent Hughes,Write-In,Cindy Bass,Owen Voutsinas-Klose,Nina Tinari,Wynnetta Ward,Charlene Cooper,Daisy Confoy,Heather Pope,Lindy Li,Malcolm Kenyatta,Anlin Wang,Ken Washington,Sergio Cea,Sherrie Cohen,Anuj Gupta,Arielle Cohen,Carla Le'Coin,Christina Borst,Terry Gillen,Daniel Laufer,Joanne Beer,Matthew Miller,Steve Paul,Bryan Mercer,Jack Cahill,Paul Prescod,Write-In,3
Vincent Hughes,0,0,20,20,19,20,18,16,16,19,19,15,17,15,15,16,14,14,14,17,13,13,16,13,12,12,11,0,3
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cindy Bass,,,0,17,20,19,19,3,4,18,17,3,16,3,2,16,2,2,1,16,0,1,16,0,1,0,1,0,3
Owen Voutsinas-Klose,,,,0,17,16,17,5,5,15,16,5,14,4,5,15,3,4,3,15,3,3,14,3,2,3,1,0,3
Nina Tinari,,,,,0,18,19,2,3,17,17,2,15,2,2,16,1,1,0,16,0,0,16,0,0,0,0,0,3
Wynnetta Ward,,,,,,0,18,4,5,19,18,3,17,3,3,16,2,3,2,17,1,1,16,1,2,0,1,0,3
Charlene Cooper,,,,,,,0,2,3,17,17,2,15,2,2,16,1,1,0,16,0,0,16,0,0,0,0,0,3
Daisy Confoy,,,,,,,,0,18,4,4,17,3,17,17,3,16,17,17,3,16,16,1,16,15,15,14,0,3
Heather Pope,,,,,,,,,0,5,5,17,4,16,17,4,15,16,16,4,15,15,2,15,14,14,13,0,3
Lindy Li,,,,,,,,,,0,18,3,17,3,3,16,2,3,2,17,1,1,16,1,2,0,1,0,3
Malcolm Kenyatta,,,,,,,,,,,0,3,16,3,4,16,2,3,2,17,2,1,16,2,1,1,0,0,3
Anlin Wang,,,,,,,,,,,,0,2,16,17,2,16,16,16,2,15,16,1,15,14,15,14,0,3
Ken Washington,,,,,,,,,,,,,1,3,2,15,2,2,2,16,1,1,15,1,2,0,1,0,3
Sergio Cea,,,,,,,,,,,,,,0,15,2,17,15,16,2,15,16,2,15,14,15,14,0,3
Sherrie Cohen,,,,,,,,,,,,,,,0,3,15,16,16,3,16,15,1,16,14,15,13,0,3
Anuj Gupta,,,,,,,,,,,,,,,,0,1,2,1,16,1,0,14,1,1,0,0,0,3
Arielle Cohen,,,,,,,,,,,,,,,,,0,15,16,1,15,16,1,15,14,15,14,0,3
Carla Le'Coin,,,,,,,,,,,,,,,,,,0,16,2,15,15,0,15,15,14,13,0,3
Christina Borst,,,,,,,,,,,,,,,,,,,0,1,16,16,0,16,15,15,14,0,3
Terry Gillen,,,,,,,,,,,,,,,,,,,,0,1,0,15,1,1,0,0,0,3
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,0,15,0,16,14,15,13,0,3
Joanne Beer,,,,,,,,,,,,,,,,,,,,,,0,0,15,14,15,14,0,3
Matthew Miller,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,,0,14,15,13,0,3
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,0,3
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,3
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,34,0,21,21,20,20,19,19,19,19,19,18,18,18,18,17,17,17,17,17,16,16,16,16,15,15,14,0,3
,Senator In The General Assembly 7th District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Vincent Hughes,Write-In,Heather Pope,Sherrie Cohen,Anlin Wang,Nina Tinari,Daisy Confoy,Christina Borst,Carla Le'Coin,Joanne Beer,Steve Paul,Terry Gillen,Wynnetta Ward,Bryan Mercer,Charlene Cooper,Sergio Cea,Lindy Li,Paul Prescod,Arielle Cohen,Cindy Bass,Malcolm Kenyatta,Anuj Gupta,Ken Washington,Matthew Miller,Owen Voutsinas-Klose,Daniel Laufer,Jack Cahill,Write-In,6
Vincent Hughes,13,0,65,64,63,69,58,60,58,56,55,64,63,55,60,55,58,51,52,58,57,56,55,57,55,50,49,2,6
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Heather Pope,,,1,70,67,18,69,62,61,62,68,18,13,59,14,58,10,62,61,13,7,14,5,11,16,56,56,0,6
Sherrie Cohen,,,,0,68,22,68,62,61,63,64,20,14,61,17,60,14,63,59,15,12,18,10,12,16,54,56,0,6
Anlin Wang,,,,,0,19,66,63,61,64,63,17,12,60,12,60,10,62,60,14,8,13,6,8,13,55,56,0,6
Nina Tinari,,,,,,0,12,10,12,14,13,61,61,12,63,13,60,12,7,62,58,61,58,55,54,7,6,2,6
Daisy Confoy,,,,,,,0,62,63,64,64,13,10,55,10,58,7,61,62,8,4,10,1,4,11,53,55,0,6
Christina Borst,,,,,,,,0,63,58,56,13,12,60,7,56,10,54,59,6,9,7,6,10,8,57,55,0,6
Carla Le'Coin,,,,,,,,,0,59,57,9,10,57,6,61,8,55,59,4,6,6,7,7,3,54,54,0,6
Joanne Beer,,,,,,,,,,0,60,10,8,55,10,58,5,58,56,11,4,9,2,4,8,53,52,0,6
Steve Paul,,,,,,,,,,,0,10,8,55,9,55,4,61,59,10,2,9,2,6,11,55,56,0,6
Terry Gillen,,,,,,,,,,,,0,57,13,63,9,55,11,8,56,56,57,54,54,54,7,6,1,6
Wynnetta Ward,,,,,,,,,,,,,0,10,59,12,62,7,9,54,60,55,57,54,50,8,8,1,6
Bryan Mercer,,,,,,,,,,,,,,0,9,57,11,57,55,8,10,10,10,12,9,55,56,0,6
Charlene Cooper,,,,,,,,,,,,,,,0,7,57,8,5,58,56,58,55,53,53,3,3,1,6
Sergio Cea,,,,,,,,,,,,,,,,0,10,57,56,6,9,8,9,8,5,54,55,0,6
Lindy Li,,,,,,,,,,,,,,,,,0,6,7,52,58,56,56,54,48,5,6,2,6
Paul Prescod,,,,,,,,,,,,,,,,,,0,57,6,5,11,4,5,10,53,54,0,6
Arielle Cohen,,,,,,,,,,,,,,,,,,,0,3,3,5,3,6,6,55,57,0,6
Cindy Bass,,,,,,,,,,,,,,,,,,,,0,51,54,50,48,53,4,3,2,6
Malcolm Kenyatta,,,,,,,,,,,,,,,,,,,,,1,54,58,55,49,4,4,1,6
Anuj Gupta,,,,,,,,,,,,,,,,,,,,,,0,51,48,52,2,3,1,6
Ken Washington,,,,,,,,,,,,,,,,,,,,,,,0,55,47,4,4,1,6
Matthew Miller,,,,,,,,,,,,,,,,,,,,,,,,0,47,9,7,1,6
Owen Voutsinas-Klose,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,1,6
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,0,6
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6
Total,140,0,81,79,77,77,73,72,70,70,70,70,70,68,68,68,66,66,65,64,64,63,63,62,62,61,61,2,6
,Senator In The General Assembly 7th District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,11
