col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,,,,All
,Amy Roat,Lisa Powley,Pamela Robinson,Michele Lockman,Lorraine Haw,Vayda Good,Alvaro Quinones,Kempis Ghani Songster,Mona Getzes Cohen,Ronald Raju Joseph,Anthony Bellmon,Adam Tennant,Patrick Parkinson,Theodore Kirsch,Write-In,Marylouise Isaacson,Vanessa Mcgrath,Jeff Dempsey,Andre Del Valle,Write-In,All
Amy Roat,16,"3,591","1,013",933,"3,304","3,242","3,143","3,157",846,"3,011",638,"2,942",605,609,10,"1,180","1,106",989,637,2,All
Lisa Powley,,1,978,925,"3,233","3,173","3,081","3,083",831,"2,951",618,"2,885",582,583,10,"1,097","1,095",965,614,2,All
Pamela Robinson,,,10,"3,382",675,601,585,545,"3,165",308,"3,083",255,"3,011","3,000",64,"1,387","1,047",696,461,1,All
Michele Lockman,,,,7,619,555,539,474,"3,166",266,"3,064",252,"3,051","3,040",65,"1,357","1,025",694,428,0,All
Lorraine Haw,,,,,2,"3,269","3,130","3,147",692,"3,008",346,"2,938",297,317,11,"1,003","1,021",892,586,2,All
Vayda Good,,,,,,0,"3,212","3,169",652,"3,038",307,"2,949",249,287,8,975,991,902,607,2,All
Alvaro Quinones,,,,,,,2,"3,115",595,"3,019",370,"2,947",331,322,3,956,946,903,652,1,All
Kempis Ghani Songster,,,,,,,,3,536,"3,055",353,"2,923",296,314,12,948,958,884,599,2,All
Mona Getzes Cohen,,,,,,,,,2,347,"2,826",307,"2,800","2,808",65,"1,292",977,636,417,0,All
Ronald Raju Joseph,,,,,,,,,,1,212,"2,926",177,196,9,871,874,841,550,2,All
Anthony Bellmon,,,,,,,,,,,5,181,"2,960","2,963",59,"1,199",855,610,405,0,All
Adam Tennant,,,,,,,,,,,,2,169,171,4,825,837,830,541,1,All
Patrick Parkinson,,,,,,,,,,,,,1,"2,945",61,"1,168",847,603,379,0,All
Theodore Kirsch,,,,,,,,,,,,,,1,60,"1,171",849,603,380,0,All
Write-In,,,,,,,,,,,,,,,1,16,10,4,5,0,All
Marylouise Isaacson,,,,,,,,,,,,,,,,191,0,0,0,0,All
Vanessa Mcgrath,,,,,,,,,,,,,,,,,137,0,0,0,All
Jeff Dempsey,,,,,,,,,,,,,,,,,,110,0,0,All
Andre Del Valle,,,,,,,,,,,,,,,,,,,78,0,All
Write-In,,,,,,,,,,,,,,,,,,,,6,All
Total,"4,127","3,957","3,839","3,731","3,676","3,649","3,638","3,567","3,535","3,308","3,277","3,205","3,202","3,200",105,"2,555","2,144","1,728","1,168",10,All
