col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,,,,All
,Pamela Robinson,Michele Lockman,Mona Getzes Cohen,Anthony Bellmon,Theodore Kirsch,Patrick Parkinson,Amy Roat,Lisa Powley,Lorraine Haw,Vayda Good,Kempis Ghani Songster,Alvaro Quinones,Ronald Raju Joseph,Adam Tennant,Write-In,Marylouise Isaacson,Vanessa Mcgrath,Jeff Dempsey,Andre Del Valle,Write-In,All
Pamela Robinson,2,"1,026",984,951,934,936,268,254,185,158,140,144,74,59,11,521,304,139,109,0,All
Michele Lockman,,0,994,952,950,953,259,243,176,144,127,131,65,56,12,517,292,144,109,0,All
Mona Getzes Cohen,,,0,905,903,907,229,223,177,155,126,127,70,63,11,504,274,128,103,0,All
Anthony Bellmon,,,,1,924,927,170,163,100,83,92,93,54,41,10,466,251,129,94,0,All
Theodore Kirsch,,,,,0,923,167,159,95,74,89,88,51,37,11,458,250,129,95,0,All
Patrick Parkinson,,,,,,0,168,156,88,69,81,85,42,35,11,457,255,125,93,0,All
Amy Roat,,,,,,,1,736,668,640,623,598,582,574,3,331,243,141,128,1,All
Lisa Powley,,,,,,,,0,660,629,613,600,579,569,4,294,244,134,129,1,All
Lorraine Haw,,,,,,,,,1,646,623,602,582,566,4,254,224,134,119,1,All
Vayda Good,,,,,,,,,,0,617,625,580,569,4,238,212,126,128,1,All
Kempis Ghani Songster,,,,,,,,,,,1,597,599,574,4,235,206,128,124,1,All
Alvaro Quinones,,,,,,,,,,,,1,576,565,0,239,198,118,134,0,All
Ronald Raju Joseph,,,,,,,,,,,,,0,563,3,206,183,121,106,1,All
Adam Tennant,,,,,,,,,,,,,,0,1,194,177,118,108,0,All
Write-In,,,,,,,,,,,,,,,0,4,2,1,0,0,All
Marylouise Isaacson,,,,,,,,,,,,,,,,49,0,0,0,0,All
Vanessa Mcgrath,,,,,,,,,,,,,,,,,35,0,0,0,All
Jeff Dempsey,,,,,,,,,,,,,,,,,,15,0,0,All
Andre Del Valle,,,,,,,,,,,,,,,,,,,11,0,All
Write-In,,,,,,,,,,,,,,,,,,,,1,All
Total,"1,131","1,114","1,061",992,981,979,877,832,760,734,723,718,644,624,15,815,530,283,247,2,All
,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,Representative In The General Assembly 175th District - Democrat,,,,,17
