col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Representative In The General Assembly 185th District - Democrat,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Regina Young,Maria P Donatucci,Write-In,Nina Tinari,Malcolm Kenyatta,Ken Washington,Wynnetta Ward,Charlene Cooper,Cindy Bass,Terry Gillen,Anuj Gupta,Lindy Li,Matthew Miller,Owen Voutsinas-Klose,Heather Pope,Sherrie Cohen,Anlin Wang,Daisy Confoy,Joanne Beer,Arielle Cohen,Christina Borst,Carla Le'Coin,Steve Paul,Sergio Cea,Jack Cahill,Bryan Mercer,Paul Prescod,Daniel Laufer,Write-In,All
Regina Young,49,0,0,315,321,306,305,304,285,284,290,276,262,250,227,225,215,224,212,208,209,206,177,182,171,174,166,161,11,All
Maria P Donatucci,,39,0,183,164,175,170,170,173,171,167,158,154,152,97,92,95,89,94,81,83,79,84,75,76,70,78,72,16,All
Write-In,,,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,All
Nina Tinari,,,,3,420,423,424,448,429,433,431,405,396,387,94,105,83,94,88,68,74,66,55,47,36,40,46,21,13,All
Malcolm Kenyatta,,,,,3,437,435,412,394,407,405,404,408,358,72,83,68,72,68,73,78,68,43,60,49,53,30,32,13,All
Ken Washington,,,,,,2,434,419,392,414,403,404,414,366,48,70,55,62,57,56,62,49,33,48,33,43,29,26,13,All
Wynnetta Ward,,,,,,,1,417,399,410,409,419,408,354,74,79,66,70,68,74,77,69,38,54,42,47,23,32,13,All
Charlene Cooper,,,,,,,,0,432,435,430,391,392,377,87,98,76,93,87,57,64,60,52,38,30,41,46,18,17,All
Cindy Bass,,,,,,,,,5,406,411,375,370,382,91,94,76,86,87,62,62,56,48,38,30,36,41,24,25,All
Terry Gillen,,,,,,,,,,1,412,390,401,378,74,85,70,78,73,54,58,56,48,40,34,41,47,25,18,All
Anuj Gupta,,,,,,,,,,,2,392,381,378,90,92,89,94,93,53,63,58,51,43,30,35,44,23,19,All
Lindy Li,,,,,,,,,,,,0,390,354,77,71,67,64,67,69,69,67,31,56,38,44,21,32,14,All
Matthew Miller,,,,,,,,,,,,,0,349,47,54,39,41,45,45,50,48,23,39,34,44,24,23,13,All
Owen Voutsinas-Klose,,,,,,,,,,,,,,2,72,66,63,61,64,41,35,38,40,24,25,21,38,19,13,All
Heather Pope,,,,,,,,,,,,,,,1,282,282,270,277,263,252,256,253,237,234,220,234,220,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,271,282,276,255,260,247,258,228,229,219,243,219,0,All
Anlin Wang,,,,,,,,,,,,,,,,,0,279,270,259,247,247,252,237,232,222,237,225,3,All
Daisy Confoy,,,,,,,,,,,,,,,,,,0,284,257,259,258,254,232,222,216,249,223,6,All
Joanne Beer,,,,,,,,,,,,,,,,,,,0,251,249,238,252,229,221,217,248,222,5,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,0,251,249,236,249,235,222,219,232,0,All
