col_1,col_2,division
,Representative In The General Assembly 152nd District - Democrat,All
,Nancy Guenst,All
Nancy Guenst,572,All
Total,572,All
,Representative In The General Assembly 152nd District - Democrat,16
,Nancy Guenst,16
Nancy Guenst,66,16
Total,66,16
,Representative In The General Assembly 152nd District - Democrat,17
,Nancy Guenst,17
Nancy Guenst,45,17
Total,45,17
,Representative In The General Assembly 152nd District - Democrat,18
,Nancy Guenst,18
Nancy Guenst,90,18
Total,90,18
,Representative In The General Assembly 152nd District - Democrat,19
,Nancy Guenst,19
Nancy Guenst,83,19
Total,83,19
,Representative In The General Assembly 152nd District - Democrat,20
,Nancy Guenst,20
Nancy Guenst,99,20
Total,99,20
,Representative In The General Assembly 152nd District - Democrat,21
,Nancy Guenst,21
Nancy Guenst,122,21
Total,122,21
,Representative In The General Assembly 152nd District - Democrat,24
,Nancy Guenst,24
Nancy Guenst,67,24
Total,67,24
