col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Auditor General - Democrat,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,All
,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,Amen Brown,Roni Green,Danyl Patterson,Van Stone,Write-In,All
Nina Ahmad,87,0,0,0,0,0,0,312,251,175,23,0,All
Michael Lamb,,6,0,0,0,0,0,63,94,14,5,0,All
Tracie Fountain,,,4,0,0,0,0,41,14,24,6,0,All
Rose Rosie Marie Davis,,,,5,0,0,0,15,17,16,13,0,All
H Scott Conklin,,,,,3,0,0,28,17,6,1,0,All
Christina M Hartman,,,,,,0,0,7,7,4,5,0,All
Write-In,,,,,,,0,0,0,0,0,0,All
Amen Brown,,,,,,,,140,0,0,0,0,All
Roni Green,,,,,,,,,40,0,0,0,All
Danyl Patterson,,,,,,,,,,32,0,0,All
Van Stone,,,,,,,,,,,3,0,All
Write-In,,,,,,,,,,,,3,All
Total,848,182,89,66,55,23,0,606,440,271,56,3,All
,Auditor General - Democrat,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,1
,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,Amen Brown,Danyl Patterson,Roni Green,Van Stone,Write-In,1
Nina Ahmad,11,0,0,0,0,0,0,42,32,24,0,0,1
Michael Lamb,,2,0,0,0,0,0,12,3,8,0,0,1
Tracie Fountain,,,0,0,0,0,0,7,4,4,0,0,1
Rose Rosie Marie Davis,,,,1,0,0,0,1,5,3,0,0,1
H Scott Conklin,,,,,1,0,0,3,1,2,0,0,1
Christina M Hartman,,,,,,0,0,1,1,1,0,0,1
Write-In,,,,,,,0,0,0,0,0,0,1
Amen Brown,,,,,,,,13,0,0,0,0,1
Danyl Patterson,,,,,,,,,8,0,0,0,1
Roni Green,,,,,,,,,,3,0,0,1
Van Stone,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,0,1
Total,109,25,15,10,7,3,0,79,54,45,0,0,1
,Auditor General - Democrat,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,7
