col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,All
,Nina Tinari,Anuj Gupta,Cindy Bass,Lindy Li,Malcolm Kenyatta,Wynnetta Ward,Charlene Cooper,Terry Gillen,Ken Washington,Owen Voutsinas-Klose,Matthew Miller,Heather Pope,Sherrie Cohen,Anlin Wang,Arielle Cohen,Joanne Beer,Daisy Confoy,Carla Le'Coin,Christina Borst,Sergio Cea,Steve Paul,Paul Prescod,Jack Cahill,Bryan Mercer,Daniel Laufer,Write-In,Brian Sims,Marisa Shaaban,Write-In,All
Nina Tinari,0,"1,464","1,489","1,445","1,413","1,455","1,455","1,421","1,392","1,382","1,361",278,286,222,195,214,203,152,154,122,94,93,66,64,59,27,915,648,1,All
Anuj Gupta,,1,"1,448","1,428","1,402","1,419","1,421","1,409","1,380","1,373","1,355",245,247,216,183,189,178,137,131,122,89,97,65,73,58,26,891,634,1,All
Cindy Bass,,,0,"1,415","1,391","1,430","1,441","1,411","1,386","1,372","1,350",260,262,201,183,200,189,142,141,110,88,94,67,69,54,25,891,629,1,All
Lindy Li,,,,0,"1,401","1,442","1,403","1,392","1,364","1,325","1,344",249,249,207,195,194,180,142,160,117,78,73,73,73,59,27,872,634,1,All
Malcolm Kenyatta,,,,,1,"1,402","1,382","1,372","1,383","1,330","1,354",223,238,184,167,167,157,131,138,126,76,82,77,89,65,31,876,623,1,All
Wynnetta Ward,,,,,,0,"1,410","1,398","1,384","1,326","1,352",240,251,203,188,192,176,146,152,122,78,79,73,76,58,30,867,628,1,All
Charlene Cooper,,,,,,,0,"1,401","1,373","1,349","1,348",224,230,170,156,168,163,119,122,90,66,70,51,59,41,31,861,602,1,All
Terry Gillen,,,,,,,,1,"1,377","1,356","1,357",207,221,165,140,157,143,106,110,97,71,78,68,63,56,26,858,605,1,All
Ken Washington,,,,,,,,,4,"1,346","1,360",167,168,143,110,125,103,82,90,91,62,70,59,68,48,25,852,571,1,All
Owen Voutsinas-Klose,,,,,,,,,,2,"1,324",171,171,146,115,128,105,79,75,84,64,65,56,58,43,28,827,562,1,All
Matthew Miller,,,,,,,,,,,0,145,152,116,91,106,78,63,70,78,41,57,53,55,35,28,825,552,1,All
Heather Pope,,,,,,,,,,,,3,814,751,750,746,755,699,695,643,664,637,612,591,600,2,458,442,0,All
Sherrie Cohen,,,,,,,,,,,,,0,750,736,743,741,680,677,630,652,633,589,580,587,1,445,443,0,All
Anlin Wang,,,,,,,,,,,,,,0,700,715,719,663,650,649,656,636,592,580,590,1,430,399,0,All
Arielle Cohen,,,,,,,,,,,,,,,0,706,721,682,673,636,619,602,602,574,591,1,399,406,0,All
Joanne Beer,,,,,,,,,,,,,,,,0,734,669,659,624,633,635,592,573,576,1,392,411,1,All
Daisy Confoy,,,,,,,,,,,,,,,,,1,687,682,634,642,637,592,571,587,2,406,395,0,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,0,689,601,590,582,599,582,584,1,363,377,0,All
Christina Borst,,,,,,,,,,,,,,,,,,,0,592,593,575,589,576,583,2,370,366,0,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,0,601,588,576,562,559,2,360,327,1,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,0,621,570,556,573,1,350,319,0,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,0,564,551,560,3,339,316,1,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,0,577,584,3,329,300,0,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,0,559,1,330,287,0,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,0,0,315,294,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,0,All
Brian Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0,0,All
Marisa Shaaban,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,624","1,584","1,574","1,560","1,557","1,546","1,520","1,513","1,480","1,445","1,430",942,928,866,843,843,837,775,770,721,699,688,661,650,638,40,"1,407","1,121",1,All
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,6
,Nina Tinari,Malcolm Kenyatta,Anuj Gupta,Lindy Li,Cindy Bass,Wynnetta Ward,Ken Washington,Charlene Cooper,Owen Voutsinas-Klose,Terry Gillen,Matthew Miller,Heather Pope,Daisy Confoy,Joanne Beer,Sherrie Cohen,Arielle Cohen,Anlin Wang,Carla Le'Coin,Sergio Cea,Christina Borst,Steve Paul,Paul Prescod,Jack Cahill,Bryan Mercer,Daniel Laufer,Write-In,Brian Sims,Marisa Shaaban,Write-In,6
Nina Tinari,0,199,200,204,204,199,199,203,197,196,180,44,38,38,40,35,30,29,24,21,20,15,11,7,9,7,113,105,0,6
Malcolm Kenyatta,,0,197,204,195,195,198,194,188,187,182,34,32,32,30,30,29,28,25,20,16,17,11,11,10,7,118,98,0,6
Anuj Gupta,,,0,196,198,194,195,197,193,190,180,34,31,29,28,28,28,28,19,18,12,15,7,7,8,7,110,101,0,6
Lindy Li,,,,0,197,201,197,198,191,194,182,34,35,35,30,33,28,25,24,20,14,14,11,6,10,7,111,100,0,6
Cindy Bass,,,,,0,195,195,202,193,191,178,37,33,31,29,32,22,26,17,19,11,13,11,6,7,7,107,104,0,6
Wynnetta Ward,,,,,,0,200,194,186,188,182,38,36,38,34,34,30,30,22,24,13,16,10,9,9,7,106,102,0,6
Ken Washington,,,,,,,1,194,193,190,183,32,29,29,24,29,23,28,21,18,13,14,11,11,9,7,108,97,0,6
Charlene Cooper,,,,,,,,0,189,191,178,33,33,31,28,31,20,24,15,20,11,13,8,6,8,7,105,100,0,6
Owen Voutsinas-Klose,,,,,,,,,0,188,179,26,23,26,22,25,20,22,18,13,11,9,12,7,8,7,106,94,0,6
Terry Gillen,,,,,,,,,,0,179,27,25,28,26,23,20,17,16,14,12,10,8,8,8,7,102,98,0,6
Matthew Miller,,,,,,,,,,,0,13,11,15,10,12,11,9,9,7,7,7,4,5,3,7,97,86,0,6
Heather Pope,,,,,,,,,,,,1,117,113,121,114,111,104,101,98,96,92,92,81,83,0,61,72,0,6
Daisy Confoy,,,,,,,,,,,,,1,116,109,113,103,99,96,97,92,94,85,78,80,0,58,65,0,6
Joanne Beer,,,,,,,,,,,,,,0,111,109,106,99,96,94,91,93,86,80,79,0,54,69,0,6
Sherrie Cohen,,,,,,,,,,,,,,,0,105,108,97,97,94,95,89,84,78,79,0,53,71,0,6
Arielle Cohen,,,,,,,,,,,,,,,,0,100,99,95,97,86,88,90,78,80,0,55,67,0,6
Anlin Wang,,,,,,,,,,,,,,,,,0,96,98,89,94,92,81,76,77,0,53,62,0,6
Carla Le'Coin,,,,,,,,,,,,,,,,,,0,91,102,80,82,86,81,80,0,50,63,0,6
Sergio Cea,,,,,,,,,,,,,,,,,,,0,84,87,86,83,77,79,0,53,52,0,6
Christina Borst,,,,,,,,,,,,,,,,,,,,0,80,80,84,79,78,0,46,56,0,6
Steve Paul,,,,,,,,,,,,,,,,,,,,,0,88,77,74,76,0,49,48,0,6
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,0,75,74,74,2,48,47,0,6
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,0,78,81,0,42,49,0,6
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,0,73,0,42,41,0,6
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,0,0,42,41,0,6
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6
Brian Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,6
Marisa Shaaban,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,6
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6
Total,225,223,218,218,216,215,213,211,206,205,188,139,129,128,128,127,120,118,110,107,100,99,95,86,86,14,176,174,0,6
,Representative In The General Assembly 182nd District - Democrat,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Brian Sims,Marisa Shaaban,Write-In,Nina Tinari,Anuj Gupta,Cindy Bass,Wynnetta Ward,Malcolm Kenyatta,Lindy Li,Charlene Cooper,Terry Gillen,Ken Washington,Owen Voutsinas-Klose,Matthew Miller,Sherrie Cohen,Arielle Cohen,Heather Pope,Daisy Confoy,Anlin Wang,Joanne Beer,Christina Borst,Carla Le'Coin,Steve Paul,Sergio Cea,Paul Prescod,Jack Cahill,Bryan Mercer,Daniel Laufer,Write-In,7
Brian Sims,13,0,0,103,101,102,98,101,93,96,96,97,92,89,71,71,65,72,71,65,66,63,60,63,56,59,55,56,4,7
Marisa Shaaban,,6,0,64,64,61,64,60,65,61,61,54,51,51,60,55,58,48,49,51,48,44,41,37,38,34,34,32,0,7
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Nina Tinari,,,,0,153,158,153,142,147,150,147,146,138,134,39,32,34,27,28,27,21,18,13,13,11,7,8,7,3,7
Anuj Gupta,,,,,0,151,147,146,143,146,148,143,137,134,33,29,28,27,23,22,20,15,14,15,13,9,7,7,4,7
Cindy Bass,,,,,,0,153,140,145,150,149,144,139,134,39,32,32,28,28,26,20,17,14,17,12,8,6,7,3,7
Wynnetta Ward,,,,,,,0,146,149,149,144,143,132,135,36,34,33,25,24,23,26,21,14,17,8,12,9,7,3,7
Malcolm Kenyatta,,,,,,,,0,142,140,138,141,131,133,29,27,25,22,22,17,22,15,12,18,8,12,10,7,4,7
Lindy Li,,,,,,,,,0,142,142,137,127,131,36,30,29,25,24,23,24,17,13,16,7,12,10,9,3,7
Charlene Cooper,,,,,,,,,,0,142,138,132,130,34,28,32,25,23,22,22,16,14,12,11,6,6,5,4,7
Terry Gillen,,,,,,,,,,,0,137,136,129,37,30,28,25,24,24,19,14,11,15,11,10,7,6,3,7
Ken Washington,,,,,,,,,,,,0,134,136,24,20,22,15,18,15,15,9,13,13,13,12,9,9,3,7
Owen Voutsinas-Klose,,,,,,,,,,,,,0,131,22,19,18,15,15,13,8,3,11,10,8,7,6,5,4,7
Matthew Miller,,,,,,,,,,,,,,0,18,16,14,7,9,7,8,5,5,10,4,7,6,5,4,7
Sherrie Cohen,,,,,,,,,,,,,,,0,114,114,111,112,112,101,103,100,91,92,87,85,86,0,7
Arielle Cohen,,,,,,,,,,,,,,,,0,111,109,105,107,105,105,93,92,86,88,84,85,0,7
Heather Pope,,,,,,,,,,,,,,,,,0,109,105,106,102,99,96,90,92,85,82,83,0,7
Daisy Confoy,,,,,,,,,,,,,,,,,,0,105,107,106,104,97,94,90,90,85,86,1,7
Anlin Wang,,,,,,,,,,,,,,,,,,,0,106,98,99,94,93,90,86,84,84,0,7
Joanne Beer,,,,,,,,,,,,,,,,,,,,0,100,100,95,88,90,87,84,82,0,7
Christina Borst,,,,,,,,,,,,,,,,,,,,,0,105,91,88,86,89,86,86,0,7
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,0,89,86,83,86,85,83,0,7
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,0,87,92,85,83,86,0,7
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,0,83,85,82,81,1,7
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,0,84,81,84,0,7
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,85,0,7
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,0,7
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7
Total,180,117,0,170,167,167,164,163,160,159,159,154,146,142,135,130,126,124,123,120,117,111,104,103,97,96,93,91,4,7
