col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In The General Assembly 194th District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Pamela A Delissio,Write-In,Nina Tinari,Cindy Bass,Anuj Gupta,Charlene Cooper,Terry Gillen,Malcolm Kenyatta,Ken Washington,Wynnetta Ward,Lindy Li,Matthew Miller,Owen Voutsinas-Klose,Heather Pope,Sherrie Cohen,Anlin Wang,Joanne Beer,Daisy Confoy,Arielle Cohen,Christina Borst,Carla Le'Coin,Steve Paul,Sergio Cea,Paul Prescod,Jack Cahill,Bryan Mercer,Daniel Laufer,Write-In,All
Pamela A Delissio,110,0,"1,099","1,079","1,037","1,032","1,030","1,011",993,996,"1,001",932,932,704,703,659,651,648,612,602,586,563,543,535,527,494,492,26,All
Write-In,,2,2,3,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,3,2,2,3,2,3,3,3,14,All
Nina Tinari,,,4,"1,067","1,036","1,032","1,027",982,997,992,987,947,955,225,249,195,190,190,138,155,137,119,98,101,80,66,52,17,All
Cindy Bass,,,,5,"1,015","1,027","1,008",973,975,984,957,926,932,228,237,186,190,183,148,147,123,113,95,96,74,61,49,20,All
Anuj Gupta,,,,,2,"1,012",997,967,961,955,962,920,925,212,220,193,192,184,127,135,121,112,97,103,70,66,50,19,All
Charlene Cooper,,,,,,2,"1,004",960,967,967,958,936,919,205,221,170,180,177,130,135,119,104,87,91,61,59,33,13,All
Terry Gillen,,,,,,,0,968,976,961,949,948,930,174,193,148,154,141,105,115,100,100,70,95,66,66,54,17,All
Malcolm Kenyatta,,,,,,,,2,988,985,958,950,884,164,175,131,135,118,117,132,118,71,98,67,84,77,58,18,All
Ken Washington,,,,,,,,,2,973,954,964,900,138,160,114,132,113,89,108,92,73,87,74,75,65,52,20,All
Wynnetta Ward,,,,,,,,,,0,977,934,864,173,184,138,146,137,131,149,125,69,96,54,72,64,54,15,All
Lindy Li,,,,,,,,,,,0,931,889,173,175,153,151,144,137,139,128,65,104,59,77,66,59,15,All
Matthew Miller,,,,,,,,,,,,0,876,116,125,85,97,89,76,99,78,54,69,53,72,59,40,17,All
Owen Voutsinas-Klose,,,,,,,,,,,,,1,155,155,137,131,110,77,85,78,99,66,87,60,58,40,11,All
Heather Pope,,,,,,,,,,,,,,2,670,644,619,626,594,566,558,577,538,545,519,483,497,6,All
Sherrie Cohen,,,,,,,,,,,,,,,1,630,622,634,584,564,558,570,519,548,497,478,487,5,All
Anlin Wang,,,,,,,,,,,,,,,,0,609,612,575,541,544,575,539,547,513,488,498,6,All
Joanne Beer,,,,,,,,,,,,,,,,,0,624,556,544,533,547,520,550,486,481,490,6,All
