col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Representative In The General Assembly 184th District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,All
,Elizabeth Fiedler,Write-In,Samantha Newell,Rebecca Divalerio,Maryanne Donaghy,Colleen Guiney,Karyn Hollis,Amanda Mcillmurray,Cora Linehan,Michel Lee,Deidre Selig,Jake Metzger,Tray Herman,John Randolph,Ryan Yeager,Write-In,All
Elizabeth Fiedler,552,0,"2,953","2,954","2,895","2,829","2,587","2,533","2,527","2,504","2,317","2,232","2,036","2,020","1,985",87,All
Write-In,,2,9,11,11,11,2,2,2,2,2,1,2,2,2,34,All
Samantha Newell,,,22,"2,972","2,941","2,888",924,878,817,783,655,510,371,430,398,57,All
Rebecca Divalerio,,,,17,"2,937","2,887",913,879,824,789,634,551,393,432,408,47,All
Maryanne Donaghy,,,,,21,"2,953",836,887,734,728,651,451,379,376,440,46,All
Colleen Guiney,,,,,,17,810,872,693,694,634,428,375,362,428,47,All
Karyn Hollis,,,,,,,3,"2,309","2,405","2,281","2,194","2,046","1,934","1,916","1,777",10,All
Amanda Mcillmurray,,,,,,,,1,"2,260","2,176","2,218","1,893","1,917","1,740","1,883",10,All
Cora Linehan,,,,,,,,,4,"2,211","2,165","2,069","1,962","1,909","1,795",13,All
Michel Lee,,,,,,,,,,3,"2,093","2,043","1,932","1,953","1,857",4,All
Deidre Selig,,,,,,,,,,,2,"1,862","1,912","1,751","1,827",8,All
Jake Metzger,,,,,,,,,,,,10,"1,882","1,924","1,791",3,All
Tray Herman,,,,,,,,,,,,,0,"1,765","1,806",8,All
John Randolph,,,,,,,,,,,,,,2,"1,753",2,All
Ryan Yeager,,,,,,,,,,,,,,,3,1,All
Write-In,,,,,,,,,,,,,,,,2,All
Total,"5,681",19,"3,290","3,286","3,265","3,181","2,745","2,708","2,687","2,671","2,476","2,401","2,201","2,156","2,152",143,All
