col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Representative In The General Assembly 191st District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,All
,Joanna E Mcclinton,Write-In,Maryanne Donaghy,Colleen Guiney,Samantha Newell,Rebecca Divalerio,Amanda Mcillmurray,Karyn Hollis,Michel Lee,John Randolph,Ryan Yeager,Deidre Selig,Tray Herman,Cora Linehan,Jake Metzger,Write-In,All
Joanna E Mcclinton,26,0,196,190,193,192,60,64,64,58,49,50,46,58,50,2,All
Write-In,,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,All
Maryanne Donaghy,,,11,215,202,199,58,42,39,35,47,40,41,34,22,2,All
Colleen Guiney,,,,0,196,194,53,41,33,29,40,35,39,28,23,2,All
Samantha Newell,,,,,2,201,32,48,39,40,24,21,21,36,26,2,All
Rebecca Divalerio,,,,,,0,38,51,40,40,29,20,26,41,25,2,All
Amanda Mcillmurray,,,,,,,1,40,40,25,51,54,45,31,24,0,All
Karyn Hollis,,,,,,,,0,51,52,28,35,36,51,40,0,All
Michel Lee,,,,,,,,,0,50,34,40,30,47,41,0,All
John Randolph,,,,,,,,,,0,29,27,32,44,42,0,All
Ryan Yeager,,,,,,,,,,,0,44,42,29,22,0,All
Deidre Selig,,,,,,,,,,,,0,41,36,29,0,All
Tray Herman,,,,,,,,,,,,,0,35,28,0,All
Cora Linehan,,,,,,,,,,,,,,0,40,0,All
Jake Metzger,,,,,,,,,,,,,,,1,0,All
Write-In,,,,,,,,,,,,,,,,0,All
Total,281,1,257,232,227,221,79,74,72,68,67,66,66,65,57,2,All
,Representative In The General Assembly 191st District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,25
,Joanna E Mcclinton,Write-In,Maryanne Donaghy,Samantha Newell,Colleen Guiney,Rebecca Divalerio,Michel Lee,Karyn Hollis,Amanda Mcillmurray,John Randolph,Cora Linehan,Jake Metzger,Tray Herman,Ryan Yeager,Deidre Selig,Write-In,25
Joanna E Mcclinton,17,0,117,111,110,111,46,44,42,43,42,38,34,35,34,2,25
Write-In,,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,25
Maryanne Donaghy,,,11,118,122,115,25,26,35,24,23,17,24,27,20,2,25
Samantha Newell,,,,2,112,116,27,32,22,29,26,21,13,16,13,2,25
Colleen Guiney,,,,,0,111,21,25,32,18,18,18,21,23,17,2,25
Rebecca Divalerio,,,,,,0,27,34,26,28,29,20,18,19,11,2,25
Michel Lee,,,,,,,0,35,25,37,35,32,23,23,27,0,25
Karyn Hollis,,,,,,,,0,26,36,36,30,27,18,22,0,25
Amanda Mcillmurray,,,,,,,,,1,17,21,16,28,32,29,0,25
John Randolph,,,,,,,,,,0,33,33,26,20,19,0,25
Cora Linehan,,,,,,,,,,,0,30,27,18,25,0,25
Jake Metzger,,,,,,,,,,,,1,23,15,21,0,25
Tray Herman,,,,,,,,,,,,,0,26,24,0,25
Ryan Yeager,,,,,,,,,,,,,,0,24,0,25
Deidre Selig,,,,,,,,,,,,,,,0,0,25
Write-In,,,,,,,,,,,,,,,,0,25
Total,174,1,156,135,132,131,52,51,50,50,47,45,44,41,39,2,25
,Representative In The General Assembly 191st District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,27
,Joanna E Mcclinton,Write-In,Maryanne Donaghy,Colleen Guiney,Samantha Newell,Rebecca Divalerio,Amanda Mcillmurray,Deidre Selig,Ryan Yeager,Karyn Hollis,Tray Herman,Michel Lee,Cora Linehan,John Randolph,Jake Metzger,Write-In,27
Joanna E Mcclinton,9,0,79,80,82,81,18,16,14,20,12,18,16,15,12,0,27
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Maryanne Donaghy,,,0,93,84,84,23,20,20,16,17,14,11,11,5,0,27
Colleen Guiney,,,,0,84,83,21,18,17,16,18,12,10,11,5,0,27
Samantha Newell,,,,,0,85,10,8,8,16,8,12,10,11,5,0,27
Rebecca Divalerio,,,,,,0,12,9,10,17,8,13,12,12,5,0,27
Amanda Mcillmurray,,,,,,,0,25,19,14,17,15,10,8,8,0,27
Deidre Selig,,,,,,,,0,20,13,17,13,11,8,8,0,27
Ryan Yeager,,,,,,,,,0,10,16,11,11,9,7,0,27
Karyn Hollis,,,,,,,,,,0,9,16,15,16,10,0,27
Tray Herman,,,,,,,,,,,0,7,8,6,5,0,27
Michel Lee,,,,,,,,,,,,0,12,13,9,0,27
Cora Linehan,,,,,,,,,,,,,0,11,10,0,27
John Randolph,,,,,,,,,,,,,,0,9,0,27
Jake Metzger,,,,,,,,,,,,,,,0,0,27
Write-In,,,,,,,,,,,,,,,,0,27
Total,107,0,101,100,92,90,29,27,26,23,22,20,18,18,12,0,27
