col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Auditor General - Democrat,,,,,,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,All
,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,H Scott Conklin,Write-In,Maryanne Donaghy,Samantha Newell,Rebecca Divalerio,Colleen Guiney,Michel Lee,Karyn Hollis,Amanda Mcillmurray,Cora Linehan,Deidre Selig,Jake Metzger,Tray Herman,John Randolph,Ryan Yeager,Write-In,All
Nina Ahmad,944,0,0,0,0,0,0,"7,804","7,852","7,628","7,569","4,143","4,227","4,114","3,868","3,669","3,360","3,274","3,143","3,063",158,All
Michael Lamb,,212,0,0,0,0,0,858,873,898,852,585,535,435,482,386,510,401,516,375,22,All
Rose Rosie Marie Davis,,,209,0,0,0,0,800,673,681,724,381,353,395,269,323,269,335,253,302,12,All
Tracie Fountain,,,,90,0,0,0,702,620,593,639,383,370,400,353,352,301,355,300,346,30,All
Christina M Hartman,,,,,82,0,0,440,437,439,407,299,282,267,255,229,248,214,239,217,20,All
H Scott Conklin,,,,,,73,0,297,324,325,272,229,228,146,215,136,233,143,208,136,11,All
Write-In,,,,,,,1,3,2,2,2,3,4,3,4,3,3,3,3,2,29,All
Maryanne Donaghy,,,,,,,,112,"10,245","10,145","10,465","2,529","2,677","2,808","2,053","2,107","1,469","1,683","1,545","1,713",137,All
Samantha Newell,,,,,,,,,95,"10,393","10,011","2,807","3,038","2,495","2,371","1,843","1,810","1,354","1,835","1,345",162,All
Rebecca Divalerio,,,,,,,,,,47,"9,887","2,785","2,985","2,470","2,347","1,728","1,836","1,401","1,802","1,332",141,All
Colleen Guiney,,,,,,,,,,,31,"2,379","2,537","2,748","1,840","2,061","1,389","1,589","1,433","1,641",137,All
Michel Lee,,,,,,,,,,,,15,"4,989","4,399","4,575","4,083","4,211","3,858","4,170","3,594",17,All
Karyn Hollis,,,,,,,,,,,,,9,"4,550","4,884","4,200","4,210","3,785","4,081","3,280",18,All
Amanda Mcillmurray,,,,,,,,,,,,,,5,"4,212","4,450","3,566","3,870","3,265","3,819",35,All
Cora Linehan,,,,,,,,,,,,,,,10,"4,046","4,190","3,788","3,928","3,287",23,All
Deidre Selig,,,,,,,,,,,,,,,,8,"3,495","3,864","3,291","3,619",10,All
Jake Metzger,,,,,,,,,,,,,,,,,39,"3,631","3,906","3,302",7,All
Tray Herman,,,,,,,,,,,,,,,,,,3,"3,406","3,598",13,All
John Randolph,,,,,,,,,,,,,,,,,,,3,"3,262",17,All
Ryan Yeager,,,,,,,,,,,,,,,,,,,,5,10,All
Write-In,,,,,,,,,,,,,,,,,,,,,1,All
Total,"12,177","1,592","1,303","1,119",770,600,13,"11,846","11,669","11,377","11,259","6,343","6,301","6,049","5,745","5,378","5,276","5,013","4,930","4,722",339,All
