col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,President Of The United States - Republican,,,,All
,Calvin Tucker,Denise Furey,Erin Elmore,Paul Panepinto,John Paul Sutton,Write-In,Donald J Trump,Bill Weld,Write-In,Roque Rocky De La Fuente,All
Calvin Tucker,2,11,7,4,2,0,6,3,2,2,All
Denise Furey,,0,7,6,2,0,9,4,1,1,All
Erin Elmore,,,0,2,0,0,5,2,1,1,All
Paul Panepinto,,,,1,0,0,4,2,0,0,All
John Paul Sutton,,,,,2,0,2,1,0,1,All
Write-In,,,,,,0,0,0,0,0,All
Donald J Trump,,,,,,,1,0,0,0,All
Bill Weld,,,,,,,,1,0,0,All
Write-In,,,,,,,,,2,0,All
Roque Rocky De La Fuente,,,,,,,,,,1,All
Total,17,17,10,8,6,0,13,7,4,3,All
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,President Of The United States - Republican,,,,1
,Calvin Tucker,Denise Furey,John Paul Sutton,Paul Panepinto,Erin Elmore,Write-In,Donald J Trump,Bill Weld,Roque Rocky De La Fuente,Write-In,1
Calvin Tucker,0,1,0,1,0,0,0,0,0,0,1
Denise Furey,,0,0,1,0,0,0,0,0,0,1
John Paul Sutton,,,1,0,0,0,0,0,0,0,1
Paul Panepinto,,,,0,0,0,0,0,0,0,1
Erin Elmore,,,,,0,0,0,0,0,0,1
Write-In,,,,,,0,0,0,0,0,1
Donald J Trump,,,,,,,1,0,0,0,1
Bill Weld,,,,,,,,0,0,0,1
Roque Rocky De La Fuente,,,,,,,,,0,0,1
Write-In,,,,,,,,,,0,1
Total,1,1,1,1,0,0,1,0,0,0,1
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 3rd District - Republican,,,,,,3
,Bill Weld,Donald J Trump,Roque Rocky De La Fuente,Write-In,Calvin Tucker,Denise Furey,Erin Elmore,John Paul Sutton,Paul Panepinto,Write-In,3
Bill Weld,0,0,0,0,1,1,1,0,0,0,3
Donald J Trump,,0,0,0,0,0,0,0,0,0,3
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,0,3
Write-In,,,,0,0,0,0,0,0,0,3
Calvin Tucker,,,,,0,1,1,0,0,0,3
Denise Furey,,,,,,0,1,0,0,0,3
Erin Elmore,,,,,,,0,0,0,0,3
John Paul Sutton,,,,,,,,0,0,0,3
Paul Panepinto,,,,,,,,,0,0,3
Write-In,,,,,,,,,,0,3
Total,1,0,0,0,1,1,1,0,0,0,3
,Delegate To The Republican National Convention 3rd District - Republican,,,,,,President Of The United States - Republican,,,,4
,Calvin Tucker,Denise Furey,Erin Elmore,John Paul Sutton,Paul Panepinto,Write-In,Write-In,Bill Weld,Donald J Trump,Roque Rocky De La Fuente,4
Calvin Tucker,0,1,1,0,0,0,1,0,0,0,4
Denise Furey,,0,1,0,0,0,0,0,0,0,4
Erin Elmore,,,0,0,0,0,0,0,0,0,4
John Paul Sutton,,,,0,0,0,0,0,0,0,4
Paul Panepinto,,,,,0,0,0,0,0,0,4
Write-In,,,,,,0,0,0,0,0,4
