col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 197th District - Democrat,,Attorney General - Democrat,,All
,Danilo Burgos,Write-In,Josh Shapiro,Write-In,All
Danilo Burgos,78,0,218,0,All
Write-In,,0,6,1,All
Josh Shapiro,,,28,0,All
Write-In,,,,2,All
Total,296,7,252,3,All
,Representative In The General Assembly 197th District - Democrat,,Attorney General - Democrat,,15
,Danilo Burgos,Write-In,Josh Shapiro,Write-In,15
Danilo Burgos,5,0,36,0,15
Write-In,,0,0,0,15
Josh Shapiro,,,4,0,15
Write-In,,,,0,15
Total,41,0,40,0,15
,Representative In The General Assembly 197th District - Democrat,,Attorney General - Democrat,,16
,Danilo Burgos,Write-In,Josh Shapiro,Write-In,16
Danilo Burgos,14,0,33,0,16
Write-In,,0,4,0,16
Josh Shapiro,,,5,0,16
Write-In,,,,0,16
Total,47,4,42,0,16
,Representative In The General Assembly 197th District - Democrat,,Attorney General - Democrat,,18
,Danilo Burgos,Write-In,Josh Shapiro,Write-In,18
Danilo Burgos,23,0,60,0,18
Write-In,,0,1,1,18
Josh Shapiro,,,8,0,18
Write-In,,,,2,18
Total,83,2,69,3,18
,Representative In The General Assembly 197th District - Democrat,,Attorney General - Democrat,,19
,Danilo Burgos,Write-In,Josh Shapiro,Write-In,19
Danilo Burgos,14,0,40,0,19
Write-In,,0,1,0,19
Josh Shapiro,,,4,0,19
Write-In,,,,0,19
Total,54,1,45,0,19
,Representative In The General Assembly 197th District - Democrat,,Attorney General - Democrat,,20
,Danilo Burgos,Write-In,Josh Shapiro,Write-In,20
Danilo Burgos,22,0,49,0,20
Write-In,,0,0,0,20
Josh Shapiro,,,7,0,20
Write-In,,,,0,20
Total,71,0,56,0,20
