col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Cindy Bass,Malcolm Kenyatta,Nina Tinari,Ken Washington,Wynnetta Ward,Charlene Cooper,Terry Gillen,Anuj Gupta,Matthew Miller,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Anlin Wang,Arielle Cohen,Joanne Beer,Daisy Confoy,Christina Borst,Carla Le'Coin,Steve Paul,Bryan Mercer,Sergio Cea,Jack Cahill,Paul Prescod,Daniel Laufer,Write-In,All
Joseph R Biden,239,0,0,0,"3,605","3,622","3,548","3,517","3,398","3,350","3,327","3,241","3,216","3,099","2,886",776,623,542,503,510,475,521,462,401,430,396,359,326,301,68,All
Bernie Sanders,,48,0,0,167,135,148,98,123,120,117,143,75,92,102,675,708,655,626,617,633,589,584,629,567,567,574,586,553,1,All
Tulsi Gabbard,,,7,0,26,21,25,21,23,25,22,27,16,20,19,32,34,24,22,23,26,18,23,27,18,20,21,24,16,1,All
Write-In,,,,8,4,14,5,5,12,7,4,7,1,6,2,18,22,23,25,18,20,21,20,17,18,18,16,16,15,14,All
Cindy Bass,,,,,3,"3,239","3,248","3,148","3,094","3,173","3,120","3,034","2,915","2,764","2,762",672,562,489,366,436,406,354,296,337,297,240,242,300,180,34,All
Malcolm Kenyatta,,,,,,0,"3,253","3,352","3,327","3,187","3,159","3,105","3,142","3,028","2,741",638,507,401,444,387,353,450,405,281,369,345,294,219,232,47,All
Nina Tinari,,,,,,,1,"3,219","3,172","3,244","3,209","3,160","3,022","2,930","2,889",694,556,507,339,456,434,363,332,346,274,266,205,282,161,48,All
Ken Washington,,,,,,,,1,"3,218","3,149","3,150","3,021","3,126","2,927","2,747",582,434,388,349,354,309,378,337,248,326,289,256,214,199,31,All
Wynnetta Ward,,,,,,,,,0,"3,109","3,075","2,976","3,058","2,963","2,655",586,481,391,418,348,327,420,373,248,322,300,271,180,214,44,All
