col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Representative In The General Assembly 185th District - Democrat,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Regina Young,Maria P Donatucci,Write-In,Ken Washington,Malcolm Kenyatta,Nina Tinari,Terry Gillen,Cindy Bass,Charlene Cooper,Wynnetta Ward,Anuj Gupta,Matthew Miller,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Anlin Wang,Joanne Beer,Christina Borst,Arielle Cohen,Daisy Confoy,Steve Paul,Carla Le'Coin,Jack Cahill,Paul Prescod,Bryan Mercer,Sergio Cea,Daniel Laufer,Write-In,All
Regina Young,33,0,0,236,232,230,227,216,219,223,205,200,194,173,202,199,197,199,188,186,190,171,177,168,170,168,168,159,2,All
Maria P Donatucci,,25,0,177,176,177,169,175,166,155,163,159,161,154,103,98,94,88,85,81,82,93,84,83,81,79,69,72,4,All
Write-In,,,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Ken Washington,,,,3,378,356,360,337,350,366,341,358,346,303,76,42,54,49,59,51,43,38,49,40,36,47,40,31,14,All
Malcolm Kenyatta,,,,,1,347,351,336,349,365,331,353,343,302,81,55,57,60,68,62,47,43,60,46,36,51,47,37,14,All
Nina Tinari,,,,,,5,368,357,366,336,355,328,321,322,100,72,79,82,58,46,73,59,51,34,54,34,35,24,6,All
Terry Gillen,,,,,,,0,356,374,345,351,336,326,323,91,69,71,73,52,47,64,57,42,38,56,42,32,27,6,All
Cindy Bass,,,,,,,,1,355,323,339,310,303,316,88,74,72,71,46,48,63,58,37,31,51,25,26,27,5,All
Charlene Cooper,,,,,,,,,1,336,350,336,322,318,82,64,62,64,50,39,56,49,41,29,43,35,27,16,6,All
Wynnetta Ward,,,,,,,,,,0,320,344,335,281,64,47,51,54,63,55,44,35,50,40,27,44,41,34,6,All
Anuj Gupta,,,,,,,,,,,0,321,312,309,85,61,69,63,49,38,60,48,45,23,44,32,31,19,6,All
Matthew Miller,,,,,,,,,,,,0,336,290,57,37,43,45,52,47,33,24,45,40,27,43,39,30,14,All
Lindy Li,,,,,,,,,,,,,0,282,61,45,54,43,57,54,38,33,56,38,25,46,43,36,5,All
Owen Voutsinas-Klose,,,,,,,,,,,,,,1,64,52,56,46,25,30,43,45,27,21,38,23,20,18,6,All
Sherrie Cohen,,,,,,,,,,,,,,,0,263,261,265,232,231,261,256,229,213,241,214,204,209,0,All
Heather Pope,,,,,,,,,,,,,,,,1,265,254,226,234,249,254,224,216,235,212,212,216,0,All
Anlin Wang,,,,,,,,,,,,,,,,,0,252,227,237,248,249,224,216,234,208,216,215,0,All
Joanne Beer,,,,,,,,,,,,,,,,,,0,229,230,260,237,220,213,241,207,212,210,2,All
Christina Borst,,,,,,,,,,,,,,,,,,,0,231,228,210,249,222,197,223,219,218,8,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,1,223,220,232,224,215,219,229,218,8,All
Daisy Confoy,,,,,,,,,,,,,,,,,,,,,0,237,223,208,234,202,205,209,0,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,0,212,214,235,208,203,213,0,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,0,223,204,225,220,220,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,0,213,225,210,222,0,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,0,206,202,201,0,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,0,213,211,0,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,,,0,210,0,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,500,315,2,450,441,436,422,421,412,409,392,385,381,349,322,314,305,301,288,287,287,278,275,266,266,261,252,244,14,All
,Representative In The General Assembly 185th District - Democrat,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Regina Young,Maria P Donatucci,Write-In,Nina Tinari,Terry Gillen,Ken Washington,Malcolm Kenyatta,Charlene Cooper,Cindy Bass,Anuj Gupta,Matthew Miller,Lindy Li,Wynnetta Ward,Owen Voutsinas-Klose,Sherrie Cohen,Anlin Wang,Joanne Beer,Heather Pope,Daisy Confoy,Paul Prescod,Carla Le'Coin,Steve Paul,Arielle Cohen,Christina Borst,Jack Cahill,Bryan Mercer,Daniel Laufer,Sergio Cea,Write-In,1
Regina Young,3,0,0,55,53,52,53,48,49,51,47,46,45,42,50,47,46,46,44,41,41,39,38,38,34,35,32,32,1,1
Maria P Donatucci,,8,0,45,45,45,44,45,44,42,42,41,41,39,25,25,26,25,23,24,20,22,21,19,22,20,18,16,0,1
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nina Tinari,,,,0,88,80,79,85,79,87,76,74,72,77,26,21,23,19,21,19,9,14,7,7,5,7,3,1,1,1
Terry Gillen,,,,,0,82,82,91,84,88,80,75,77,78,27,20,24,20,20,20,11,15,7,6,8,9,6,2,1,1
Ken Washington,,,,,,0,88,79,74,79,86,82,82,68,17,13,12,9,11,11,12,6,12,9,9,12,6,5,1,1
Malcolm Kenyatta,,,,,,,0,80,74,79,86,83,82,67,19,10,15,10,9,8,14,6,11,10,8,12,6,5,1,1
Charlene Cooper,,,,,,,,0,85,86,78,75,73,77,23,17,20,18,18,15,10,14,6,8,5,9,3,2,1,1
Cindy Bass,,,,,,,,,0,80,72,67,70,73,25,21,23,21,20,19,10,17,11,8,8,5,6,5,1,1
Anuj Gupta,,,,,,,,,,0,78,74,73,76,26,21,23,18,19,18,10,13,8,8,3,7,2,2,1,1
Matthew Miller,,,,,,,,,,,0,82,83,66,14,9,12,7,8,7,10,2,9,9,8,10,7,4,1,1
Lindy Li,,,,,,,,,,,,0,76,66,15,12,11,11,9,6,12,4,10,10,8,11,8,6,1,1
Wynnetta Ward,,,,,,,,,,,,,0,58,15,9,13,8,10,8,10,2,10,8,7,8,7,3,1,1
Owen Voutsinas-Klose,,,,,,,,,,,,,,0,18,19,16,17,13,14,9,13,5,4,5,8,3,2,1,1
Sherrie Cohen,,,,,,,,,,,,,,,0,63,65,63,65,61,53,59,49,49,46,45,44,43,0,1
Anlin Wang,,,,,,,,,,,,,,,,0,61,64,60,57,50,58,50,46,46,44,44,43,0,1
Joanne Beer,,,,,,,,,,,,,,,,,0,61,62,60,50,55,48,49,45,44,46,44,0,1
Heather Pope,,,,,,,,,,,,,,,,,,0,61,57,51,60,48,47,47,45,46,45,0,1
Daisy Confoy,,,,,,,,,,,,,,,,,,,0,60,50,58,48,47,45,42,45,43,0,1
Paul Prescod,,,,,,,,,,,,,,,,,,,,0,48,56,48,43,47,45,45,44,0,1
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,0,48,52,53,50,51,48,47,0,1
Steve Paul,,,,,,,,,,,,,,,,,,,,,,0,47,44,45,43,42,42,0,1
Arielle Cohen,,,,,,,,,,,,,,,,,,,,,,,0,48,49,46,45,47,0,1
Christina Borst,,,,,,,,,,,,,,,,,,,,,,,,0,46,47,45,45,0,1
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,0,49,48,46,0,1
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,45,0,1
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,0,1
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,108,81,0,102,101,100,100,96,96,95,92,89,89,83,76,73,73,72,68,66,62,62,60,58,57,56,51,49,1,1
,Representative In The General Assembly 185th District - Democrat,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Regina Young,Maria P Donatucci,Write-In,Malcolm Kenyatta,Nina Tinari,Terry Gillen,Charlene Cooper,Ken Washington,Cindy Bass,Wynnetta Ward,Matthew Miller,Lindy Li,Owen Voutsinas-Klose,Anuj Gupta,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Steve Paul,Arielle Cohen,Christina Borst,Carla Le'Coin,Daisy Confoy,Paul Prescod,Sergio Cea,Bryan Mercer,Jack Cahill,Daniel Laufer,Write-In,2
Regina Young,2,0,0,74,75,72,72,72,65,69,60,60,58,60,71,70,70,68,62,66,64,60,62,60,60,57,56,55,0,2
Maria P Donatucci,,4,0,53,52,52,51,47,53,46,48,46,48,45,34,31,28,26,29,24,26,29,27,22,21,23,24,20,2,2
Write-In,,,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Malcolm Kenyatta,,,,0,117,115,115,116,111,117,111,108,107,100,28,21,24,20,18,21,20,20,14,13,19,13,12,11,2,2
Nina Tinari,,,,,1,121,121,114,119,111,104,103,108,108,38,27,30,26,22,19,22,20,25,14,17,11,8,9,2,2
Terry Gillen,,,,,,0,122,115,117,110,106,102,110,108,33,23,23,22,22,17,16,14,18,16,11,12,13,7,2,2
Charlene Cooper,,,,,,,0,110,113,109,107,104,108,108,30,21,22,20,19,15,15,14,17,14,10,11,10,5,2,2
Ken Washington,,,,,,,,1,107,110,105,103,102,101,26,15,18,16,19,13,16,13,12,12,14,11,10,10,2,2
Cindy Bass,,,,,,,,,0,108,99,99,107,106,33,26,26,24,23,17,17,17,22,17,11,10,10,11,2,2
Wynnetta Ward,,,,,,,,,,0,102,106,100,100,23,17,21,15,16,18,19,15,11,9,14,10,9,9,2,2
Matthew Miller,,,,,,,,,,,0,100,98,96,22,15,17,13,15,17,14,16,10,11,15,13,13,10,2,2
Lindy Li,,,,,,,,,,,,0,94,93,22,14,17,15,14,18,16,18,11,8,14,11,10,10,2,2
Owen Voutsinas-Klose,,,,,,,,,,,,,0,98,21,13,14,13,16,10,10,11,11,10,9,6,8,8,2,2
Anuj Gupta,,,,,,,,,,,,,,0,26,17,19,18,16,9,12,13,16,9,8,7,6,6,2,2
Sherrie Cohen,,,,,,,,,,,,,,,0,95,93,89,86,82,85,81,90,79,72,74,72,70,0,2
Heather Pope,,,,,,,,,,,,,,,,0,90,92,88,85,82,80,86,82,73,75,74,71,0,2
Joanne Beer,,,,,,,,,,,,,,,,,0,86,81,81,82,79,90,79,77,74,70,70,2,2
Anlin Wang,,,,,,,,,,,,,,,,,,0,85,84,79,77,84,78,75,72,72,72,0,2
Steve Paul,,,,,,,,,,,,,,,,,,,0,77,72,72,78,81,71,75,74,73,0,2
Arielle Cohen,,,,,,,,,,,,,,,,,,,,0,79,79,78,74,79,75,75,73,0,2
