col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,All
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,All
Dwight Evans,113,0,"1,568",194,173,108,90,73,3,All
Write-In,,1,4,0,0,1,0,0,1,All
Nina Ahmad,,,175,0,0,0,0,0,0,All
Michael Lamb,,,,17,0,0,0,0,0,All
Tracie Fountain,,,,,33,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,31,0,0,0,All
H Scott Conklin,,,,,,,7,0,0,All
Christina M Hartman,,,,,,,,9,0,All
Write-In,,,,,,,,,0,All
Total,"2,322",7,"1,747",211,206,140,97,82,4,All
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,1
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Christina M Hartman,Rose Rosie Marie Davis,H Scott Conklin,Write-In,1
Dwight Evans,6,0,118,13,5,3,4,3,0,1
Write-In,,0,0,0,0,0,0,0,0,1
Nina Ahmad,,,13,0,0,0,0,0,0,1
Michael Lamb,,,,0,0,0,0,0,0,1
Tracie Fountain,,,,,3,0,0,0,0,1
Christina M Hartman,,,,,,1,0,0,0,1
Rose Rosie Marie Davis,,,,,,,0,0,0,1
H Scott Conklin,,,,,,,,0,0,1
Write-In,,,,,,,,,0,1
Total,152,0,131,13,8,4,4,3,0,1
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,2
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,2
Dwight Evans,9,0,89,17,13,7,4,6,0,2
Write-In,,0,0,0,0,0,0,0,0,2
Nina Ahmad,,,14,0,0,0,0,0,0,2
Michael Lamb,,,,1,0,0,0,0,0,2
Tracie Fountain,,,,,1,0,0,0,0,2
Rose Rosie Marie Davis,,,,,,6,0,0,0,2
Christina M Hartman,,,,,,,2,0,0,2
H Scott Conklin,,,,,,,,0,0,2
Write-In,,,,,,,,,0,2
Total,145,0,103,18,14,13,6,6,0,2
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,3
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Tracie Fountain,Christina M Hartman,Write-In,3
Dwight Evans,11,0,119,18,14,10,6,5,0,3
Write-In,,0,0,0,0,0,0,0,0,3
Nina Ahmad,,,11,0,0,0,0,0,0,3
Michael Lamb,,,,1,0,0,0,0,0,3
Rose Rosie Marie Davis,,,,,5,0,0,0,0,3
H Scott Conklin,,,,,,1,0,0,0,3
Tracie Fountain,,,,,,,3,0,0,3
Christina M Hartman,,,,,,,,0,0,3
Write-In,,,,,,,,,0,3
Total,183,0,130,19,19,11,9,5,0,3
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,4
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,4
Dwight Evans,8,0,103,8,8,8,5,4,0,4
Write-In,,0,0,0,0,0,0,0,0,4
Nina Ahmad,,,6,0,0,0,0,0,0,4
Michael Lamb,,,,2,0,0,0,0,0,4
Rose Rosie Marie Davis,,,,,2,0,0,0,0,4
Tracie Fountain,,,,,,2,0,0,0,4
H Scott Conklin,,,,,,,0,0,0,4
Christina M Hartman,,,,,,,,0,0,4
Write-In,,,,,,,,,0,4
Total,144,0,109,10,10,10,5,4,0,4
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,5
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,5
Dwight Evans,6,0,135,30,13,12,8,6,0,5
Write-In,,1,1,0,0,0,0,0,0,5
Nina Ahmad,,,14,0,0,0,0,0,0,5
Michael Lamb,,,,2,0,0,0,0,0,5
Tracie Fountain,,,,,3,0,0,0,0,5
H Scott Conklin,,,,,,0,0,0,0,5
Rose Rosie Marie Davis,,,,,,,0,0,0,5
Christina M Hartman,,,,,,,,1,0,5
Write-In,,,,,,,,,0,5
Total,210,2,150,32,16,12,8,7,0,5
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,6
,Dwight Evans,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,6
Dwight Evans,15,0,132,16,13,5,6,4,1,6
Write-In,,0,1,0,0,0,0,0,0,6
Nina Ahmad,,,20,0,0,0,0,0,0,6
Tracie Fountain,,,,2,0,0,0,0,0,6
Michael Lamb,,,,,2,0,0,0,0,6
Rose Rosie Marie Davis,,,,,,3,0,0,0,6
Christina M Hartman,,,,,,,0,0,0,6
H Scott Conklin,,,,,,,,0,0,6
Write-In,,,,,,,,,0,6
Total,192,1,153,18,15,8,6,4,1,6
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,7
,Dwight Evans,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,7
Dwight Evans,4,0,71,9,9,7,3,2,0,7
Write-In,,0,1,0,0,0,0,0,0,7
Nina Ahmad,,,10,0,0,0,0,0,0,7
Tracie Fountain,,,,4,0,0,0,0,0,7
Michael Lamb,,,,,2,0,0,0,0,7
Rose Rosie Marie Davis,,,,,,3,0,0,0,7
H Scott Conklin,,,,,,,0,0,0,7
Christina M Hartman,,,,,,,,0,0,7
Write-In,,,,,,,,,0,7
Total,105,1,82,13,11,10,3,2,0,7
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,8
,Dwight Evans,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,8
Dwight Evans,6,0,158,25,18,9,8,6,0,8
Write-In,,0,0,0,0,1,0,0,0,8
Nina Ahmad,,,15,0,0,0,0,0,0,8
Tracie Fountain,,,,3,0,0,0,0,0,8
Michael Lamb,,,,,2,0,0,0,0,8
Rose Rosie Marie Davis,,,,,,0,0,0,0,8
Christina M Hartman,,,,,,,1,0,0,8
H Scott Conklin,,,,,,,,0,0,8
Write-In,,,,,,,,,0,8
Total,230,1,173,28,20,10,9,6,0,8
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,9
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,9
Dwight Evans,5,0,60,7,6,5,4,3,0,9
Write-In,,0,0,0,0,0,0,0,0,9
Nina Ahmad,,,4,0,0,0,0,0,0,9
Michael Lamb,,,,2,0,0,0,0,0,9
Tracie Fountain,,,,,1,0,0,0,0,9
H Scott Conklin,,,,,,0,0,0,0,9
Rose Rosie Marie Davis,,,,,,,0,0,0,9
Christina M Hartman,,,,,,,,0,0,9
Write-In,,,,,,,,,0,9
Total,90,0,64,9,7,5,4,3,0,9
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,10
,Dwight Evans,Write-In,Nina Ahmad,Rose Rosie Marie Davis,Christina M Hartman,Tracie Fountain,H Scott Conklin,Michael Lamb,Write-In,10
Dwight Evans,1,0,31,3,3,3,1,1,0,10
Write-In,,0,0,0,0,0,0,0,0,10
Nina Ahmad,,,3,0,0,0,0,0,0,10
Rose Rosie Marie Davis,,,,1,0,0,0,0,0,10
Christina M Hartman,,,,,0,0,0,0,0,10
Tracie Fountain,,,,,,0,0,0,0,10
H Scott Conklin,,,,,,,0,0,0,10
Michael Lamb,,,,,,,,0,0,10
Write-In,,,,,,,,,0,10
Total,43,0,34,4,3,3,1,1,0,10
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,11
,Dwight Evans,Write-In,Nina Ahmad,Christina M Hartman,Tracie Fountain,H Scott Conklin,Michael Lamb,Rose Rosie Marie Davis,Write-In,11
Dwight Evans,12,0,77,10,9,8,4,3,1,11
Write-In,,0,0,0,0,0,0,0,0,11
Nina Ahmad,,,10,0,0,0,0,0,0,11
Christina M Hartman,,,,1,0,0,0,0,0,11
Tracie Fountain,,,,,1,0,0,0,0,11
H Scott Conklin,,,,,,0,0,0,0,11
Michael Lamb,,,,,,,2,0,0,11
Rose Rosie Marie Davis,,,,,,,,2,0,11
Write-In,,,,,,,,,0,11
Total,124,0,87,11,10,8,6,5,1,11
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,12
,Dwight Evans,Write-In,Nina Ahmad,Rose Rosie Marie Davis,Michael Lamb,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,12
Dwight Evans,8,0,87,9,10,8,7,2,0,12
Write-In,,0,0,0,0,0,0,0,0,12
Nina Ahmad,,,7,0,0,0,0,0,0,12
Rose Rosie Marie Davis,,,,3,0,0,0,0,0,12
Michael Lamb,,,,,0,0,0,0,0,12
Tracie Fountain,,,,,,2,0,0,0,12
H Scott Conklin,,,,,,,1,0,0,12
Christina M Hartman,,,,,,,,0,0,12
Write-In,,,,,,,,,0,12
Total,131,0,94,12,10,10,8,2,0,12
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,13
,Dwight Evans,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,13
Dwight Evans,3,0,86,11,9,5,4,3,0,13
Write-In,,0,1,0,0,0,0,0,0,13
Nina Ahmad,,,4,0,0,0,0,0,0,13
Tracie Fountain,,,,2,0,0,0,0,0,13
Michael Lamb,,,,,0,0,0,0,0,13
H Scott Conklin,,,,,,1,0,0,0,13
Rose Rosie Marie Davis,,,,,,,2,0,0,13
Christina M Hartman,,,,,,,,0,0,13
Write-In,,,,,,,,,0,13
Total,121,1,91,13,9,6,6,3,0,13
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,14
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,14
Dwight Evans,8,0,106,13,8,9,4,1,0,14
Write-In,,0,0,0,0,0,0,0,0,14
Nina Ahmad,,,25,0,0,0,0,0,0,14
Michael Lamb,,,,1,0,0,0,0,0,14
Rose Rosie Marie Davis,,,,,2,0,0,0,0,14
Tracie Fountain,,,,,,1,0,0,0,14
H Scott Conklin,,,,,,,1,0,0,14
Christina M Hartman,,,,,,,,1,0,14
Write-In,,,,,,,,,0,14
Total,149,0,131,14,10,10,5,2,0,14
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,15
,Dwight Evans,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,15
Dwight Evans,5,0,43,5,3,2,3,2,0,15
Write-In,,0,0,0,0,0,0,0,0,15
Nina Ahmad,,,1,0,0,0,0,0,0,15
Michael Lamb,,,,0,0,0,0,0,0,15
Tracie Fountain,,,,,2,0,0,0,0,15
H Scott Conklin,,,,,,1,0,0,0,15
Rose Rosie Marie Davis,,,,,,,0,0,0,15
Christina M Hartman,,,,,,,,0,0,15
Write-In,,,,,,,,,0,15
Total,63,0,44,5,5,3,3,2,0,15
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,16
,Dwight Evans,Write-In,Nina Ahmad,Rose Rosie Marie Davis,H Scott Conklin,Michael Lamb,Tracie Fountain,Christina M Hartman,Write-In,16
Dwight Evans,3,0,42,4,3,4,3,0,0,16
Write-In,,0,0,0,0,0,0,0,1,16
Nina Ahmad,,,8,0,0,0,0,0,0,16
Rose Rosie Marie Davis,,,,1,0,0,0,0,0,16
H Scott Conklin,,,,,1,0,0,0,0,16
Michael Lamb,,,,,,0,0,0,0,16
Tracie Fountain,,,,,,,1,0,0,16
Christina M Hartman,,,,,,,,1,0,16
Write-In,,,,,,,,,0,16
Total,59,1,50,5,4,4,4,1,1,16
,Representative In Congress 3rd District - Democrat,,Auditor General - Democrat,,,,,,,17
,Dwight Evans,Write-In,Nina Ahmad,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Michael Lamb,Christina M Hartman,Write-In,17
Dwight Evans,2,0,32,11,3,3,3,2,1,17
