col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,All
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,All
Joseph R Biden,326,0,0,0,"1,286",323,143,126,44,33,0,All
Bernie Sanders,,25,0,0,91,57,4,8,18,8,0,All
Tulsi Gabbard,,,0,0,12,5,0,0,1,6,0,All
Write-In,,,,0,0,0,0,1,0,1,0,All
Nina Ahmad,,,,,33,0,0,0,0,0,0,All
Michael Lamb,,,,,,15,0,0,0,0,0,All
Tracie Fountain,,,,,,,1,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,,,2,0,0,0,All
H Scott Conklin,,,,,,,,,1,0,0,All
Christina M Hartman,,,,,,,,,,2,0,All
Write-In,,,,,,,,,,,1,All
Total,"2,281",211,24,2,"1,422",400,148,137,64,50,1,All
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,1
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Michael Lamb,H Scott Conklin,Tracie Fountain,Christina M Hartman,Rose Rosie Marie Davis,Write-In,1
Joseph R Biden,6,0,0,0,45,15,4,3,0,0,0,1
Bernie Sanders,,0,0,0,5,3,0,1,0,0,0,1
Tulsi Gabbard,,,0,0,1,0,0,0,0,0,0,1
Write-In,,,,0,0,0,0,0,0,0,0,1
Nina Ahmad,,,,,2,0,0,0,0,0,0,1
Michael Lamb,,,,,,0,0,0,0,0,0,1
H Scott Conklin,,,,,,,0,0,0,0,0,1
Tracie Fountain,,,,,,,,0,0,0,0,1
Christina M Hartman,,,,,,,,,0,0,0,1
Rose Rosie Marie Davis,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,0,1
Total,73,9,1,0,53,18,4,4,0,0,0,1
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,2
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,2
Joseph R Biden,19,0,0,0,140,26,9,6,4,0,0,2
Bernie Sanders,,3,0,0,2,7,0,2,1,0,0,2
Tulsi Gabbard,,,0,0,1,1,0,0,0,0,0,2
Write-In,,,,0,0,0,0,0,0,0,0,2
Nina Ahmad,,,,,3,0,0,0,0,0,0,2
Michael Lamb,,,,,,1,0,0,0,0,0,2
Tracie Fountain,,,,,,,0,0,0,0,0,2
Rose Rosie Marie Davis,,,,,,,,0,0,0,0,2
H Scott Conklin,,,,,,,,,0,0,0,2
Christina M Hartman,,,,,,,,,,1,0,2
Write-In,,,,,,,,,,,0,2
Total,204,15,2,0,146,35,9,8,5,1,0,2
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,3
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,3
Joseph R Biden,8,0,0,0,36,23,6,3,2,0,0,3
Bernie Sanders,,0,0,0,4,2,0,0,0,1,0,3
Tulsi Gabbard,,,0,0,0,0,0,0,0,0,0,3
Write-In,,,,0,0,0,0,0,0,0,0,3
Nina Ahmad,,,,,5,0,0,0,0,0,0,3
Michael Lamb,,,,,,2,0,0,0,0,0,3
Rose Rosie Marie Davis,,,,,,,0,0,0,0,0,3
Tracie Fountain,,,,,,,,0,0,0,0,3
H Scott Conklin,,,,,,,,,0,0,0,3
Christina M Hartman,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,0,3
Total,78,7,0,0,45,27,6,3,2,1,0,3
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,4
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Tracie Fountain,H Scott Conklin,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,Write-In,4
Joseph R Biden,9,0,0,0,22,8,5,5,2,1,0,4
Bernie Sanders,,0,0,0,4,0,2,1,0,0,0,4
Tulsi Gabbard,,,0,0,0,0,0,0,0,0,0,4
Write-In,,,,0,0,0,0,0,0,0,0,4
Nina Ahmad,,,,,0,0,0,0,0,0,0,4
Tracie Fountain,,,,,,0,0,0,0,0,0,4
H Scott Conklin,,,,,,,0,0,0,0,0,4
Michael Lamb,,,,,,,,1,0,0,0,4
Rose Rosie Marie Davis,,,,,,,,,0,0,0,4
Christina M Hartman,,,,,,,,,,0,0,4
Write-In,,,,,,,,,,,0,4
Total,52,7,0,0,26,8,7,7,2,1,0,4
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,5
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,5
Joseph R Biden,15,0,0,0,41,11,4,1,2,0,0,5
Bernie Sanders,,1,0,0,4,0,2,1,0,0,0,5
Tulsi Gabbard,,,0,0,0,0,0,1,0,1,0,5
Write-In,,,,0,0,0,0,0,0,0,0,5
Nina Ahmad,,,,,1,0,0,0,0,0,0,5
Tracie Fountain,,,,,,0,0,0,0,0,0,5
Michael Lamb,,,,,,,1,0,0,0,0,5
H Scott Conklin,,,,,,,,0,0,0,0,5
Rose Rosie Marie Davis,,,,,,,,,0,0,0,5
Christina M Hartman,,,,,,,,,,0,0,5
Write-In,,,,,,,,,,,0,5
Total,74,8,2,0,46,11,7,3,2,1,0,5
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,6
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Rose Rosie Marie Davis,Michael Lamb,Tracie Fountain,Christina M Hartman,H Scott Conklin,Write-In,6
Joseph R Biden,9,0,0,0,45,6,4,2,2,0,0,6
Bernie Sanders,,1,0,0,2,1,1,0,0,0,0,6
Tulsi Gabbard,,,0,0,0,0,0,0,0,0,0,6
Write-In,,,,0,0,0,0,0,0,0,0,6
Nina Ahmad,,,,,0,0,0,0,0,0,0,6
Rose Rosie Marie Davis,,,,,,0,0,0,0,0,0,6
Michael Lamb,,,,,,,0,0,0,0,0,6
Tracie Fountain,,,,,,,,1,0,0,0,6
Christina M Hartman,,,,,,,,,0,0,0,6
H Scott Conklin,,,,,,,,,,0,0,6
Write-In,,,,,,,,,,,0,6
Total,68,5,0,0,47,7,5,3,2,0,0,6
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,7
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,H Scott Conklin,Write-In,7
Joseph R Biden,13,0,0,0,104,32,10,10,3,3,0,7
Bernie Sanders,,2,0,0,6,6,2,0,0,0,0,7
Tulsi Gabbard,,,0,0,1,0,0,0,0,0,0,7
Write-In,,,,0,0,0,0,0,0,0,0,7
Nina Ahmad,,,,,0,0,0,0,0,0,0,7
Michael Lamb,,,,,,1,0,0,0,0,0,7
Rose Rosie Marie Davis,,,,,,,0,0,0,0,0,7
Tracie Fountain,,,,,,,,0,0,0,0,7
Christina M Hartman,,,,,,,,,0,0,0,7
H Scott Conklin,,,,,,,,,,0,0,7
Write-In,,,,,,,,,,,0,7
Total,175,16,1,0,111,39,12,10,3,3,0,7
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,8
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Michael Lamb,H Scott Conklin,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,Write-In,8
Joseph R Biden,18,0,0,0,105,27,7,5,4,2,0,8
Bernie Sanders,,4,0,0,2,6,2,0,1,0,0,8
Tulsi Gabbard,,,0,0,1,1,0,0,0,0,0,8
Write-In,,,,0,0,0,0,0,0,0,0,8
Nina Ahmad,,,,,2,0,0,0,0,0,0,8
Michael Lamb,,,,,,1,0,0,0,0,0,8
H Scott Conklin,,,,,,,0,0,0,0,0,8
Rose Rosie Marie Davis,,,,,,,,0,0,0,0,8
Tracie Fountain,,,,,,,,,0,0,0,8
Christina M Hartman,,,,,,,,,,0,0,8
Write-In,,,,,,,,,,,1,8
Total,168,15,2,0,110,35,9,5,5,2,1,8
,President Of The United States - Democrat,,,,Auditor General - Democrat,,,,,,,9
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,H Scott Conklin,Write-In,9
Joseph R Biden,24,0,0,0,82,12,12,9,2,1,0,9
Bernie Sanders,,1,0,0,7,2,0,0,0,0,0,9
Tulsi Gabbard,,,0,0,0,1,0,0,0,0,0,9
Write-In,,,,0,0,0,0,0,0,0,0,9
Nina Ahmad,,,,,1,0,0,0,0,0,0,9
Michael Lamb,,,,,,0,0,0,0,0,0,9
