col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Representative In The General Assembly 152nd District - Democrat,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Nancy Guenst,Pamela Robinson,Michele Lockman,Mona Getzes Cohen,Patrick Parkinson,Anthony Bellmon,Theodore Kirsch,Amy Roat,Lisa Powley,Alvaro Quinones,Lorraine Haw,Ronald Raju Joseph,Vayda Good,Adam Tennant,Kempis Ghani Songster,Write-In,All
Nancy Guenst,38,400,391,371,366,363,357,168,162,133,127,127,118,111,104,12,All
Pamela Robinson,,4,431,400,415,408,402,80,97,47,55,45,40,31,25,6,All
Michele Lockman,,,5,399,414,411,406,73,90,43,52,46,38,28,25,6,All
Mona Getzes Cohen,,,,0,377,380,376,67,75,48,50,49,43,32,27,6,All
Patrick Parkinson,,,,,1,401,400,66,81,42,44,42,29,29,20,6,All
Anthony Bellmon,,,,,,2,401,64,79,35,40,38,28,23,21,6,All
Theodore Kirsch,,,,,,,1,55,72,33,36,37,25,24,20,6,All
Amy Roat,,,,,,,,0,142,109,106,100,111,102,94,0,All
Lisa Powley,,,,,,,,,0,96,107,94,96,91,85,0,All
Alvaro Quinones,,,,,,,,,,0,100,101,110,103,92,0,All
Lorraine Haw,,,,,,,,,,,0,90,99,94,90,0,All
Ronald Raju Joseph,,,,,,,,,,,,1,94,88,89,0,All
Vayda Good,,,,,,,,,,,,,0,96,92,0,All
Adam Tennant,,,,,,,,,,,,,,0,83,0,All
Kempis Ghani Songster,,,,,,,,,,,,,,,0,1,All
Write-In,,,,,,,,,,,,,,,,0,All
Total,572,475,468,435,435,432,426,190,188,148,145,143,135,126,117,14,All
