col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,All
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,All
Jared Solomon,20,0,"1,090",209,31,6,All
Write-In,,0,5,2,0,2,All
Joseph R Biden,,,252,0,0,0,All
Bernie Sanders,,,,25,0,0,All
Tulsi Gabbard,,,,,6,0,All
Write-In,,,,,,3,All
Total,"1,356",9,"1,347",236,37,11,All
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,1
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,1
Jared Solomon,2,0,97,36,2,2,1
Write-In,,0,1,0,0,0,1
Joseph R Biden,,,34,0,0,0,1
Bernie Sanders,,,,4,0,0,1
Tulsi Gabbard,,,,,0,0,1
Write-In,,,,,,0,1
Total,139,1,132,40,2,2,1
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,2
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,2
Jared Solomon,2,0,96,21,4,2,2
Write-In,,0,1,0,0,1,2
Joseph R Biden,,,27,0,0,0,2
Bernie Sanders,,,,3,0,0,2
Tulsi Gabbard,,,,,1,0,2
Write-In,,,,,,0,2
Total,125,2,124,24,5,3,2
,President Of The United States - Democrat,,,,Representative In The General Assembly 202nd District - Democrat,,3
,Joseph R Biden,Bernie Sanders,Write-In,Tulsi Gabbard,Jared Solomon,Write-In,3
Joseph R Biden,21,0,0,0,91,0,3
Bernie Sanders,,1,0,0,15,0,3
Write-In,,,1,0,1,0,3
Tulsi Gabbard,,,,0,0,0,3
Jared Solomon,,,,,2,0,3
Write-In,,,,,,0,3
Total,112,16,2,0,109,0,3
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,4
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,4
Jared Solomon,0,0,81,15,2,1,4
Write-In,,0,0,0,0,0,4
Joseph R Biden,,,18,0,0,0,4
Bernie Sanders,,,,3,0,0,4
Tulsi Gabbard,,,,,0,0,4
Write-In,,,,,,0,4
Total,99,0,99,18,2,1,4
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,5
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,5
Jared Solomon,4,0,146,21,5,0,5
Write-In,,0,0,1,0,0,5
Joseph R Biden,,,27,0,0,0,5
Bernie Sanders,,,,2,0,0,5
Tulsi Gabbard,,,,,1,0,5
Write-In,,,,,,0,5
Total,176,1,173,24,6,0,5
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,6
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,6
Jared Solomon,2,0,142,18,7,0,6
Write-In,,0,0,0,0,0,6
Joseph R Biden,,,20,0,0,0,6
Bernie Sanders,,,,2,0,0,6
Tulsi Gabbard,,,,,0,0,6
Write-In,,,,,,0,6
Total,169,0,162,20,7,0,6
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,7
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,7
Jared Solomon,3,0,125,32,7,0,7
Write-In,,0,0,0,0,1,7
Joseph R Biden,,,24,0,0,0,7
Bernie Sanders,,,,4,0,0,7
Tulsi Gabbard,,,,,2,0,7
Write-In,,,,,,0,7
Total,167,1,149,36,9,1,7
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,8
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,8
Jared Solomon,2,0,115,23,0,0,8
Write-In,,0,3,0,0,0,8
Joseph R Biden,,,22,0,0,0,8
Bernie Sanders,,,,1,0,0,8
Tulsi Gabbard,,,,,1,0,8
Write-In,,,,,,1,8
Total,140,3,140,24,1,1,8
,President Of The United States - Democrat,,,,Representative In The General Assembly 202nd District - Democrat,,12
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Jared Solomon,Write-In,12
Joseph R Biden,38,0,0,0,102,0,12
Bernie Sanders,,4,0,0,13,1,12
Tulsi Gabbard,,,0,0,1,0,12
Write-In,,,,1,0,0,12
Jared Solomon,,,,,0,0,12
Write-In,,,,,,0,12
Total,140,18,1,1,116,1,12
,Representative In The General Assembly 202nd District - Democrat,,President Of The United States - Democrat,,,,32
,Jared Solomon,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,32
Jared Solomon,3,0,95,15,3,0,32
Write-In,,0,0,0,0,0,32
Joseph R Biden,,,21,0,0,0,32
Bernie Sanders,,,,1,0,0,32
Tulsi Gabbard,,,,,1,0,32
Write-In,,,,,,0,32
Total,116,0,116,16,4,0,32
