col_1,col_2,col_3,division
,Representative In Congress 2nd District - Democrat,,All
,Brendan F Boyle,Write-In,All
Brendan F Boyle,"1,241",0,All
Write-In,,3,All
Total,"1,241",3,All
,Representative In Congress 2nd District - Democrat,,1
,Brendan F Boyle,Write-In,1
Brendan F Boyle,57,0,1
Write-In,,0,1
Total,57,0,1
,Representative In Congress 2nd District - Democrat,,2
,Brendan F Boyle,Write-In,2
Brendan F Boyle,68,0,2
Write-In,,0,2
Total,68,0,2
,Representative In Congress 2nd District - Democrat,,3
,Brendan F Boyle,Write-In,3
Brendan F Boyle,45,0,3
Write-In,,0,3
Total,45,0,3
,Representative In Congress 2nd District - Democrat,,4
,Brendan F Boyle,Write-In,4
Brendan F Boyle,58,0,4
Write-In,,0,4
Total,58,0,4
,Representative In Congress 2nd District - Democrat,,5
,Brendan F Boyle,Write-In,5
Brendan F Boyle,62,0,5
Write-In,,0,5
Total,62,0,5
,Representative In Congress 2nd District - Democrat,,6
,Brendan F Boyle,Write-In,6
Brendan F Boyle,66,0,6
Write-In,,0,6
Total,66,0,6
,Representative In Congress 2nd District - Democrat,,7
,Brendan F Boyle,Write-In,7
Brendan F Boyle,76,0,7
Write-In,,0,7
Total,76,0,7
,Representative In Congress 2nd District - Democrat,,8
,Brendan F Boyle,Write-In,8
Brendan F Boyle,85,0,8
Write-In,,0,8
Total,85,0,8
,Representative In Congress 2nd District - Democrat,,9
,Brendan F Boyle,Write-In,9
Brendan F Boyle,88,0,9
Write-In,,0,9
Total,88,0,9
,Representative In Congress 2nd District - Democrat,,10
,Brendan F Boyle,Write-In,10
Brendan F Boyle,56,0,10
Write-In,,0,10
Total,56,0,10
,Representative In Congress 2nd District - Democrat,,11
,Brendan F Boyle,Write-In,11
Brendan F Boyle,66,0,11
Write-In,,0,11
Total,66,0,11
,Representative In Congress 2nd District - Democrat,,12
,Brendan F Boyle,Write-In,12
Brendan F Boyle,82,0,12
Write-In,,1,12
Total,82,1,12
,Representative In Congress 2nd District - Democrat,,13
,Brendan F Boyle,Write-In,13
Brendan F Boyle,49,0,13
Write-In,,0,13
Total,49,0,13
,Representative In Congress 2nd District - Democrat,,14
,Brendan F Boyle,Write-In,14
Brendan F Boyle,46,0,14
Write-In,,0,14
Total,46,0,14
,Representative In Congress 2nd District - Democrat,,15
,Brendan F Boyle,Write-In,15
Brendan F Boyle,44,0,15
Write-In,,1,15
Total,44,1,15
,Representative In Congress 2nd District - Democrat,,16
,Brendan F Boyle,Write-In,16
Brendan F Boyle,34,0,16
Write-In,,0,16
Total,34,0,16
,Representative In Congress 2nd District - Democrat,,17
,Brendan F Boyle,Write-In,17
Brendan F Boyle,15,0,17
Write-In,,0,17
Total,15,0,17
,Representative In Congress 2nd District - Democrat,,18
,Brendan F Boyle,Write-In,18
Brendan F Boyle,27,0,18
Write-In,,0,18
Total,27,0,18
,Representative In Congress 2nd District - Democrat,,19
,Brendan F Boyle,Write-In,19
Brendan F Boyle,34,0,19
Write-In,,0,19
Total,34,0,19
,Representative In Congress 2nd District - Democrat,,20
,Brendan F Boyle,Write-In,20
Brendan F Boyle,34,0,20
Write-In,,0,20
Total,34,0,20
,Representative In Congress 2nd District - Democrat,,21
,Brendan F Boyle,Write-In,21
Brendan F Boyle,35,0,21
Write-In,,0,21
Total,35,0,21
,Representative In Congress 2nd District - Democrat,,22
,Brendan F Boyle,Write-In,22
Brendan F Boyle,42,0,22
Write-In,,0,22
Total,42,0,22
,Representative In Congress 2nd District - Democrat,,23
,Brendan F Boyle,Write-In,23
Brendan F Boyle,38,0,23
Write-In,,0,23
Total,38,0,23
,Representative In Congress 2nd District - Democrat,,24
,Brendan F Boyle,Write-In,24
Brendan F Boyle,34,0,24
Write-In,,1,24
Total,34,1,24
