col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,Representative In The General Assembly 170th District - Democrat,All
,Pamela Robinson,Michele Lockman,Patrick Parkinson,Anthony Bellmon,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Lorraine Haw,Alvaro Quinones,Vayda Good,Adam Tennant,Ronald Raju Joseph,Kempis Ghani Songster,Write-In,Write-In,All
Pamela Robinson,146,"4,090","3,915","3,948","3,863","3,626",824,899,518,409,346,325,299,306,49,271,All
Michele Lockman,,45,"3,979","3,957","3,905","3,641",778,851,482,375,318,313,278,259,45,271,All
Patrick Parkinson,,,38,"3,894","3,846","3,487",684,756,377,297,203,294,243,230,46,261,All
Anthony Bellmon,,,,26,"3,873","3,505",674,727,387,307,233,262,246,248,42,256,All
Theodore Kirsch,,,,,19,"3,485",638,696,353,277,223,262,223,225,44,252,All
Mona Getzes Cohen,,,,,,37,596,614,473,381,348,319,292,257,45,217,All
Amy Roat,,,,,,,45,"1,348","1,011",899,914,890,840,807,4,170,All
Lisa Powley,,,,,,,,30,968,872,883,871,828,827,3,153,All
Lorraine Haw,,,,,,,,,4,890,944,882,845,858,3,132,All
Alvaro Quinones,,,,,,,,,,12,917,869,872,821,2,132,All
Vayda Good,,,,,,,,,,,4,866,851,828,2,124,All
Adam Tennant,,,,,,,,,,,,8,856,787,15,132,All
Ronald Raju Joseph,,,,,,,,,,,,,9,810,2,120,All
Kempis Ghani Songster,,,,,,,,,,,,,,6,1,125,All
Write-In,,,,,,,,,,,,,,,14,12,All
Write-In,,,,,,,,,,,,,,,,59,All
Total,"4,567","4,430","4,210","4,202","4,098","3,972","1,757","1,757","1,380","1,275","1,203","1,198","1,145","1,098",121,489,All
