col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Morgan Cephas,Write-In,Malcolm Kenyatta,Nina Tinari,Ken Washington,Cindy Bass,Wynnetta Ward,Charlene Cooper,Terry Gillen,Anuj Gupta,Matthew Miller,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Christina Borst,Daisy Confoy,Arielle Cohen,Carla Le'Coin,Bryan Mercer,Steve Paul,Paul Prescod,Sergio Cea,Jack Cahill,Daniel Laufer,Write-In,All
Morgan Cephas,771,0,"10,631","10,497","10,241","10,279","10,088","10,135","10,087","9,698","9,469","9,379","8,790","3,133","2,817","2,466","2,422","2,272","2,309","2,186","2,151","2,049","2,030","1,915","1,817","1,814","1,653",158,All
Write-In,,19,81,90,85,82,81,81,82,80,79,72,69,44,37,29,31,33,31,30,31,28,29,24,24,27,25,47,All
Malcolm Kenyatta,,,38,"10,404","10,757","10,177","10,647","10,316","10,203","9,901","10,239","10,018","8,968","1,751","1,367","1,155","1,041","1,322","1,018","1,239","1,241","1,185",713,691,993,915,781,143,All
Nina Tinari,,,,68,"10,379","10,429","10,139","10,567","10,467","10,174","9,759","9,613","9,489","2,000","1,582","1,431","1,391","1,099","1,274",877,989,873,981,953,738,655,528,142,All
Ken Washington,,,,,78,"10,021","10,486","10,265","10,276","9,886","10,192","9,891","9,073","1,645","1,213","1,093","1,040","1,190",955,"1,055","1,083","1,070",709,699,935,834,696,152,All
Cindy Bass,,,,,,28,"9,887","10,323","10,243","9,904","9,456","9,175","9,315","1,921","1,615","1,359","1,366",949,"1,183",952,836,804,978,906,662,646,524,163,All
Wynnetta Ward,,,,,,,25,"10,067","10,020","9,632","9,957","9,864","8,713","1,676","1,346","1,077","1,082","1,261",934,"1,211","1,191","1,102",715,606,945,893,766,127,All
Charlene Cooper,,,,,,,,7,"10,504","10,167","9,778","9,521","9,293","1,906","1,502","1,362","1,273","1,017","1,238",917,924,867,909,950,694,590,401,142,All
Terry Gillen,,,,,,,,,11,"10,076","9,805","9,491","9,329","1,881","1,467","1,379","1,240","1,041","1,218",904,914,883,940,972,686,653,549,130,All
Anuj Gupta,,,,,,,,,,6,"9,428","9,267","9,117","1,760","1,405","1,279","1,258",918,"1,137",838,842,765,863,890,682,458,428,118,All
Matthew Miller,,,,,,,,,,,7,"9,609","8,717","1,357",995,865,764,"1,077",751,955,971,960,434,511,847,735,635,133,All
Lindy Li,,,,,,,,,,,,10,"8,661","1,329","1,145",870,966,"1,064",752,"1,052","1,032",922,541,476,879,756,667,145,All
Owen Voutsinas-Klose,,,,,,,,,,,,,12,"1,378","1,266","1,022","1,132",627,859,657,593,561,800,724,538,470,373,111,All
Sherrie Cohen,,,,,,,,,,,,,,3,"2,247","2,076","2,017","1,606","1,964","1,615","1,522","1,451","1,884","1,681","1,223","1,302","1,252",11,All
Heather Pope,,,,,,,,,,,,,,,26,"1,860","1,962","1,442","1,778","1,625","1,404","1,353","1,790","1,545","1,303","1,332","1,249",22,All
Joanne Beer,,,,,,,,,,,,,,,,2,"1,697","1,422","1,899","1,400","1,199","1,281","1,655","1,666","1,174","1,180","1,139",7,All
Anlin Wang,,,,,,,,,,,,,,,,,3,"1,263","1,680","1,404","1,301","1,223","1,734","1,524","1,257","1,181","1,161",17,All
Christina Borst,,,,,,,,,,,,,,,,,,2,"1,458","1,491","1,747","1,611","1,204","1,071","1,336","1,430","1,447",5,All
Daisy Confoy,,,,,,,,,,,,,,,,,,,0,"1,378","1,353","1,123","1,574","1,633","1,188","1,140","1,137",5,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,3,"1,467","1,395","1,349","1,174","1,476","1,394","1,345",10,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,0,"1,575","1,160","1,147","1,374","1,417","1,385",10,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,6,"1,217","1,169","1,320","1,423","1,400",6,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,4,"1,533","1,145","1,214","1,160",21,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,0,"1,096","1,083","1,063",3,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,3,"1,256","1,215",13,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,1,"1,401",10,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,All
Total,"14,420",156,"12,126","12,009","11,839","11,692","11,561","11,488","11,418","10,961","10,829","10,693","9,997","3,498","3,204","2,743","2,711","2,588","2,566","2,553","2,441","2,361","2,300","2,143","2,113","2,100","1,927",281,All
