col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In The General Assembly 173rd District - Democrat,,President Of The United States - Democrat,,,,All
,Mike Driscoll,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,All
Mike Driscoll,26,0,"1,095",269,35,9,All
Write-In,,0,1,0,0,0,All
Joseph R Biden,,,290,0,0,0,All
Bernie Sanders,,,,50,0,0,All
Tulsi Gabbard,,,,,15,0,All
Write-In,,,,,,5,All
Total,"1,434",1,"1,386",319,50,14,All
,President Of The United States - Democrat,,,,Representative In The General Assembly 173rd District - Democrat,,4
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Mike Driscoll,Write-In,4
Joseph R Biden,17,0,0,0,56,0,4
Bernie Sanders,,3,0,0,12,0,4
Tulsi Gabbard,,,1,0,3,0,4
Write-In,,,,0,1,0,4
Mike Driscoll,,,,,0,0,4
Write-In,,,,,,0,4
Total,73,15,4,1,72,0,4
,Representative In The General Assembly 173rd District - Democrat,,President Of The United States - Democrat,,,,6
,Mike Driscoll,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,6
Mike Driscoll,3,0,54,12,1,1,6
Write-In,,0,0,0,0,0,6
Joseph R Biden,,,15,0,0,0,6
Bernie Sanders,,,,1,0,0,6
Tulsi Gabbard,,,,,2,0,6
Write-In,,,,,,0,6
Total,71,0,69,13,3,1,6
,Representative In The General Assembly 173rd District - Democrat,,President Of The United States - Democrat,,,,8
,Mike Driscoll,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,8
Mike Driscoll,0,0,45,18,1,0,8
Write-In,,0,0,0,0,0,8
Joseph R Biden,,,17,0,0,0,8
Bernie Sanders,,,,2,0,0,8
Tulsi Gabbard,,,,,0,0,8
Write-In,,,,,,0,8
Total,64,0,62,20,1,0,8
,President Of The United States - Democrat,,,,Representative In The General Assembly 173rd District - Democrat,,9
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Mike Driscoll,Write-In,9
Joseph R Biden,20,0,0,0,84,1,9
Bernie Sanders,,1,0,0,10,0,9
Tulsi Gabbard,,,0,0,1,0,9
Write-In,,,,0,0,0,9
Mike Driscoll,,,,,1,0,9
Write-In,,,,,,0,9
Total,105,11,1,0,96,1,9
,Representative In The General Assembly 173rd District - Democrat,,President Of The United States - Democrat,,,,10
,Mike Driscoll,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,10
Mike Driscoll,1,0,73,28,3,0,10
Write-In,,0,0,0,0,0,10
Joseph R Biden,,,18,0,0,0,10
Bernie Sanders,,,,7,0,0,10
Tulsi Gabbard,,,,,1,0,10
Write-In,,,,,,1,10
Total,105,0,91,35,4,1,10
,President Of The United States - Democrat,,,,Representative In The General Assembly 173rd District - Democrat,,11
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Mike Driscoll,Write-In,11
Joseph R Biden,21,0,0,0,62,0,11
Bernie Sanders,,4,0,0,12,0,11
Tulsi Gabbard,,,0,0,0,0,11
Write-In,,,,0,0,0,11
Mike Driscoll,,,,,2,0,11
Write-In,,,,,,0,11
Total,83,16,0,0,76,0,11
,President Of The United States - Democrat,,,,Representative In The General Assembly 173rd District - Democrat,,12
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Mike Driscoll,Write-In,12
Joseph R Biden,22,0,0,0,58,0,12
Bernie Sanders,,2,0,0,17,0,12
Tulsi Gabbard,,,2,0,2,0,12
Write-In,,,,0,1,0,12
Mike Driscoll,,,,,0,0,12
Write-In,,,,,,0,12
Total,80,19,4,1,78,0,12
,Representative In The General Assembly 173rd District - Democrat,,President Of The United States - Democrat,,,,13
,Mike Driscoll,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,13
Mike Driscoll,0,0,55,16,2,2,13
Write-In,,0,0,0,0,0,13
Joseph R Biden,,,13,0,0,0,13
Bernie Sanders,,,,6,0,0,13
Tulsi Gabbard,,,,,0,0,13
Write-In,,,,,,0,13
Total,75,0,68,22,2,2,13
,Representative In The General Assembly 173rd District - Democrat,,President Of The United States - Democrat,,,,14
,Mike Driscoll,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,14
Mike Driscoll,3,0,53,22,1,1,14
Write-In,,0,0,0,0,0,14
Joseph R Biden,,,16,0,0,0,14
Bernie Sanders,,,,3,0,0,14
Tulsi Gabbard,,,,,1,0,14
Write-In,,,,,,0,14
Total,80,0,69,25,2,1,14
,Representative In The General Assembly 173rd District - Democrat,,President Of The United States - Democrat,,,,15
,Mike Driscoll,Write-In,Joseph R Biden,Bernie Sanders,Write-In,Tulsi Gabbard,15
Mike Driscoll,3,0,65,21,0,0,15
Write-In,,0,0,0,0,0,15
Joseph R Biden,,,11,0,0,0,15
Bernie Sanders,,,,4,0,0,15
Write-In,,,,,2,0,15
Tulsi Gabbard,,,,,,0,15
Total,89,0,76,25,2,0,15
,President Of The United States - Democrat,,,,Representative In The General Assembly 173rd District - Democrat,,16
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Mike Driscoll,Write-In,16
Joseph R Biden,18,0,0,0,48,0,16
Bernie Sanders,,3,0,0,13,0,16
Tulsi Gabbard,,,2,0,4,0,16
Write-In,,,,0,0,0,16
Mike Driscoll,,,,,0,0,16
Write-In,,,,,,0,16
Total,66,16,6,0,65,0,16
,Representative In The General Assembly 173rd District - Democrat,,President Of The United States - Democrat,,,,17
,Mike Driscoll,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,17
Mike Driscoll,1,0,56,7,3,0,17
Write-In,,0,0,0,0,0,17
Joseph R Biden,,,7,0,0,0,17
Bernie Sanders,,,,2,0,0,17
Tulsi Gabbard,,,,,1,0,17
Write-In,,,,,,0,17
Total,67,0,63,9,4,0,17
