col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Representative In The General Assembly 172nd District - Democrat,,Auditor General - Democrat,,,,,,,All
,Kevin J Boyle,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Christina M Hartman,Write-In,All
Kevin J Boyle,18,0,187,34,15,13,13,7,0,All
Write-In,,0,0,0,0,0,0,0,0,All
Nina Ahmad,,,16,0,0,0,0,0,0,All
Michael Lamb,,,,1,0,0,0,0,0,All
Rose Rosie Marie Davis,,,,,6,0,0,0,0,All
Tracie Fountain,,,,,,4,0,0,0,All
H Scott Conklin,,,,,,,1,0,0,All
Christina M Hartman,,,,,,,,0,0,All
Write-In,,,,,,,,,0,All
Total,287,0,203,35,21,17,14,7,0,All
,Representative In The General Assembly 172nd District - Democrat,,Auditor General - Democrat,,,,,,,19
,Kevin J Boyle,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Tracie Fountain,Write-In,19
Kevin J Boyle,7,0,41,9,4,3,3,2,0,19
Write-In,,0,0,0,0,0,0,0,0,19
Nina Ahmad,,,4,0,0,0,0,0,0,19
Michael Lamb,,,,1,0,0,0,0,0,19
Rose Rosie Marie Davis,,,,,3,0,0,0,0,19
Christina M Hartman,,,,,,0,0,0,0,19
H Scott Conklin,,,,,,,0,0,0,19
Tracie Fountain,,,,,,,,0,0,19
Write-In,,,,,,,,,0,19
Total,69,0,45,10,7,3,3,2,0,19
,Representative In The General Assembly 172nd District - Democrat,,Auditor General - Democrat,,,,,,,23
,Kevin J Boyle,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,23
Kevin J Boyle,7,0,73,10,5,4,3,2,0,23
Write-In,,0,0,0,0,0,0,0,0,23
Nina Ahmad,,,6,0,0,0,0,0,0,23
Michael Lamb,,,,0,0,0,0,0,0,23
Tracie Fountain,,,,,3,0,0,0,0,23
Rose Rosie Marie Davis,,,,,,2,0,0,0,23
H Scott Conklin,,,,,,,0,0,0,23
Christina M Hartman,,,,,,,,0,0,23
Write-In,,,,,,,,,0,23
Total,104,0,79,10,8,6,3,2,0,23
,Representative In The General Assembly 172nd District - Democrat,,Auditor General - Democrat,,,,,,,24
,Kevin J Boyle,Write-In,Nina Ahmad,Michael Lamb,H Scott Conklin,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,Write-In,24
Kevin J Boyle,4,0,73,15,7,7,6,2,0,24
Write-In,,0,0,0,0,0,0,0,0,24
Nina Ahmad,,,6,0,0,0,0,0,0,24
Michael Lamb,,,,0,0,0,0,0,0,24
H Scott Conklin,,,,,1,0,0,0,0,24
Rose Rosie Marie Davis,,,,,,1,0,0,0,24
Tracie Fountain,,,,,,,1,0,0,24
Christina M Hartman,,,,,,,,0,0,24
Write-In,,,,,,,,,0,24
Total,114,0,79,15,8,8,7,2,0,24
