col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Auditor General - Democrat,,,,,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Tracie Fountain,Christina M Hartman,H Scott Conklin,Write-In,Malcolm Kenyatta,Nina Tinari,Ken Washington,Wynnetta Ward,Terry Gillen,Charlene Cooper,Cindy Bass,Anuj Gupta,Lindy Li,Matthew Miller,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Daisy Confoy,Christina Borst,Arielle Cohen,Carla Le'Coin,Bryan Mercer,Sergio Cea,Steve Paul,Jack Cahill,Paul Prescod,Daniel Laufer,Write-In,All
Nina Ahmad,159,0,0,0,0,0,0,"1,406","1,375","1,312","1,327","1,275","1,290","1,275","1,222","1,232","1,200","1,078",732,688,650,628,618,613,596,580,564,577,562,542,528,512,20,All
Michael Lamb,,49,0,0,0,0,0,222,235,221,199,238,218,211,212,188,200,203,152,156,123,140,135,115,114,120,116,107,130,110,125,108,2,All
Rose Rosie Marie Davis,,,31,0,0,0,0,145,137,152,139,138,132,128,125,130,135,106,63,65,59,52,61,65,60,58,60,58,43,49,54,51,9,All
Tracie Fountain,,,,19,0,0,0,114,112,122,117,111,110,112,107,103,105,85,69,66,59,59,61,62,60,66,62,60,52,63,52,56,1,All
Christina M Hartman,,,,,3,0,0,36,26,28,28,27,30,30,26,27,28,27,32,34,29,30,28,27,33,28,32,28,27,27,28,25,0,All
H Scott Conklin,,,,,,6,0,31,38,35,30,35,34,36,33,25,27,33,23,24,19,25,14,11,14,11,15,14,21,11,19,14,0,All
Write-In,,,,,,,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,All
Malcolm Kenyatta,,,,,,,,12,"1,732","1,806","1,800","1,696","1,680","1,655","1,621","1,699","1,707","1,438",351,287,248,219,227,295,257,269,275,241,165,232,136,198,19,All
Nina Tinari,,,,,,,,,13,"1,715","1,682","1,758","1,762","1,740","1,672","1,583","1,575","1,537",425,347,316,305,292,224,172,198,185,179,225,143,198,115,9,All
Ken Washington,,,,,,,,,,11,"1,740","1,692","1,678","1,609","1,587","1,665","1,699","1,448",304,240,211,205,191,250,194,224,250,218,155,204,134,171,12,All
Wynnetta Ward,,,,,,,,,,,3,"1,648","1,642","1,613","1,555","1,663","1,647","1,386",328,271,223,226,202,277,243,250,238,232,149,220,117,181,22,All
Terry Gillen,,,,,,,,,,,,0,"1,760","1,696","1,680","1,573","1,604","1,514",388,313,297,267,257,206,158,170,181,157,214,150,207,110,11,All
Charlene Cooper,,,,,,,,,,,,,3,"1,700","1,666","1,557","1,570","1,510",366,324,298,276,269,199,161,176,168,157,205,139,205,80,15,All
Cindy Bass,,,,,,,,,,,,,,5,"1,622","1,499","1,505","1,502",378,339,300,296,266,174,175,150,154,141,211,124,185,96,12,All
Anuj Gupta,,,,,,,,,,,,,,,2,"1,499","1,514","1,477",359,312,289,275,255,181,148,154,157,152,206,104,201,87,9,All
Lindy Li,,,,,,,,,,,,,,,,1,"1,590","1,390",274,238,186,201,172,237,218,229,211,218,113,185,103,156,12,All
Matthew Miller,,,,,,,,,,,,,,,,,2,"1,383",249,197,174,159,142,235,195,210,224,206,93,197,102,147,9,All
Owen Voutsinas-Klose,,,,,,,,,,,,,,,,,,2,279,279,214,249,193,115,126,109,117,122,179,103,164,75,10,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,894,842,835,836,717,736,692,676,667,800,655,740,640,2,All
Heather Pope,,,,,,,,,,,,,,,,,,,,10,807,841,814,686,739,683,648,695,779,660,734,651,1,All
Joanne Beer,,,,,,,,,,,,,,,,,,,,,0,767,833,679,699,642,626,673,735,627,738,616,1,All
Anlin Wang,,,,,,,,,,,,,,,,,,,,,,2,777,646,705,667,627,690,757,616,721,619,1,All
Daisy Confoy,,,,,,,,,,,,,,,,,,,,,,,1,693,702,675,627,688,737,623,740,625,0,All
Christina Borst,,,,,,,,,,,,,,,,,,,,,,,,0,710,759,729,702,635,699,596,707,0,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,,,,,,2,706,669,741,658,686,630,684,2,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,,,,1,721,712,625,701,618,688,2,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,,1,674,624,692,606,687,10,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,639,670,632,660,0,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,626,721,613,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,606,689,1,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,605,1,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,280",456,256,213,76,68,2,"2,127","2,091","2,053","1,987","1,964","1,960","1,939","1,858","1,846","1,827","1,669","1,132","1,107",993,991,970,940,932,908,898,896,890,853,850,812,36,All
