col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In The General Assembly 201st District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Stephen Kinsey,Write-In,Cindy Bass,Malcolm Kenyatta,Ken Washington,Nina Tinari,Wynnetta Ward,Charlene Cooper,Terry Gillen,Matthew Miller,Lindy Li,Anuj Gupta,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Christina Borst,Arielle Cohen,Anlin Wang,Daisy Confoy,Bryan Mercer,Carla Le'Coin,Steve Paul,Jack Cahill,Sergio Cea,Paul Prescod,Daniel Laufer,Write-In,All
Stephen Kinsey,150,0,"2,512","2,426","2,384","2,389","2,294","2,311","2,250","2,184","2,099","2,159","2,002",728,589,510,478,463,483,460,442,421,418,376,363,383,346,22,All
Write-In,,2,9,12,7,6,9,10,4,5,5,5,5,4,4,3,2,2,3,2,3,3,3,1,1,2,1,60,All
Cindy Bass,,,43,"2,617","2,581","2,630","2,488","2,606","2,522","2,412","2,313","2,420","2,310",543,388,333,248,268,323,287,213,197,250,178,178,219,150,69,All
Malcolm Kenyatta,,,,7,"2,683","2,550","2,622","2,528","2,480","2,555","2,462","2,378","2,191",483,310,270,323,314,235,240,282,272,171,222,240,150,193,55,All
Ken Washington,,,,,16,"2,550","2,603","2,531","2,506","2,556","2,443","2,362","2,226",470,292,270,306,297,249,230,264,256,194,216,240,167,194,51,All
Nina Tinari,,,,,,18,"2,453","2,577","2,528","2,420","2,328","2,416","2,305",518,347,314,265,224,290,281,200,199,227,147,181,207,141,55,All
Wynnetta Ward,,,,,,,5,"2,450","2,418","2,480","2,402","2,285","2,112",438,299,242,300,291,230,203,240,250,173,217,224,125,184,55,All
Charlene Cooper,,,,,,,,1,"2,534","2,404","2,309","2,440","2,277",506,343,320,245,227,296,282,194,191,232,144,165,217,106,53,All
Terry Gillen,,,,,,,,,5,"2,410","2,284","2,385","2,249",483,322,315,243,215,272,266,197,184,223,169,161,209,134,25,All
Matthew Miller,,,,,,,,,,0,"2,371","2,274","2,165",387,234,221,272,256,195,171,231,225,126,194,211,121,163,41,All
Lindy Li,,,,,,,,,,,2,"2,203","2,114",347,251,183,246,264,208,154,198,208,133,174,199,87,165,23,All
Anuj Gupta,,,,,,,,,,,,2,"2,175",444,311,308,211,202,272,269,174,178,214,122,158,198,111,25,All
Owen Voutsinas-Klose,,,,,,,,,,,,,0,368,291,236,153,172,257,185,132,125,192,122,122,165,107,32,All
Sherrie Cohen,,,,,,,,,,,,,,1,457,417,320,346,394,395,284,287,380,249,228,339,260,13,All
Heather Pope,,,,,,,,,,,,,,,7,369,269,335,386,340,261,256,360,248,246,320,238,22,All
Joanne Beer,,,,,,,,,,,,,,,,0,272,269,329,373,267,224,334,229,228,329,217,3,All
Christina Borst,,,,,,,,,,,,,,,,,1,294,240,270,330,346,223,291,281,197,298,7,All
Arielle Cohen,,,,,,,,,,,,,,,,,,2,270,264,282,290,254,277,305,229,269,4,All
Anlin Wang,,,,,,,,,,,,,,,,,,,0,313,225,234,326,223,230,300,224,6,All
Daisy Confoy,,,,,,,,,,,,,,,,,,,,0,214,251,312,211,222,319,215,4,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,3,307,220,299,273,219,285,10,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,0,209,283,272,207,277,1,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,0,211,205,294,212,5,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,1,252,193,292,1,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,0,200,243,4,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,5,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"3,285",21,"3,118","3,022","2,978","2,939","2,840","2,819","2,767","2,717","2,623","2,619","2,438",836,683,583,566,564,555,538,521,500,488,452,451,439,422,131,All
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,1
,Cindy Bass,Ken Washington,Wynnetta Ward,Nina Tinari,Malcolm Kenyatta,Charlene Cooper,Terry Gillen,Matthew Miller,Anuj Gupta,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Christina Borst,Arielle Cohen,Bryan Mercer,Heather Pope,Joanne Beer,Carla Le'Coin,Daisy Confoy,Sergio Cea,Jack Cahill,Anlin Wang,Daniel Laufer,Steve Paul,Paul Prescod,Write-In,Stephen Kinsey,Write-In,1
Cindy Bass,0,133,131,135,132,139,132,129,129,117,115,27,14,17,12,18,18,8,14,10,8,12,6,11,11,0,118,0,1
Ken Washington,,0,139,130,137,133,131,135,122,126,107,25,26,22,20,14,16,16,11,16,12,9,12,8,8,0,116,0,1
Wynnetta Ward,,,1,128,137,131,132,136,121,127,105,24,22,21,19,11,12,14,9,15,13,7,12,8,4,0,114,0,1
Nina Tinari,,,,1,131,133,135,124,127,116,113,25,17,15,16,14,15,8,15,13,7,11,8,7,8,0,112,0,1
Malcolm Kenyatta,,,,,0,131,130,132,123,123,106,24,22,19,19,12,13,14,11,15,11,8,12,6,4,0,115,0,1
Charlene Cooper,,,,,,0,133,128,129,118,117,25,16,15,14,15,17,7,12,10,5,11,6,9,10,0,113,0,1
Terry Gillen,,,,,,,0,127,125,116,110,27,18,16,18,14,17,9,12,12,9,10,8,9,7,0,113,0,1
Matthew Miller,,,,,,,,0,120,124,105,22,23,20,20,12,13,14,10,15,13,7,10,5,5,0,110,0,1
Anuj Gupta,,,,,,,,,0,111,106,24,14,14,9,14,15,7,11,10,5,8,5,8,7,0,107,0,1
Lindy Li,,,,,,,,,,0,105,19,19,20,15,11,7,13,5,13,11,7,13,5,4,0,99,0,1
Owen Voutsinas-Klose,,,,,,,,,,,0,16,5,9,4,11,9,2,8,6,3,9,4,8,9,0,90,0,1
Sherrie Cohen,,,,,,,,,,,,0,17,12,11,15,17,9,15,5,10,14,10,14,11,0,33,1,1
Christina Borst,,,,,,,,,,,,,0,12,17,9,13,15,9,12,13,6,13,6,6,0,24,0,1
Arielle Cohen,,,,,,,,,,,,,,0,11,15,8,10,7,9,14,9,11,8,6,0,21,0,1
Bryan Mercer,,,,,,,,,,,,,,,0,10,11,11,5,13,13,7,11,7,5,0,20,0,1
Heather Pope,,,,,,,,,,,,,,,,0,15,9,12,6,10,14,7,14,12,0,20,0,1
Joanne Beer,,,,,,,,,,,,,,,,,0,5,12,7,8,12,6,12,13,0,21,0,1
Carla Le'Coin,,,,,,,,,,,,,,,,,,0,5,8,11,4,9,6,4,0,14,0,1
Daisy Confoy,,,,,,,,,,,,,,,,,,,0,5,6,11,4,9,11,0,17,0,1
Sergio Cea,,,,,,,,,,,,,,,,,,,,0,8,6,7,4,4,0,13,0,1
Jack Cahill,,,,,,,,,,,,,,,,,,,,,0,5,13,7,6,0,16,0,1
Anlin Wang,,,,,,,,,,,,,,,,,,,,,,0,6,11,11,0,15,0,1
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,15,0,1
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,14,0,1
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Stephen Kinsey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,152,151,151,149,148,146,145,144,136,132,117,38,30,27,27,26,25,20,20,20,19,18,17,17,16,0,144,1,1
,Representative In The General Assembly 201st District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Stephen Kinsey,Write-In,Malcolm Kenyatta,Cindy Bass,Ken Washington,Nina Tinari,Wynnetta Ward,Charlene Cooper,Matthew Miller,Terry Gillen,Lindy Li,Anuj Gupta,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Arielle Cohen,Carla Le'Coin,Jack Cahill,Bryan Mercer,Christina Borst,Daniel Laufer,Joanne Beer,Daisy Confoy,Sergio Cea,Anlin Wang,Paul Prescod,Steve Paul,Write-In,2
Stephen Kinsey,8,0,143,142,139,143,139,133,126,128,125,125,122,33,30,25,23,23,20,19,18,22,20,16,21,20,16,0,2
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Malcolm Kenyatta,,,0,154,156,154,159,148,146,147,144,140,137,22,19,17,16,14,13,14,11,14,10,12,10,9,8,1,2
Cindy Bass,,,,0,149,152,149,151,144,146,138,139,142,23,21,16,13,11,13,12,10,15,9,9,11,9,7,1,2
Ken Washington,,,,,1,149,155,147,147,145,145,138,139,22,18,16,16,14,16,15,12,15,8,13,11,9,6,1,2
Nina Tinari,,,,,,0,150,152,142,147,139,143,142,23,21,13,14,11,12,12,8,15,11,7,10,10,8,0,2
Wynnetta Ward,,,,,,,0,145,144,144,147,136,134,22,20,16,15,14,14,13,12,14,8,10,10,8,8,1,2
Charlene Cooper,,,,,,,,0,139,147,138,139,142,22,18,12,15,10,12,11,7,13,11,7,11,11,6,0,2
Matthew Miller,,,,,,,,,0,138,137,134,132,16,16,15,13,9,12,12,10,11,8,12,9,8,5,1,2
Terry Gillen,,,,,,,,,,0,133,136,137,19,15,12,15,10,12,11,7,14,10,6,10,9,5,1,2
Lindy Li,,,,,,,,,,,0,127,131,19,18,16,12,11,10,12,12,12,9,11,10,7,6,1,2
Anuj Gupta,,,,,,,,,,,,0,132,14,15,9,10,5,9,8,7,11,6,6,9,8,6,0,2
Owen Voutsinas-Klose,,,,,,,,,,,,,0,15,16,10,11,9,11,9,7,13,8,9,12,8,6,0,2
Sherrie Cohen,,,,,,,,,,,,,,0,19,13,12,14,11,14,13,14,15,10,14,14,11,0,2
Heather Pope,,,,,,,,,,,,,,,0,16,10,15,10,11,11,11,13,11,13,13,12,0,2
Arielle Cohen,,,,,,,,,,,,,,,,0,18,14,11,13,13,9,12,15,15,12,10,1,2
Carla Le'Coin,,,,,,,,,,,,,,,,,0,16,16,15,11,9,11,11,12,11,7,0,2
Jack Cahill,,,,,,,,,,,,,,,,,,0,14,13,15,12,14,13,9,11,11,0,2
Bryan Mercer,,,,,,,,,,,,,,,,,,,0,13,12,10,8,12,7,11,5,0,2
Christina Borst,,,,,,,,,,,,,,,,,,,,0,13,10,9,10,9,8,6,1,2
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,0,8,13,13,11,12,8,0,2
Joanne Beer,,,,,,,,,,,,,,,,,,,,,,0,10,8,10,9,10,0,2
Daisy Confoy,,,,,,,,,,,,,,,,,,,,,,,0,11,11,14,10,0,2
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,7,0,2
Anlin Wang,,,,,,,,,,,,,,,,,,,,,,,,,0,12,10,0,2
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,2
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,184,0,174,169,168,168,168,157,155,154,152,147,147,34,32,31,26,26,23,23,23,23,22,22,21,21,16,1,2
