col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,All
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,All
Vincent Hughes,269,0,"1,678",197,170,67,88,42,2,All
Write-In,,1,3,1,0,0,0,0,0,All
Nina Ahmad,,,177,0,0,0,0,0,0,All
Tracie Fountain,,,,56,0,0,0,0,0,All
Michael Lamb,,,,,13,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,55,0,0,0,All
H Scott Conklin,,,,,,,9,0,0,All
Christina M Hartman,,,,,,,,18,0,All
Write-In,,,,,,,,,1,All
Total,"2,513",5,"1,858",254,183,122,97,60,3,All
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,1
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,1
Vincent Hughes,17,0,71,15,15,5,6,4,1,1
Write-In,,0,0,0,0,0,0,0,0,1
Nina Ahmad,,,4,0,0,0,0,0,0,1
Tracie Fountain,,,,4,0,0,0,0,0,1
Michael Lamb,,,,,0,0,0,0,0,1
Rose Rosie Marie Davis,,,,,,4,0,0,0,1
H Scott Conklin,,,,,,,0,0,0,1
Christina M Hartman,,,,,,,,1,0,1
Write-In,,,,,,,,,0,1
Total,134,0,75,19,15,9,6,5,1,1
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,2
,Vincent Hughes,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,2
Vincent Hughes,27,0,86,12,9,4,8,3,0,2
Write-In,,0,1,0,1,0,0,0,0,2
Nina Ahmad,,,9,0,0,0,0,0,0,2
Michael Lamb,,,,1,0,0,0,0,0,2
Tracie Fountain,,,,,2,0,0,0,0,2
Rose Rosie Marie Davis,,,,,,7,0,0,0,2
Christina M Hartman,,,,,,,1,0,0,2
H Scott Conklin,,,,,,,,2,0,2
Write-In,,,,,,,,,0,2
Total,149,2,96,13,12,11,9,5,0,2
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,3
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,H Scott Conklin,Michael Lamb,Christina M Hartman,Rose Rosie Marie Davis,Write-In,3
Vincent Hughes,17,0,102,9,9,8,4,3,0,3
Write-In,,0,1,0,0,0,0,0,0,3
Nina Ahmad,,,14,0,0,0,0,0,0,3
Tracie Fountain,,,,2,0,0,0,0,0,3
H Scott Conklin,,,,,1,0,0,0,0,3
Michael Lamb,,,,,,0,0,0,0,3
Christina M Hartman,,,,,,,0,0,0,3
Rose Rosie Marie Davis,,,,,,,,1,0,3
Write-In,,,,,,,,,1,3
Total,152,1,117,11,10,8,4,4,1,3
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,4
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,4
Vincent Hughes,9,0,88,7,8,3,4,2,0,4
Write-In,,0,0,0,0,0,0,0,0,4
Nina Ahmad,,,7,0,0,0,0,0,0,4
Tracie Fountain,,,,3,0,0,0,0,0,4
Michael Lamb,,,,,0,0,0,0,0,4
Rose Rosie Marie Davis,,,,,,3,0,0,0,4
Christina M Hartman,,,,,,,0,0,0,4
H Scott Conklin,,,,,,,,0,0,4
Write-In,,,,,,,,,0,4
Total,121,0,95,10,8,6,4,2,0,4
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,5
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,5
Vincent Hughes,13,0,69,20,6,3,2,0,0,5
Write-In,,0,0,0,0,0,0,0,0,5
Nina Ahmad,,,12,0,0,0,0,0,0,5
Tracie Fountain,,,,3,0,0,0,0,0,5
Michael Lamb,,,,,0,0,0,0,0,5
H Scott Conklin,,,,,,0,0,0,0,5
Rose Rosie Marie Davis,,,,,,,1,0,0,5
Christina M Hartman,,,,,,,,1,0,5
Write-In,,,,,,,,,0,5
Total,113,0,81,23,6,3,3,1,0,5
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,6
,Vincent Hughes,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,6
Vincent Hughes,26,0,115,13,9,6,3,1,0,6
Write-In,,0,0,0,0,0,0,0,0,6
Nina Ahmad,,,10,0,0,0,0,0,0,6
Michael Lamb,,,,1,0,0,0,0,0,6
Tracie Fountain,,,,,3,0,0,0,0,6
H Scott Conklin,,,,,,0,0,0,0,6
Rose Rosie Marie Davis,,,,,,,2,0,0,6
Christina M Hartman,,,,,,,,2,0,6
Write-In,,,,,,,,,0,6
Total,173,0,125,14,12,6,5,3,0,6
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,7
,Vincent Hughes,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,7
Vincent Hughes,12,0,134,12,9,5,3,3,0,7
Write-In,,0,0,0,0,0,0,0,0,7
Nina Ahmad,,,7,0,0,0,0,0,0,7
Michael Lamb,,,,1,0,0,0,0,0,7
Tracie Fountain,,,,,4,0,0,0,0,7
Rose Rosie Marie Davis,,,,,,4,0,0,0,7
Christina M Hartman,,,,,,,0,0,0,7
H Scott Conklin,,,,,,,,0,0,7
Write-In,,,,,,,,,0,7
Total,178,0,141,13,13,9,3,3,0,7
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,8
,Vincent Hughes,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,8
Vincent Hughes,10,0,89,12,7,4,2,1,1,8
Write-In,,0,0,0,0,0,0,0,0,8
Nina Ahmad,,,5,0,0,0,0,0,0,8
Michael Lamb,,,,0,0,0,0,0,0,8
Tracie Fountain,,,,,1,0,0,0,0,8
H Scott Conklin,,,,,,0,0,0,0,8
Rose Rosie Marie Davis,,,,,,,1,0,0,8
Christina M Hartman,,,,,,,,1,0,8
Write-In,,,,,,,,,0,8
Total,126,0,94,12,8,4,3,2,1,8
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,9
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Rose Rosie Marie Davis,Michael Lamb,H Scott Conklin,Christina M Hartman,Write-In,9
Vincent Hughes,10,0,78,10,5,8,5,2,0,9
Write-In,,0,0,0,0,0,0,0,0,9
Nina Ahmad,,,11,0,0,0,0,0,0,9
Tracie Fountain,,,,3,0,0,0,0,0,9
Rose Rosie Marie Davis,,,,,6,0,0,0,0,9
Michael Lamb,,,,,,0,0,0,0,9
H Scott Conklin,,,,,,,2,0,0,9
Christina M Hartman,,,,,,,,0,0,9
Write-In,,,,,,,,,0,9
Total,118,0,89,13,11,8,7,2,0,9
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,10
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,10
Vincent Hughes,12,0,115,14,10,6,3,5,0,10
Write-In,,0,0,0,0,0,0,0,0,10
Nina Ahmad,,,9,0,0,0,0,0,0,10
Tracie Fountain,,,,4,0,0,0,0,0,10
Michael Lamb,,,,,3,0,0,0,0,10
Rose Rosie Marie Davis,,,,,,7,0,0,0,10
Christina M Hartman,,,,,,,3,0,0,10
H Scott Conklin,,,,,,,,0,0,10
Write-In,,,,,,,,,0,10
Total,165,0,124,18,13,13,6,5,0,10
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,11
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,11
Vincent Hughes,16,0,115,12,16,10,8,1,0,11
Write-In,,1,1,0,0,0,0,0,0,11
Nina Ahmad,,,15,0,0,0,0,0,0,11
Tracie Fountain,,,,5,0,0,0,0,0,11
Michael Lamb,,,,,0,0,0,0,0,11
Rose Rosie Marie Davis,,,,,,0,0,0,0,11
H Scott Conklin,,,,,,,0,0,0,11
Christina M Hartman,,,,,,,,1,0,11
Write-In,,,,,,,,,0,11
Total,178,2,131,17,16,10,8,2,0,11
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,12
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,Rose Rosie Marie Davis,H Scott Conklin,Christina M Hartman,Write-In,12
Vincent Hughes,11,0,44,4,4,0,2,0,0,12
Write-In,,0,0,0,0,0,0,0,0,12
Nina Ahmad,,,11,0,0,0,0,0,0,12
Tracie Fountain,,,,3,0,0,0,0,0,12
Michael Lamb,,,,,0,0,0,0,0,12
Rose Rosie Marie Davis,,,,,,3,0,0,0,12
H Scott Conklin,,,,,,,0,0,0,12
Christina M Hartman,,,,,,,,0,0,12
Write-In,,,,,,,,,0,12
Total,65,0,55,7,4,3,2,0,0,12
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,13
,Vincent Hughes,Write-In,Nina Ahmad,Tracie Fountain,Michael Lamb,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,13
Vincent Hughes,6,0,68,13,8,3,1,0,0,13
Write-In,,0,0,0,0,0,0,0,0,13
Nina Ahmad,,,9,0,0,0,0,0,0,13
Tracie Fountain,,,,1,0,0,0,0,0,13
Michael Lamb,,,,,0,0,0,0,0,13
H Scott Conklin,,,,,,0,0,0,0,13
Rose Rosie Marie Davis,,,,,,,2,0,0,13
Christina M Hartman,,,,,,,,1,0,13
Write-In,,,,,,,,,0,13
Total,99,0,77,14,8,3,3,1,0,13
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,14
,Vincent Hughes,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,H Scott Conklin,Christina M Hartman,Rose Rosie Marie Davis,Write-In,14
Vincent Hughes,10,0,95,11,9,8,2,2,0,14
Write-In,,0,0,0,0,0,0,0,0,14
Nina Ahmad,,,6,0,0,0,0,0,0,14
Michael Lamb,,,,1,0,0,0,0,0,14
Tracie Fountain,,,,,3,0,0,0,0,14
H Scott Conklin,,,,,,0,0,0,0,14
Christina M Hartman,,,,,,,2,0,0,14
Rose Rosie Marie Davis,,,,,,,,2,0,14
Write-In,,,,,,,,,0,14
Total,137,0,101,12,12,8,4,4,0,14
,Senator In The General Assembly 7th District - Democrat,,Auditor General - Democrat,,,,,,,15
