col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In The General Assembly 172nd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Kevin J Boyle,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Alvaro Quinones,Lorraine Haw,Vayda Good,Kempis Ghani Songster,Adam Tennant,Ronald Raju Joseph,Write-In,All
Kevin J Boyle,25,0,175,175,165,157,148,139,91,85,68,64,63,58,57,56,8,All
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Pamela Robinson,,,2,166,161,154,149,133,49,46,28,26,23,24,17,13,0,All
Michele Lockman,,,,1,166,162,156,133,48,47,27,25,19,19,17,12,0,All
Anthony Bellmon,,,,,2,157,154,129,39,36,23,21,15,18,10,9,0,All
Patrick Parkinson,,,,,,0,152,127,35,39,22,18,12,14,12,7,0,All
Theodore Kirsch,,,,,,,0,124,35,31,17,13,10,11,9,5,0,All
Mona Getzes Cohen,,,,,,,,1,31,27,31,34,28,25,24,21,0,All
Amy Roat,,,,,,,,,1,71,52,52,51,44,49,48,1,All
Lisa Powley,,,,,,,,,,2,48,46,49,46,51,47,0,All
Alvaro Quinones,,,,,,,,,,,1,50,58,53,53,52,0,All
Lorraine Haw,,,,,,,,,,,,0,56,51,52,51,0,All
Vayda Good,,,,,,,,,,,,,0,50,53,53,0,All
Kempis Ghani Songster,,,,,,,,,,,,,,0,48,50,1,All
Adam Tennant,,,,,,,,,,,,,,,1,51,0,All
Ronald Raju Joseph,,,,,,,,,,,,,,,,1,0,All
Write-In,,,,,,,,,,,,,,,,,0,All
Total,287,0,194,192,182,171,162,160,107,95,84,76,74,71,70,69,9,All
,Representative In The General Assembly 172nd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,19
,Kevin J Boyle,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Mona Getzes Cohen,Patrick Parkinson,Amy Roat,Theodore Kirsch,Alvaro Quinones,Lisa Powley,Lorraine Haw,Adam Tennant,Ronald Raju Joseph,Kempis Ghani Songster,Vayda Good,Write-In,19
Kevin J Boyle,4,0,40,41,37,32,36,31,33,25,26,22,19,18,15,17,0,19
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Pamela Robinson,,,1,37,38,30,36,14,32,8,11,9,5,4,7,3,0,19
Michele Lockman,,,,0,38,29,37,15,34,10,12,8,5,2,4,4,0,19
Anthony Bellmon,,,,,1,29,37,11,33,7,7,7,2,1,4,2,0,19
Mona Getzes Cohen,,,,,,1,30,8,29,9,5,10,7,6,5,7,0,19
Patrick Parkinson,,,,,,,0,11,35,7,9,6,3,1,3,1,0,19
Amy Roat,,,,,,,,1,9,19,23,20,17,16,13,15,1,19
Theodore Kirsch,,,,,,,,,0,5,7,5,4,0,2,1,0,19
Alvaro Quinones,,,,,,,,,,0,17,18,19,18,15,17,0,19
Lisa Powley,,,,,,,,,,,0,15,17,16,13,13,0,19
Lorraine Haw,,,,,,,,,,,,0,18,18,16,18,0,19
Adam Tennant,,,,,,,,,,,,,1,18,13,17,0,19
Ronald Raju Joseph,,,,,,,,,,,,,,1,16,16,0,19
Kempis Ghani Songster,,,,,,,,,,,,,,,0,13,1,19
Vayda Good,,,,,,,,,,,,,,,,0,0,19
Write-In,,,,,,,,,,,,,,,,,0,19
Total,69,0,45,44,42,39,39,36,36,28,27,26,24,23,20,20,1,19
,Representative In The General Assembly 172nd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,23
,Kevin J Boyle,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Mona Getzes Cohen,Patrick Parkinson,Theodore Kirsch,Amy Roat,Lorraine Haw,Vayda Good,Lisa Powley,Alvaro Quinones,Kempis Ghani Songster,Adam Tennant,Ronald Raju Joseph,Write-In,23
Kevin J Boyle,10,0,66,64,62,55,56,56,28,25,23,22,20,20,18,14,8,23
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Pamela Robinson,,,1,64,62,55,58,59,16,13,11,16,9,8,6,4,0,23
Michele Lockman,,,,0,61,54,58,59,16,11,8,12,8,5,5,3,0,23
Anthony Bellmon,,,,,1,52,57,59,11,8,7,11,8,5,4,2,0,23
Mona Getzes Cohen,,,,,,0,49,50,14,14,12,11,12,10,9,8,0,23
Patrick Parkinson,,,,,,,0,56,9,7,4,8,7,3,3,1,0,23
Theodore Kirsch,,,,,,,,0,10,5,5,7,7,4,1,1,0,23
Amy Roat,,,,,,,,,0,18,18,20,15,14,14,14,0,23
Lorraine Haw,,,,,,,,,,0,22,16,16,17,18,15,0,23
Vayda Good,,,,,,,,,,,0,17,18,17,18,15,0,23
Lisa Powley,,,,,,,,,,,,1,13,13,14,11,0,23
Alvaro Quinones,,,,,,,,,,,,,1,16,16,13,0,23
Kempis Ghani Songster,,,,,,,,,,,,,,0,16,14,0,23
Adam Tennant,,,,,,,,,,,,,,,0,15,0,23
Ronald Raju Joseph,,,,,,,,,,,,,,,,0,0,23
Write-In,,,,,,,,,,,,,,,,,0,23
Total,104,0,73,71,68,63,62,62,32,28,27,26,25,22,21,18,8,23
,Representative In The General Assembly 172nd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,24
,Kevin J Boyle,Write-In,Michele Lockman,Pamela Robinson,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Lisa Powley,Amy Roat,Alvaro Quinones,Kempis Ghani Songster,Ronald Raju Joseph,Vayda Good,Adam Tennant,Lorraine Haw,Write-In,24
Kevin J Boyle,11,0,70,69,66,65,59,52,37,32,23,23,24,23,20,17,0,24
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Michele Lockman,,,1,65,67,67,63,50,23,17,9,10,7,7,7,6,0,24
Pamela Robinson,,,,0,61,60,58,48,19,19,11,9,5,9,6,4,0,24
Anthony Bellmon,,,,,0,63,62,48,18,17,8,9,6,6,4,6,0,24
Patrick Parkinson,,,,,,0,61,48,22,15,8,8,5,7,6,5,0,24
Theodore Kirsch,,,,,,,0,45,17,16,5,5,4,4,4,3,0,24
Mona Getzes Cohen,,,,,,,,0,11,9,10,10,7,9,8,10,0,24
Lisa Powley,,,,,,,,,1,28,18,20,20,19,20,15,0,24
Amy Roat,,,,,,,,,,0,18,17,18,18,18,14,0,24
Alvaro Quinones,,,,,,,,,,,0,22,21,23,18,16,0,24
Kempis Ghani Songster,,,,,,,,,,,,0,20,20,19,18,0,24
Ronald Raju Joseph,,,,,,,,,,,,,0,22,18,18,0,24
Vayda Good,,,,,,,,,,,,,,0,18,16,0,24
Adam Tennant,,,,,,,,,,,,,,,0,16,0,24
Lorraine Haw,,,,,,,,,,,,,,,,0,0,24
Write-In,,,,,,,,,,,,,,,,,0,24
Total,114,0,77,76,72,70,64,58,42,39,31,29,28,27,25,22,0,24
