col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In Congress 3rd District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Dwight Evans,Write-In,Cindy Bass,Nina Tinari,Malcolm Kenyatta,Ken Washington,Charlene Cooper,Wynnetta Ward,Terry Gillen,Matthew Miller,Anuj Gupta,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Christina Borst,Anlin Wang,Arielle Cohen,Daisy Confoy,Carla Le'Coin,Bryan Mercer,Steve Paul,Paul Prescod,Sergio Cea,Jack Cahill,Daniel Laufer,Write-In,All
Dwight Evans,255,0,"2,592","2,491","2,485","2,421","2,382","2,333","2,346","2,175","2,179","2,123","2,000",781,715,613,593,591,536,567,536,513,507,510,454,463,413,32,All
Write-In,,1,4,4,4,4,5,3,5,4,4,4,4,2,1,1,1,1,1,1,1,1,1,2,0,1,1,1,All
Cindy Bass,,,29,"2,402","2,332","2,287","2,378","2,206","2,323","2,113","2,173","2,034","2,060",526,461,383,293,368,275,341,278,250,272,300,189,204,162,37,All
Nina Tinari,,,,21,"2,311","2,325","2,401","2,259","2,355","2,162","2,215","2,108","2,107",534,422,382,308,336,229,341,273,231,251,267,192,186,139,25,All
Malcolm Kenyatta,,,,,11,"2,415","2,317","2,387","2,271","2,281","2,141","2,222","1,962",461,369,312,355,259,310,259,332,315,188,216,258,252,200,21,All
Ken Washington,,,,,,29,"2,307","2,363","2,286","2,269","2,139","2,187","1,982",447,333,306,344,276,284,250,306,308,210,221,256,244,204,31,All
Charlene Cooper,,,,,,,5,"2,252","2,370","2,164","2,234","2,109","2,080",506,410,366,288,328,248,325,265,242,248,278,182,176,117,20,All
Wynnetta Ward,,,,,,,,6,"2,218","2,213","2,063","2,198","1,902",427,345,282,353,261,311,245,324,297,181,176,246,254,211,33,All
Terry Gillen,,,,,,,,,1,"2,170","2,206","2,070","2,054",482,394,362,277,303,240,313,253,250,248,292,170,188,144,28,All
Matthew Miller,,,,,,,,,,4,"2,033","2,106","1,883",366,282,243,298,191,256,202,279,270,123,158,221,226,179,19,All
Anuj Gupta,,,,,,,,,,,2,"1,986","1,961",447,360,345,248,314,212,300,228,198,234,244,166,127,112,18,All
Lindy Li,,,,,,,,,,,,3,"1,877",346,304,228,304,238,275,192,285,253,136,132,231,199,176,16,All
Owen Voutsinas-Klose,,,,,,,,,,,,,6,356,358,254,173,286,175,224,171,160,207,210,135,142,108,13,All
Sherrie Cohen,,,,,,,,,,,,,,0,543,483,396,464,382,439,365,339,446,397,289,306,277,11,All
Heather Pope,,,,,,,,,,,,,,,9,446,354,473,397,416,341,322,440,400,315,326,305,4,All
Joanne Beer,,,,,,,,,,,,,,,,0,359,404,332,466,291,302,393,418,296,287,270,0,All
Christina Borst,,,,,,,,,,,,,,,,,0,312,366,344,441,395,304,267,343,365,363,8,All
Anlin Wang,,,,,,,,,,,,,,,,,,0,343,380,307,292,407,380,298,281,276,2,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,1,312,356,332,312,286,366,336,332,1,All
Daisy Confoy,,,,,,,,,,,,,,,,,,,,2,323,258,363,406,279,273,270,1,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,1,391,276,275,333,353,333,2,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,3,293,292,332,350,341,11,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,2,381,290,290,279,2,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,0,273,271,267,2,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,2,317,317,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,0,340,1,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"3,706",6,"2,936","2,827","2,814","2,797","2,675","2,663","2,628","2,479","2,444","2,437","2,272",875,837,703,689,669,642,642,632,627,581,579,547,543,498,74,All
,Representative In Congress 3rd District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Dwight Evans,Write-In,Ken Washington,Malcolm Kenyatta,Nina Tinari,Cindy Bass,Charlene Cooper,Terry Gillen,Wynnetta Ward,Anuj Gupta,Matthew Miller,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Christina Borst,Joanne Beer,Anlin Wang,Bryan Mercer,Arielle Cohen,Daisy Confoy,Steve Paul,Carla Le'Coin,Paul Prescod,Daniel Laufer,Jack Cahill,Sergio Cea,Write-In,1
Dwight Evans,13,0,209,216,208,203,200,200,196,189,190,184,158,70,61,61,59,54,54,54,49,45,45,43,42,41,35,12,1
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ken Washington,,,3,212,198,189,197,200,201,189,198,189,165,45,33,43,34,33,44,33,26,24,31,26,24,28,26,11,1
Malcolm Kenyatta,,,,2,197,190,198,192,202,182,202,194,158,42,32,43,29,25,42,34,22,14,34,18,29,28,24,1,1
Nina Tinari,,,,,1,196,203,199,185,189,180,176,172,51,46,33,42,41,34,23,34,29,24,33,19,22,18,0,1
Cindy Bass,,,,,,0,192,193,177,179,174,158,160,52,45,33,39,40,34,28,35,31,23,34,21,22,13,11,1
Charlene Cooper,,,,,,,1,203,186,190,181,177,171,49,41,32,41,37,34,30,32,26,20,31,16,16,14,0,1
Terry Gillen,,,,,,,,0,186,189,182,173,173,52,44,29,41,39,34,30,30,31,20,33,18,22,15,11,1
Wynnetta Ward,,,,,,,,,2,174,186,187,153,36,32,38,26,31,39,34,22,16,29,17,28,27,23,0,1
Anuj Gupta,,,,,,,,,,0,175,169,163,43,37,30,37,40,28,24,29,28,19,28,15,10,13,0,1
Matthew Miller,,,,,,,,,,,0,182,149,33,23,35,21,20,36,30,13,11,26,13,23,25,21,1,1
Lindy Li,,,,,,,,,,,,0,149,30,27,32,24,26,31,33,17,11,23,10,21,22,24,0,1
Owen Voutsinas-Klose,,,,,,,,,,,,,2,36,36,19,26,36,19,20,25,23,11,24,14,16,12,0,1
Sherrie Cohen,,,,,,,,,,,,,,0,51,34,47,42,33,34,37,41,31,38,21,25,18,0,1
Heather Pope,,,,,,,,,,,,,,,0,31,42,42,26,36,36,40,22,33,25,25,20,0,1
Christina Borst,,,,,,,,,,,,,,,,0,32,25,42,36,29,24,39,18,33,32,27,0,1
Joanne Beer,,,,,,,,,,,,,,,,,0,43,30,29,44,39,24,38,24,22,22,0,1
Anlin Wang,,,,,,,,,,,,,,,,,,0,20,26,38,35,20,36,26,20,16,0,1
Bryan Mercer,,,,,,,,,,,,,,,,,,,0,29,20,24,35,20,26,31,25,0,1
Arielle Cohen,,,,,,,,,,,,,,,,,,,,0,24,23,27,20,29,29,27,0,1
Daisy Confoy,,,,,,,,,,,,,,,,,,,,,0,31,23,36,23,19,20,0,1
Steve Paul,,,,,,,,,,,,,,,,,,,,,,1,19,34,21,21,18,0,1
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,0,17,28,25,23,0,1
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,0,22,19,17,0,1
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,0,27,22,0,1
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,0,1
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,293,0,245,245,236,234,227,225,224,216,215,210,187,79,71,70,68,63,63,61,56,55,51,51,48,48,42,12,1
