col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In Congress 2nd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Brendan F Boyle,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Lorraine Haw,Alvaro Quinones,Vayda Good,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Write-In,All
Brendan F Boyle,111,0,"1,159","1,082","1,034","1,020",990,917,545,534,406,393,363,339,339,342,6,All
Write-In,,1,3,2,3,2,2,2,2,2,2,3,3,2,2,2,0,All
Pamela Robinson,,,26,"1,189","1,163","1,136","1,105",963,338,348,197,167,135,134,117,116,6,All
Michele Lockman,,,,10,"1,154","1,147","1,122",940,325,322,160,146,110,107,108,98,5,All
Anthony Bellmon,,,,,7,"1,131","1,126",912,299,291,140,122,87,106,92,73,5,All
Patrick Parkinson,,,,,,6,"1,114",911,292,300,133,118,79,94,92,88,5,All
Theodore Kirsch,,,,,,,2,899,273,279,121,98,76,93,77,80,6,All
Mona Getzes Cohen,,,,,,,,9,200,198,175,171,149,114,127,127,6,All
Amy Roat,,,,,,,,,15,459,317,282,285,258,275,268,1,All
Lisa Powley,,,,,,,,,,8,278,266,265,266,259,263,0,All
Lorraine Haw,,,,,,,,,,,2,287,303,290,277,278,0,All
Alvaro Quinones,,,,,,,,,,,,5,314,277,295,286,0,All
Vayda Good,,,,,,,,,,,,,1,266,281,275,3,All
Kempis Ghani Songster,,,,,,,,,,,,,,3,276,257,0,All
Ronald Raju Joseph,,,,,,,,,,,,,,,1,280,2,All
Adam Tennant,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,0,All
Total,"1,684",6,"1,428","1,322","1,266","1,237","1,200","1,121",644,618,465,459,416,401,400,387,9,All
,Representative In Congress 2nd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,1
,Brendan F Boyle,Write-In,Pamela Robinson,Michele Lockman,Patrick Parkinson,Theodore Kirsch,Anthony Bellmon,Mona Getzes Cohen,Alvaro Quinones,Lisa Powley,Kempis Ghani Songster,Vayda Good,Amy Roat,Lorraine Haw,Ronald Raju Joseph,Adam Tennant,Write-In,1
Brendan F Boyle,2,0,70,69,66,66,64,62,25,25,22,22,22,20,19,18,0,1
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pamela Robinson,,,1,68,67,66,68,60,13,14,12,10,10,10,7,4,2,1
Michele Lockman,,,,1,69,68,66,60,11,13,12,8,13,8,8,6,0,1
Patrick Parkinson,,,,,0,68,67,59,11,12,11,6,12,6,8,5,0,1
Theodore Kirsch,,,,,,0,65,60,10,11,13,7,11,8,7,6,0,1
Anthony Bellmon,,,,,,,0,56,12,12,11,8,10,8,5,1,0,1
Mona Getzes Cohen,,,,,,,,0,13,9,12,12,8,11,9,9,0,1
Alvaro Quinones,,,,,,,,,0,13,16,15,10,12,13,13,0,1
Lisa Powley,,,,,,,,,,0,11,15,17,11,10,11,0,1
Kempis Ghani Songster,,,,,,,,,,,0,11,9,10,9,10,0,1
Vayda Good,,,,,,,,,,,,0,12,15,11,14,2,1
Amy Roat,,,,,,,,,,,,,0,9,10,10,0,1
Lorraine Haw,,,,,,,,,,,,,,0,12,11,0,1
Ronald Raju Joseph,,,,,,,,,,,,,,,0,14,0,1
Adam Tennant,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,0,1
Total,92,0,79,76,72,72,70,69,25,25,23,23,22,20,19,18,2,1
,Representative In Congress 2nd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,2
,Brendan F Boyle,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Theodore Kirsch,Patrick Parkinson,Mona Getzes Cohen,Lisa Powley,Amy Roat,Lorraine Haw,Alvaro Quinones,Vayda Good,Ronald Raju Joseph,Kempis Ghani Songster,Adam Tennant,Write-In,2
Brendan F Boyle,4,0,74,68,66,66,63,58,27,21,18,18,17,14,10,9,1,2
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pamela Robinson,,,0,77,77,76,75,67,22,17,10,9,9,4,2,3,0,2
Michele Lockman,,,,2,80,80,78,66,23,19,8,6,6,4,3,2,0,2
Anthony Bellmon,,,,,0,80,76,62,21,19,9,7,8,5,4,2,0,2
Theodore Kirsch,,,,,,0,77,65,20,18,9,6,6,4,2,2,1,2
