col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Senator In The General Assembly 1st District - Democrat,,,All
,Nina Tinari,Anuj Gupta,Cindy Bass,Lindy Li,Malcolm Kenyatta,Charlene Cooper,Terry Gillen,Wynnetta Ward,Ken Washington,Matthew Miller,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Anlin Wang,Arielle Cohen,Joanne Beer,Daisy Confoy,Christina Borst,Carla Le'Coin,Sergio Cea,Steve Paul,Jack Cahill,Paul Prescod,Bryan Mercer,Daniel Laufer,Write-In,Nikil Saval,Larry Farnese,Write-In,All
Nina Tinari,38,"24,972","25,069","24,588","23,983","24,743","24,307","24,348","23,603","23,086","23,269","4,508","4,110","3,574","3,254","3,455","3,119","2,665","2,589","1,859","1,561","1,236","1,308","1,162",944,450,"11,752","14,455",16,All
Anuj Gupta,,8,"24,443","24,199","23,941","24,267","24,089","23,863","23,428","22,904","23,001","4,118","3,742","3,542","3,035","3,145","2,849","2,316","2,275","1,885","1,522","1,069","1,325","1,159",884,466,"11,459","14,032",18,All
Cindy Bass,,,6,"23,942","23,590","24,494","24,073","23,960","23,262","22,770","22,927","4,235","3,870","3,257","3,134","3,234","2,858","2,386","2,278","1,595","1,458","1,136","1,260","1,049",888,464,"11,078","14,234",19,All
Lindy Li,,,,5,"23,727","23,911","23,576","24,203","23,145","22,973","22,397","3,888","3,631","3,292","3,239","2,953","2,743","2,593","2,516","1,889","1,207","1,169",958,"1,158",959,422,"11,033","13,944",19,All
Malcolm Kenyatta,,,,,20,"23,430","23,428","23,689","23,475","23,054","22,398","3,585","3,178","2,892","2,800","2,590","2,296","2,237","2,170","1,877","1,303","1,290","1,136","1,354","1,018",468,"10,956","13,919",15,All
Charlene Cooper,,,,,,2,"24,006","23,947","23,323","22,964","22,832","3,837","3,413","2,888","2,719","2,898","2,580","2,174","2,079","1,418","1,271",930,"1,131",980,643,444,"10,726","13,889",17,All
Terry Gillen,,,,,,,6,"23,504","23,436","23,073","22,792","3,543","3,114","2,726","2,503","2,603","2,225","1,933","1,810","1,413","1,403","1,143","1,181","1,065",895,443,"10,474","14,119",21,All
Wynnetta Ward,,,,,,,,8,"23,264","22,832","22,196","3,797","3,497","3,049","3,075","2,899","2,653","2,457","2,413","1,714","1,206","1,153",926,"1,098",907,441,"10,859","13,706",18,All
Ken Washington,,,,,,,,,23,"23,063","22,474","2,878","2,430","2,281","2,007","1,984","1,613","1,579","1,504","1,344","1,049","1,020",918,"1,069",760,424,"9,968","13,728",14,All
Matthew Miller,,,,,,,,,,3,"22,149","2,564","2,123","1,855","1,880","1,708","1,311","1,408","1,264","1,196",764,949,719,957,666,433,"9,417","13,562",17,All
Owen Voutsinas-Klose,,,,,,,,,,,7,"2,787","2,597","2,416","1,925","2,010","1,654","1,351","1,339","1,222","1,162",905,982,828,645,406,"9,622","13,267",15,All
Sherrie Cohen,,,,,,,,,,,,2,"12,445","11,761","11,609","11,641","11,556","10,807","10,658","9,957","10,341","9,470","9,850","9,226","9,359",96,"11,120","3,111",8,All
Heather Pope,,,,,,,,,,,,,18,"11,874","11,556","11,679","11,641","10,917","10,819","10,152","10,383","9,668","9,846","9,298","9,451",67,"11,275","2,790",6,All
Anlin Wang,,,,,,,,,,,,,,3,"11,067","11,115","11,216","10,428","10,486","10,277","10,298","9,449","9,824","9,208","9,345",68,"10,857","2,505",6,All
Arielle Cohen,,,,,,,,,,,,,,,3,"11,041","11,112","10,652","10,606","10,165","9,838","9,486","9,468","9,195","9,377",65,"10,434","2,601",7,All
Joanne Beer,,,,,,,,,,,,,,,,2,"11,539","10,566","10,373","9,892","10,014","9,303","9,902","9,100","9,191",89,"10,437","2,487",7,All
