col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In The General Assembly 173rd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Mike Driscoll,Write-In,Pamela Robinson,Michele Lockman,Patrick Parkinson,Anthony Bellmon,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Lorraine Haw,Alvaro Quinones,Vayda Good,Adam Tennant,Kempis Ghani Songster,Ronald Raju Joseph,Write-In,All
Mike Driscoll,564,0,"3,938","3,838","3,707","3,581","3,560","3,347","1,731","1,719","1,312","1,266","1,208","1,136","1,080","1,034",82,All
Write-In,,7,19,18,16,16,15,15,9,10,11,9,9,9,10,9,49,All
Pamela Robinson,,,57,"3,934","3,764","3,790","3,724","3,364",940,"1,011",538,472,417,343,374,232,47,All
Michele Lockman,,,,28,"3,823","3,812","3,780","3,384",910,989,501,459,384,343,312,248,44,All
Patrick Parkinson,,,,,14,"3,737","3,795","3,232",812,868,405,392,250,328,286,208,46,All
Anthony Bellmon,,,,,,14,"3,732","3,239",773,816,386,363,288,251,291,215,41,All
Theodore Kirsch,,,,,,,8,"3,216",764,821,354,323,253,266,265,196,46,All
Mona Getzes Cohen,,,,,,,,15,616,654,518,493,439,366,310,280,33,All
Amy Roat,,,,,,,,,19,"1,484","1,047",966,998,929,887,885,7,All
Lisa Powley,,,,,,,,,,9,982,927,946,907,893,844,6,All
Lorraine Haw,,,,,,,,,,,5,952,"1,010",928,920,896,7,All
Alvaro Quinones,,,,,,,,,,,,9,"1,028",952,884,911,6,All
Vayda Good,,,,,,,,,,,,,2,940,910,912,6,All
Adam Tennant,,,,,,,,,,,,,,1,847,899,6,All
Kempis Ghani Songster,,,,,,,,,,,,,,,3,872,8,All
Ronald Raju Joseph,,,,,,,,,,,,,,,,3,8,All
Write-In,,,,,,,,,,,,,,,,,5,All
Total,"6,023",41,"4,519","4,389","4,207","4,085","4,053","3,802","1,959","1,954","1,467","1,446","1,368","1,282","1,244","1,168",142,All
