col_1,col_2,division
,Representative In The General Assembly 170th District - Democrat,All
,Write-In,All
Write-In,234,All
Total,234,All
,Representative In The General Assembly 170th District - Democrat,1
,Write-In,1
Write-In,3,1
Total,3,1
,Representative In The General Assembly 170th District - Democrat,2
,Write-In,2
Write-In,7,2
Total,7,2
,Representative In The General Assembly 170th District - Democrat,3
,Write-In,3
Write-In,16,3
Total,16,3
,Representative In The General Assembly 170th District - Democrat,4
,Write-In,4
Write-In,11,4
Total,11,4
,Representative In The General Assembly 170th District - Democrat,5
,Write-In,5
Write-In,14,5
Total,14,5
,Representative In The General Assembly 170th District - Democrat,6
,Write-In,6
Write-In,6,6
Total,6,6
,Representative In The General Assembly 170th District - Democrat,7
,Write-In,7
Write-In,2,7
Total,2,7
,Representative In The General Assembly 170th District - Democrat,8
,Write-In,8
Write-In,9,8
Total,9,8
,Representative In The General Assembly 170th District - Democrat,12
,Write-In,12
Write-In,1,12
Total,1,12
,Representative In The General Assembly 170th District - Democrat,14
,Write-In,14
Write-In,5,14
Total,5,14
,Representative In The General Assembly 170th District - Democrat,15
,Write-In,15
Write-In,1,15
Total,1,15
,Representative In The General Assembly 170th District - Democrat,18
,Write-In,18
Write-In,7,18
Total,7,18
,Representative In The General Assembly 170th District - Democrat,20
,Write-In,20
Write-In,7,20
Total,7,20
,Representative In The General Assembly 170th District - Democrat,21
,Write-In,21
Write-In,9,21
Total,9,21
,Representative In The General Assembly 170th District - Democrat,22
,Write-In,22
Write-In,7,22
Total,7,22
,Representative In The General Assembly 170th District - Democrat,23
,Write-In,23
Write-In,11,23
Total,11,23
,Representative In The General Assembly 170th District - Democrat,24
,Write-In,24
Write-In,13,24
Total,13,24
,Representative In The General Assembly 170th District - Democrat,25
,Write-In,25
Write-In,7,25
Total,7,25
,Representative In The General Assembly 170th District - Democrat,27
,Write-In,27
Write-In,10,27
Total,10,27
,Representative In The General Assembly 170th District - Democrat,29
,Write-In,29
Write-In,10,29
Total,10,29
,Representative In The General Assembly 170th District - Democrat,30
,Write-In,30
Write-In,7,30
Total,7,30
,Representative In The General Assembly 170th District - Democrat,31
,Write-In,31
Write-In,9,31
Total,9,31
,Representative In The General Assembly 170th District - Democrat,32
,Write-In,32
Write-In,4,32
Total,4,32
,Representative In The General Assembly 170th District - Democrat,33
,Write-In,33
Write-In,5,33
Total,5,33
,Representative In The General Assembly 170th District - Democrat,34
,Write-In,34
Write-In,5,34
Total,5,34
,Representative In The General Assembly 170th District - Democrat,35
,Write-In,35
Write-In,6,35
Total,6,35
,Representative In The General Assembly 170th District - Democrat,36
,Write-In,36
Write-In,8,36
Total,8,36
,Representative In The General Assembly 170th District - Democrat,37
,Write-In,37
Write-In,4,37
Total,4,37
,Representative In The General Assembly 170th District - Democrat,38
,Write-In,38
Write-In,3,38
Total,3,38
,Representative In The General Assembly 170th District - Democrat,39
,Write-In,39
Write-In,5,39
Total,5,39
,Representative In The General Assembly 170th District - Democrat,40
,Write-In,40
Write-In,2,40
Total,2,40
,Representative In The General Assembly 170th District - Democrat,41
,Write-In,41
Write-In,10,41
Total,10,41
,Representative In The General Assembly 170th District - Democrat,42
,Write-In,42
Write-In,5,42
Total,5,42
,Representative In The General Assembly 170th District - Democrat,43
,Write-In,43
Write-In,4,43
Total,4,43
,Representative In The General Assembly 170th District - Democrat,44
,Write-In,44
Write-In,1,44
Total,1,44
