col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,,,,All
,Nina Tinari,Malcolm Kenyatta,Cindy Bass,Sherrie Cohen,Wynnetta Ward,Heather Pope,Terry Gillen,Charlene Cooper,Ken Washington,Anuj Gupta,Lindy Li,Anlin Wang,Joanne Beer,Daisy Confoy,Arielle Cohen,Christina Borst,Owen Voutsinas-Klose,Matthew Miller,Carla Le'Coin,Sergio Cea,Steve Paul,Paul Prescod,Bryan Mercer,Jack Cahill,Daniel Laufer,Write-In,Rick Krajewski,James R Roebuck,Karen Dunn,Gregory R Benjamin,Write-In,All
Nina Tinari,19,"5,309","5,505","1,467","5,296","1,314","5,397","5,489","5,207","5,340","5,124","1,178","1,133","1,003",778,815,"4,934","4,845",739,647,716,621,508,429,348,82,"1,893","2,312",936,997,6,All
Malcolm Kenyatta,,13,"5,140","1,173","5,425","1,017","5,210","5,160","5,379","5,114","5,249",893,818,723,848,874,"4,623","5,077",801,760,543,450,682,589,493,121,"1,897","2,341",881,960,5,All
Cindy Bass,,,3,"1,360","5,141","1,228","5,301","5,395","5,008","5,178","4,925","1,100","1,049",920,758,728,"4,818","4,699",671,563,664,569,485,387,302,93,"1,795","2,255",891,902,4,All
Sherrie Cohen,,,,2,"1,141","5,357","1,229","1,263",959,"1,284","1,078","5,178","5,116","5,078","4,853","4,739",993,752,"4,690","4,513","4,849","4,620","4,374","4,335","4,312",25,"3,875",906,688,459,5,All
Wynnetta Ward,,,,,4,"1,045","5,125","5,176","5,244","4,983","5,256",906,818,729,868,878,"4,497","4,966",812,706,467,355,575,522,454,103,"1,788","2,210",899,910,5,All
Heather Pope,,,,,,10,"1,071","1,122",799,"1,155",980,"5,207","5,068","5,075","4,866","4,735",976,626,"4,692","4,587","4,831","4,604","4,338","4,385","4,358",20,"3,902",889,660,429,5,All
Terry Gillen,,,,,,,4,"5,366","5,168","5,225","4,961",961,910,782,647,685,"4,816","4,892",585,534,650,566,504,423,326,83,"1,719","2,233",852,930,7,All
Charlene Cooper,,,,,,,,4,"5,098","5,229","4,996","1,002",953,866,670,682,"4,796","4,810",627,517,618,569,447,345,225,84,"1,715","2,225",871,911,5,All
Ken Washington,,,,,,,,,18,"4,933","5,039",738,660,549,595,682,"4,618","5,034",593,604,446,384,574,470,385,84,"1,640","2,240",858,950,6,All
Anuj Gupta,,,,,,,,,,0,"4,913","1,111",999,869,691,693,"4,760","4,680",619,606,664,594,471,319,284,86,"1,830","2,161",827,860,6,All
Lindy Li,,,,,,,,,,,3,904,746,690,842,823,"4,490","4,843",782,702,431,327,533,451,405,86,"1,762","2,105",853,839,3,All
Anlin Wang,,,,,,,,,,,,2,"4,923","4,937","4,764","4,563",925,565,"4,595","4,607","4,783","4,572","4,275","4,286","4,272",14,"3,870",790,607,369,6,All
Joanne Beer,,,,,,,,,,,,,1,"5,053","4,693","4,624",747,504,"4,520","4,485","4,651","4,597","4,220","4,244","4,233",14,"3,705",753,618,381,4,All
Daisy Confoy,,,,,,,,,,,,,,0,"4,719","4,668",655,379,"4,623","4,502","4,660","4,582","4,194","4,254","4,256",14,"3,702",711,602,357,4,All
Arielle Cohen,,,,,,,,,,,,,,,0,"4,680",516,529,"4,678","4,661","4,440","4,303","4,324","4,375","4,339",20,"3,723",666,598,343,3,All
Christina Borst,,,,,,,,,,,,,,,,1,472,576,"4,821","4,455","4,350","4,176","4,463","4,405","4,428",10,"3,647",686,597,344,6,All
Owen Voutsinas-Klose,,,,,,,,,,,,,,,,,7,"4,403",453,467,608,523,368,380,268,79,"1,671","1,977",717,779,3,All
Matthew Miller,,,,,,,,,,,,,,,,,,4,507,525,290,271,492,419,333,76,"1,496","2,047",766,830,5,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,0,"4,488","4,316","4,209","4,412","4,390","4,367",18,"3,654",633,574,299,4,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,0,"4,359","4,265","4,264","4,295","4,271",7,"3,588",618,531,302,5,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,1,"4,537","4,220","4,251","4,239",16,"3,506",691,507,331,5,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,1,"4,123","4,114","4,116",8,"3,378",618,475,309,4,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,2,"4,280","4,293",23,"3,375",626,470,321,4,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,2,"4,343",12,"3,390",592,456,302,4,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,0,12,"3,331",543,444,288,4,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,16,9,6,1,All
Rick Krajewski,,,,,,,,,,,,,,,,,,,,,,,,,,,419,0,0,0,0,All
James R Roebuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,0,0,0,All
Karen Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,0,All
Gregory R Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,All
