col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Representative In The General Assembly 191st District - Democrat,,Delegate To The Democratic National Convention 5th District - Democrat,,,,,,,,,,,,,,All
,Joanna E Mcclinton,Write-In,Maryanne Donaghy,Samantha Newell,Colleen Guiney,Rebecca Divalerio,Michel Lee,Karyn Hollis,Amanda Mcillmurray,Tray Herman,Cora Linehan,Deidre Selig,John Randolph,Ryan Yeager,Jake Metzger,Write-In,All
Joanna E Mcclinton,234,0,"1,939","1,948","1,839","1,884",810,775,665,528,644,522,600,466,563,34,All
Write-In,,0,4,3,2,3,4,3,4,2,1,3,2,3,2,1,All
Maryanne Donaghy,,,54,"1,967","2,109","1,938",492,498,588,438,346,420,325,414,252,32,All
Samantha Newell,,,,46,"1,898","1,998",558,580,425,258,422,273,406,244,340,31,All
Colleen Guiney,,,,,13,"1,868",442,454,577,405,290,415,293,393,226,31,All
Rebecca Divalerio,,,,,,9,541,566,413,269,408,240,393,230,318,31,All
Michel Lee,,,,,,,4,629,480,393,508,389,508,347,464,0,All
Karyn Hollis,,,,,,,,1,476,384,546,393,494,294,462,0,All
Amanda Mcillmurray,,,,,,,,,1,473,378,529,284,472,302,4,All
Tray Herman,,,,,,,,,,1,369,469,337,436,333,0,All
Cora Linehan,,,,,,,,,,,2,358,445,286,453,3,All
Deidre Selig,,,,,,,,,,,,5,296,435,299,0,All
John Randolph,,,,,,,,,,,,,1,288,435,8,All
Ryan Yeager,,,,,,,,,,,,,,2,263,0,All
Jake Metzger,,,,,,,,,,,,,,,9,0,All
Write-In,,,,,,,,,,,,,,,,0,All
Total,"2,794",5,"2,474","2,308","2,281","2,190",883,848,840,724,698,689,660,637,632,51,All
