col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Lorraine Haw,Alvaro Quinones,Vayda Good,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Write-In,All
Joseph R Biden,168,0,0,0,"1,302","1,203","1,167","1,137","1,111","1,029",347,343,225,228,182,169,172,161,6,All
Bernie Sanders,,37,0,0,92,87,68,72,65,65,269,247,216,212,216,213,207,210,0,All
Tulsi Gabbard,,,6,0,18,16,15,14,10,16,16,18,16,13,13,14,13,11,1,All
Write-In,,,,5,2,2,2,2,1,1,4,2,2,1,1,1,1,1,0,All
Pamela Robinson,,,,,1,"1,189","1,163","1,136","1,105",963,338,348,197,167,135,134,117,116,6,All
Michele Lockman,,,,,,0,"1,154","1,147","1,122",940,325,322,160,146,110,107,108,98,5,All
Anthony Bellmon,,,,,,,1,"1,131","1,126",912,299,291,140,122,87,106,92,73,5,All
Patrick Parkinson,,,,,,,,1,"1,114",911,292,300,133,118,79,94,92,88,5,All
Theodore Kirsch,,,,,,,,,0,899,273,279,121,98,76,93,77,80,6,All
Mona Getzes Cohen,,,,,,,,,,0,200,198,175,171,149,114,127,127,6,All
Amy Roat,,,,,,,,,,,0,459,317,282,285,258,275,268,1,All
Lisa Powley,,,,,,,,,,,,1,278,266,265,266,259,263,0,All
Lorraine Haw,,,,,,,,,,,,,0,287,303,290,277,278,0,All
Alvaro Quinones,,,,,,,,,,,,,,1,314,277,295,286,0,All
Vayda Good,,,,,,,,,,,,,,,0,266,281,275,3,All
Kempis Ghani Songster,,,,,,,,,,,,,,,,0,276,257,0,All
Ronald Raju Joseph,,,,,,,,,,,,,,,,,0,280,2,All
Adam Tennant,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,0,All
Total,"1,742",394,40,10,"1,428","1,322","1,266","1,237","1,200","1,121",644,618,465,459,416,401,400,387,9,All
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,1
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Patrick Parkinson,Theodore Kirsch,Anthony Bellmon,Mona Getzes Cohen,Alvaro Quinones,Lisa Powley,Kempis Ghani Songster,Vayda Good,Amy Roat,Lorraine Haw,Ronald Raju Joseph,Adam Tennant,Write-In,1
Joseph R Biden,4,0,0,0,74,70,66,66,65,65,16,14,14,13,12,13,11,9,0,1
Bernie Sanders,,1,0,0,4,5,5,5,5,2,7,11,7,8,10,6,6,7,0,1
Tulsi Gabbard,,,0,0,0,1,1,1,0,2,2,0,2,1,0,1,2,2,0,1
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pamela Robinson,,,,,0,68,67,66,68,60,13,14,12,10,10,10,7,4,2,1
Michele Lockman,,,,,,0,69,68,66,60,11,13,12,8,13,8,8,6,0,1
Patrick Parkinson,,,,,,,0,68,67,59,11,12,11,6,12,6,8,5,0,1
Theodore Kirsch,,,,,,,,0,65,60,10,11,13,7,11,8,7,6,0,1
Anthony Bellmon,,,,,,,,,0,56,12,12,11,8,10,8,5,1,0,1
Mona Getzes Cohen,,,,,,,,,,0,13,9,12,12,8,11,9,9,0,1
Alvaro Quinones,,,,,,,,,,,0,13,16,15,10,12,13,13,0,1
Lisa Powley,,,,,,,,,,,,0,11,15,17,11,10,11,0,1
Kempis Ghani Songster,,,,,,,,,,,,,0,11,9,10,9,10,0,1
Vayda Good,,,,,,,,,,,,,,0,12,15,11,14,2,1
Amy Roat,,,,,,,,,,,,,,,0,9,10,10,0,1
Lorraine Haw,,,,,,,,,,,,,,,,0,12,11,0,1
Ronald Raju Joseph,,,,,,,,,,,,,,,,,0,14,0,1
Adam Tennant,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,0,1
Total,89,14,2,0,79,76,72,72,70,69,25,25,23,23,22,20,19,18,2,1
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,2
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Theodore Kirsch,Patrick Parkinson,Mona Getzes Cohen,Lisa Powley,Amy Roat,Lorraine Haw,Alvaro Quinones,Vayda Good,Ronald Raju Joseph,Kempis Ghani Songster,Adam Tennant,Write-In,2
Joseph R Biden,4,0,0,0,86,83,78,77,76,72,24,18,15,15,14,13,8,7,1,2
Bernie Sanders,,0,0,0,6,6,6,6,6,2,9,9,6,5,4,3,3,3,0,2
Tulsi Gabbard,,,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,2
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pamela Robinson,,,,,0,77,77,76,75,67,22,17,10,9,9,4,2,3,0,2
Michele Lockman,,,,,,0,80,80,78,66,23,19,8,6,6,4,3,2,0,2
Anthony Bellmon,,,,,,,0,80,76,62,21,19,9,7,8,5,4,2,0,2
Theodore Kirsch,,,,,,,,0,77,65,20,18,9,6,6,4,2,2,1,2
Patrick Parkinson,,,,,,,,,0,61,22,16,9,7,4,4,3,2,0,2
Mona Getzes Cohen,,,,,,,,,,0,12,11,10,11,9,6,4,6,1,2
Lisa Powley,,,,,,,,,,,0,21,12,12,11,12,7,8,0,2
Amy Roat,,,,,,,,,,,,0,11,7,9,8,7,6,0,2
Lorraine Haw,,,,,,,,,,,,,0,12,13,12,11,8,0,2
Alvaro Quinones,,,,,,,,,,,,,,0,14,12,10,10,0,2
Vayda Good,,,,,,,,,,,,,,,0,12,9,9,0,2
Ronald Raju Joseph,,,,,,,,,,,,,,,,0,10,9,1,2
Kempis Ghani Songster,,,,,,,,,,,,,,,,,0,7,0,2
Adam Tennant,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,0,2
Total,112,12,2,0,92,90,85,84,83,75,34,29,23,22,19,17,13,11,1,2
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,3
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Theodore Kirsch,Patrick Parkinson,Mona Getzes Cohen,Lisa Powley,Amy Roat,Adam Tennant,Vayda Good,Ronald Raju Joseph,Lorraine Haw,Kempis Ghani Songster,Alvaro Quinones,Write-In,3
Joseph R Biden,11,0,0,0,77,66,65,63,61,52,34,27,16,15,12,12,13,13,0,3
Bernie Sanders,,2,0,0,6,5,5,4,4,2,12,14,9,9,11,9,8,7,0,3
Tulsi Gabbard,,,0,0,3,2,2,1,2,3,2,1,2,3,2,3,2,1,0,3
Write-In,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Pamela Robinson,,,,,0,67,65,63,63,46,33,27,13,13,10,9,9,8,0,3
Michele Lockman,,,,,,0,63,62,63,42,31,25,9,9,8,7,6,5,0,3
Anthony Bellmon,,,,,,,0,63,61,42,27,23,7,8,7,5,8,6,0,3
Theodore Kirsch,,,,,,,,0,62,42,26,21,7,6,4,5,7,1,0,3
Patrick Parkinson,,,,,,,,,0,43,25,22,8,7,8,5,6,3,0,3
Mona Getzes Cohen,,,,,,,,,,0,14,10,11,12,11,8,10,10,0,3
Lisa Powley,,,,,,,,,,,0,36,22,18,17,15,12,13,0,3
Amy Roat,,,,,,,,,,,,0,19,18,17,15,10,13,0,3
Adam Tennant,,,,,,,,,,,,,0,17,15,17,13,14,0,3
Vayda Good,,,,,,,,,,,,,,0,19,17,13,15,0,3
Ronald Raju Joseph,,,,,,,,,,,,,,,0,14,14,15,0,3
Lorraine Haw,,,,,,,,,,,,,,,,0,13,12,0,3
Kempis Ghani Songster,,,,,,,,,,,,,,,,,0,12,0,3
Alvaro Quinones,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,0,3
Total,106,20,5,1,87,74,73,69,68,57,49,43,27,27,26,24,23,21,0,3
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,4
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Anthony Bellmon,Michele Lockman,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Vayda Good,Alvaro Quinones,Lorraine Haw,Ronald Raju Joseph,Kempis Ghani Songster,Adam Tennant,Write-In,4
Joseph R Biden,14,0,0,0,77,72,72,68,65,56,20,18,12,14,8,11,7,8,0,4
Bernie Sanders,,2,0,0,4,2,2,1,2,4,12,14,15,13,14,10,13,11,0,4
Tulsi Gabbard,,,0,0,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,4
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Pamela Robinson,,,,,0,69,67,63,61,51,18,17,7,7,8,5,6,2,0,4
Anthony Bellmon,,,,,,0,65,65,64,50,16,16,5,6,5,6,6,2,0,4
Michele Lockman,,,,,,,0,62,60,46,19,17,7,8,6,9,5,5,0,4
Patrick Parkinson,,,,,,,,0,62,48,15,18,5,5,2,6,6,2,0,4
Theodore Kirsch,,,,,,,,,0,47,14,14,6,5,2,5,4,2,0,4
Mona Getzes Cohen,,,,,,,,,,0,6,7,11,8,6,7,5,5,0,4
Amy Roat,,,,,,,,,,,0,26,17,19,15,16,17,16,0,4
Lisa Powley,,,,,,,,,,,,0,17,15,12,13,16,14,0,4
Vayda Good,,,,,,,,,,,,,0,21,16,17,16,17,0,4
Alvaro Quinones,,,,,,,,,,,,,,0,15,18,15,17,0,4
Lorraine Haw,,,,,,,,,,,,,,,0,12,16,14,0,4
Ronald Raju Joseph,,,,,,,,,,,,,,,,0,13,17,0,4
Kempis Ghani Songster,,,,,,,,,,,,,,,,,0,14,0,4
Adam Tennant,,,,,,,,,,,,,,,,,,0,0,4
Write-In,,,,,,,,,,,,,,,,,,,0,4
Total,111,20,2,0,82,76,76,71,68,61,35,35,28,27,22,22,21,20,0,4
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,5
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Theodore Kirsch,Patrick Parkinson,Mona Getzes Cohen,Lisa Powley,Amy Roat,Kempis Ghani Songster,Lorraine Haw,Adam Tennant,Alvaro Quinones,Ronald Raju Joseph,Vayda Good,Write-In,5
Joseph R Biden,10,0,0,0,80,66,68,66,64,56,34,31,13,16,11,11,10,6,0,5
Bernie Sanders,,4,0,0,6,7,3,4,3,2,11,11,10,7,10,9,8,10,0,5
Tulsi Gabbard,,,0,0,2,2,2,2,2,1,2,2,2,1,1,1,1,1,0,5
Write-In,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,5
Pamela Robinson,,,,,0,71,72,71,67,52,34,29,15,14,11,9,8,6,0,5
Michele Lockman,,,,,,0,66,67,63,48,28,23,12,10,9,9,7,6,0,5
Anthony Bellmon,,,,,,,0,69,66,49,32,28,11,12,7,5,8,3,0,5
Theodore Kirsch,,,,,,,,0,68,50,32,27,9,9,8,4,6,2,0,5
Patrick Parkinson,,,,,,,,,0,48,31,28,9,9,6,3,6,2,0,5
Mona Getzes Cohen,,,,,,,,,,0,20,16,7,12,9,9,9,6,0,5
Lisa Powley,,,,,,,,,,,0,38,17,16,14,12,13,10,0,5
Amy Roat,,,,,,,,,,,,0,15,15,13,11,12,10,0,5
Kempis Ghani Songster,,,,,,,,,,,,,0,16,15,16,13,14,0,5
Lorraine Haw,,,,,,,,,,,,,,0,15,14,12,14,0,5
Adam Tennant,,,,,,,,,,,,,,,0,15,14,14,0,5
Alvaro Quinones,,,,,,,,,,,,,,,,0,13,16,0,5
Ronald Raju Joseph,,,,,,,,,,,,,,,,,0,11,0,5
Vayda Good,,,,,,,,,,,,,,,,,,0,0,5
Write-In,,,,,,,,,,,,,,,,,,,0,5
Total,104,20,3,1,89,76,74,73,70,60,48,45,26,25,23,22,20,18,0,5
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,6
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Theodore Kirsch,Anthony Bellmon,Patrick Parkinson,Mona Getzes Cohen,Amy Roat,Lisa Powley,Lorraine Haw,Kempis Ghani Songster,Ronald Raju Joseph,Vayda Good,Alvaro Quinones,Adam Tennant,Write-In,6
Joseph R Biden,13,0,0,0,62,60,54,51,52,40,16,13,10,7,9,10,9,6,0,6
Bernie Sanders,,1,0,0,5,3,3,4,2,4,10,9,13,13,11,10,9,9,0,6
Tulsi Gabbard,,,0,0,1,1,0,1,0,0,2,2,1,1,1,1,2,1,0,6
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Pamela Robinson,,,,,0,56,53,53,52,35,16,15,10,7,9,7,8,4,0,6
Michele Lockman,,,,,,0,55,54,53,36,16,14,7,5,6,5,6,2,0,6
Theodore Kirsch,,,,,,,0,52,51,34,13,11,6,4,5,5,4,2,0,6
Anthony Bellmon,,,,,,,,0,50,33,14,12,7,5,6,4,5,1,0,6
Patrick Parkinson,,,,,,,,,0,32,13,13,7,5,6,5,5,2,0,6
Mona Getzes Cohen,,,,,,,,,,0,9,4,8,4,6,9,7,8,0,6
Amy Roat,,,,,,,,,,,0,17,15,12,12,13,12,11,0,6
Lisa Powley,,,,,,,,,,,,0,13,13,13,9,10,9,0,6
Lorraine Haw,,,,,,,,,,,,,0,16,15,16,15,14,0,6
Kempis Ghani Songster,,,,,,,,,,,,,,0,16,14,13,11,0,6
Ronald Raju Joseph,,,,,,,,,,,,,,,0,14,14,14,0,6
Vayda Good,,,,,,,,,,,,,,,,0,18,13,0,6
Alvaro Quinones,,,,,,,,,,,,,,,,,0,12,0,6
Adam Tennant,,,,,,,,,,,,,,,,,,0,0,6
Write-In,,,,,,,,,,,,,,,,,,,0,6
Total,89,18,2,0,68,64,57,56,54,44,28,24,24,21,21,21,20,16,0,6
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,7
,Joseph R Biden,Bernie Sanders,Write-In,Tulsi Gabbard,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Mona Getzes Cohen,Theodore Kirsch,Amy Roat,Lisa Powley,Lorraine Haw,Kempis Ghani Songster,Adam Tennant,Alvaro Quinones,Ronald Raju Joseph,Vayda Good,Write-In,7
Joseph R Biden,8,0,0,0,51,48,46,44,41,41,17,15,15,11,10,11,8,8,0,7
Bernie Sanders,,2,0,0,6,6,3,4,5,2,17,14,12,15,14,13,15,11,0,7
Write-In,,,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,7
Tulsi Gabbard,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Pamela Robinson,,,,,0,44,45,42,38,38,21,17,15,10,10,11,7,7,0,7
Michele Lockman,,,,,,0,45,46,38,43,18,13,9,10,8,8,7,3,0,7
Anthony Bellmon,,,,,,,0,43,35,42,14,9,9,5,6,3,3,4,0,7
Patrick Parkinson,,,,,,,,0,36,38,11,8,8,7,8,6,4,1,0,7
Mona Getzes Cohen,,,,,,,,,0,33,11,10,9,8,8,11,7,3,0,7
Theodore Kirsch,,,,,,,,,,0,13,9,7,5,4,3,3,3,0,7
Amy Roat,,,,,,,,,,,0,24,18,17,13,15,18,14,0,7
Lisa Powley,,,,,,,,,,,,0,15,16,15,14,16,12,0,7
Lorraine Haw,,,,,,,,,,,,,0,19,16,19,17,16,0,7
Kempis Ghani Songster,,,,,,,,,,,,,,0,18,17,20,14,0,7
Adam Tennant,,,,,,,,,,,,,,,0,15,17,14,0,7
Alvaro Quinones,,,,,,,,,,,,,,,,0,17,15,0,7
Ronald Raju Joseph,,,,,,,,,,,,,,,,,0,15,0,7
Vayda Good,,,,,,,,,,,,,,,,,,0,0,7
Write-In,,,,,,,,,,,,,,,,,,,0,7
Total,70,23,1,0,58,55,50,49,46,44,35,29,27,26,24,24,23,19,0,7
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,8
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Patrick Parkinson,Anthony Bellmon,Mona Getzes Cohen,Theodore Kirsch,Alvaro Quinones,Lisa Powley,Lorraine Haw,Amy Roat,Kempis Ghani Songster,Ronald Raju Joseph,Vayda Good,Adam Tennant,Write-In,8
Joseph R Biden,5,0,0,0,59,57,53,54,48,50,15,12,9,9,7,5,4,5,0,8
Bernie Sanders,,1,0,0,5,5,5,3,6,3,8,8,9,10,8,8,9,7,0,8
Tulsi Gabbard,,,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,8
Write-In,,,,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,8
Pamela Robinson,,,,,0,58,55,55,50,49,13,13,9,11,7,5,4,4,0,8
Michele Lockman,,,,,,0,56,54,48,51,12,15,11,11,8,5,4,4,0,8
Patrick Parkinson,,,,,,,0,53,46,51,10,13,9,10,6,5,4,4,0,8
Anthony Bellmon,,,,,,,,0,46,50,10,10,7,8,7,2,2,3,0,8
Mona Getzes Cohen,,,,,,,,,0,42,13,8,9,6,7,7,7,5,0,8
Theodore Kirsch,,,,,,,,,,0,8,8,4,6,5,4,0,3,0,8
Alvaro Quinones,,,,,,,,,,,0,11,12,11,11,11,9,12,0,8
Lisa Powley,,,,,,,,,,,,1,12,12,9,8,8,8,0,8
Lorraine Haw,,,,,,,,,,,,,0,13,11,10,13,9,0,8
Amy Roat,,,,,,,,,,,,,,0,7,7,10,7,0,8
Kempis Ghani Songster,,,,,,,,,,,,,,,0,10,9,9,0,8
Ronald Raju Joseph,,,,,,,,,,,,,,,,0,9,9,0,8
Vayda Good,,,,,,,,,,,,,,,,,0,9,0,8
Adam Tennant,,,,,,,,,,,,,,,,,,0,0,8
Write-In,,,,,,,,,,,,,,,,,,,0,8
Total,73,16,1,1,65,63,59,58,56,53,24,22,20,19,16,14,14,13,0,8
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,9
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Mona Getzes Cohen,Theodore Kirsch,Amy Roat,Lisa Powley,Adam Tennant,Alvaro Quinones,Ronald Raju Joseph,Vayda Good,Lorraine Haw,Kempis Ghani Songster,Write-In,9
Joseph R Biden,18,0,0,0,78,70,68,69,61,63,20,16,15,15,13,11,14,9,0,9
Bernie Sanders,,0,0,0,5,5,3,2,7,3,25,23,22,21,23,24,18,22,0,9
Tulsi Gabbard,,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Pamela Robinson,,,,,0,69,69,69,61,64,20,15,13,9,10,9,12,7,0,9
Michele Lockman,,,,,,0,64,66,56,62,20,14,14,11,10,9,11,5,0,9
Anthony Bellmon,,,,,,,0,66,56,64,15,11,10,8,8,7,10,5,0,9
Patrick Parkinson,,,,,,,,0,54,63,17,12,11,7,7,5,10,3,0,9
Mona Getzes Cohen,,,,,,,,,0,52,14,11,12,8,8,12,10,7,0,9
Theodore Kirsch,,,,,,,,,,0,15,10,9,4,6,5,9,4,0,9
Amy Roat,,,,,,,,,,,0,34,30,25,28,27,23,22,0,9
Lisa Powley,,,,,,,,,,,,0,25,25,26,25,21,23,0,9
Adam Tennant,,,,,,,,,,,,,0,28,26,26,24,22,0,9
Alvaro Quinones,,,,,,,,,,,,,,0,26,26,23,23,0,9
Ronald Raju Joseph,,,,,,,,,,,,,,,0,27,22,26,0,9
Vayda Good,,,,,,,,,,,,,,,,0,21,25,0,9
Lorraine Haw,,,,,,,,,,,,,,,,,0,21,0,9
Kempis Ghani Songster,,,,,,,,,,,,,,,,,,0,0,9
Write-In,,,,,,,,,,,,,,,,,,,0,9
Total,113,29,1,0,85,77,73,72,70,68,46,39,37,36,36,35,33,31,0,9
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,10
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Pamela Robinson,Theodore Kirsch,Michele Lockman,Mona Getzes Cohen,Anthony Bellmon,Patrick Parkinson,Amy Roat,Lisa Powley,Adam Tennant,Lorraine Haw,Vayda Good,Alvaro Quinones,Ronald Raju Joseph,Kempis Ghani Songster,Write-In,10
Joseph R Biden,8,0,0,0,46,40,38,40,37,36,15,8,9,7,8,7,6,4,0,10
