col_1,col_2,division
,Representative In The General Assembly 173rd District - Republican,All
,Write-In,All
Write-In,14,All
Total,14,All
,Representative In The General Assembly 173rd District - Republican,1
,Write-In,1
Write-In,1,1
Total,1,1
,Representative In The General Assembly 173rd District - Republican,2
,Write-In,2
Write-In,0,2
Total,0,2
,Representative In The General Assembly 173rd District - Republican,3
,Write-In,3
Write-In,0,3
Total,0,3
,Representative In The General Assembly 173rd District - Republican,4
,Write-In,4
Write-In,3,4
Total,3,4
,Representative In The General Assembly 173rd District - Republican,5
,Write-In,5
Write-In,0,5
Total,0,5
,Representative In The General Assembly 173rd District - Republican,6
,Write-In,6
Write-In,0,6
Total,0,6
,Representative In The General Assembly 173rd District - Republican,7
,Write-In,7
Write-In,1,7
Total,1,7
,Representative In The General Assembly 173rd District - Republican,8
,Write-In,8
Write-In,0,8
Total,0,8
,Representative In The General Assembly 173rd District - Republican,9
,Write-In,9
Write-In,2,9
Total,2,9
,Representative In The General Assembly 173rd District - Republican,10
,Write-In,10
Write-In,1,10
Total,1,10
,Representative In The General Assembly 173rd District - Republican,11
,Write-In,11
Write-In,1,11
Total,1,11
,Representative In The General Assembly 173rd District - Republican,12
,Write-In,12
Write-In,0,12
Total,0,12
,Representative In The General Assembly 173rd District - Republican,13
,Write-In,13
Write-In,0,13
Total,0,13
,Representative In The General Assembly 173rd District - Republican,14
,Write-In,14
Write-In,0,14
Total,0,14
,Representative In The General Assembly 173rd District - Republican,15
,Write-In,15
Write-In,1,15
Total,1,15
,Representative In The General Assembly 173rd District - Republican,16
,Write-In,16
Write-In,0,16
Total,0,16
,Representative In The General Assembly 173rd District - Republican,17
,Write-In,17
Write-In,1,17
Total,1,17
,Representative In The General Assembly 173rd District - Republican,18
,Write-In,18
Write-In,0,18
Total,0,18
,Representative In The General Assembly 173rd District - Republican,19
,Write-In,19
Write-In,0,19
Total,0,19
,Representative In The General Assembly 173rd District - Republican,20
,Write-In,20
Write-In,1,20
Total,1,20
,Representative In The General Assembly 173rd District - Republican,21
,Write-In,21
Write-In,0,21
Total,0,21
,Representative In The General Assembly 173rd District - Republican,22
,Write-In,22
Write-In,1,22
Total,1,22
,Representative In The General Assembly 173rd District - Republican,23
,Write-In,23
Write-In,1,23
Total,1,23
