col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,All
,Nina Tinari,Anuj Gupta,Cindy Bass,Lindy Li,Malcolm Kenyatta,Charlene Cooper,Wynnetta Ward,Terry Gillen,Ken Washington,Matthew Miller,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Anlin Wang,Arielle Cohen,Joanne Beer,Daisy Confoy,Christina Borst,Carla Le'Coin,Sergio Cea,Steve Paul,Jack Cahill,Paul Prescod,Bryan Mercer,Daniel Laufer,Write-In,Brian Sims,Marisa Shaaban,Write-In,All
Nina Tinari,24,"11,157","11,208","11,046","10,743","11,065","10,920","10,830","10,567","10,395","10,407","1,936","1,723","1,495","1,415","1,405","1,280","1,119","1,076",794,611,522,493,496,393,200,"6,883","4,631",3,All
Anuj Gupta,,7,"10,975","10,938","10,757","10,902","10,744","10,811","10,541","10,357","10,323","1,790","1,588","1,490","1,343","1,297","1,188","1,029",988,818,614,480,520,496,381,207,"6,823","4,456",3,All
Cindy Bass,,,3,"10,795","10,601","10,962","10,776","10,754","10,437","10,285","10,296","1,815","1,627","1,355","1,375","1,300","1,175","1,007",965,688,577,494,484,446,352,199,"6,738","4,453",3,All
Lindy Li,,,,4,"10,674","10,795","10,891","10,631","10,405","10,376","10,104","1,706","1,558","1,387","1,413","1,243","1,151","1,099","1,033",794,508,490,403,482,369,190,"6,645","4,451",3,All
Malcolm Kenyatta,,,,,4,"10,521","10,607","10,535","10,503","10,363","10,070","1,561","1,362","1,214","1,197","1,068",969,951,911,773,511,539,454,549,391,213,"6,676","4,300",2,All
Charlene Cooper,,,,,,0,"10,756","10,744","10,459","10,358","10,241","1,662","1,447","1,215","1,208","1,174","1,073",928,883,610,500,417,433,427,271,202,"6,582","4,318",3,All
Wynnetta Ward,,,,,,,2,"10,569","10,433","10,275","10,005","1,657","1,495","1,296","1,327","1,207","1,109","1,047","1,016",718,487,488,378,462,374,202,"6,521","4,370",3,All
Terry Gillen,,,,,,,,3,"10,497","10,409","10,214","1,506","1,286","1,108","1,067","1,016",896,808,763,608,533,485,430,444,363,203,"6,594","4,245",2,All
Ken Washington,,,,,,,,,7,"10,353","10,080","1,242","1,035",956,873,802,661,674,617,558,411,425,355,445,289,196,"6,436","4,024",2,All
Matthew Miller,,,,,,,,,,3,"9,994","1,132",912,786,813,691,555,581,520,502,305,404,291,405,272,200,"6,324","3,886",2,All
Owen Voutsinas-Klose,,,,,,,,,,,6,"1,207","1,110",992,856,804,683,586,583,518,449,391,367,365,261,186,"6,257","3,880",2,All
Sherrie Cohen,,,,,,,,,,,,4,"5,014","4,714","4,708","4,638","4,603","4,328","4,269","3,987","4,094","3,775","3,889","3,689","3,718",32,"2,984","2,684",3,All
Heather Pope,,,,,,,,,,,,,7,"4,740","4,676","4,645","4,641","4,380","4,369","4,077","4,101","3,858","3,902","3,738","3,745",24,"2,879","2,685",3,All
Anlin Wang,,,,,,,,,,,,,,2,"4,438","4,423","4,460","4,185","4,193","4,102","4,065","3,765","3,881","3,694","3,706",31,"2,785","2,460",3,All
Arielle Cohen,,,,,,,,,,,,,,,3,"4,450","4,486","4,289","4,281","4,083","3,919","3,788","3,784","3,683","3,724",23,"2,723","2,467",3,All
Joanne Beer,,,,,,,,,,,,,,,,1,"4,599","4,237","4,173","3,968","3,923","3,700","3,909","3,645","3,652",23,"2,615","2,421",4,All
Daisy Confoy,,,,,,,,,,,,,,,,,2,"4,324","4,283","3,989","3,946","3,709","3,886","3,621","3,658",28,"2,563","2,400",3,All
Christina Borst,,,,,,,,,,,,,,,,,,0,"4,413","3,827","3,744","3,745","3,621","3,752","3,729",17,"2,446","2,327",3,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,2,"3,870","3,707","3,771","3,628","3,734","3,713",21,"2,427","2,301",3,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,0,"3,739","3,635","3,698","3,607","3,571",17,"2,345","2,003",4,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,1,"3,622","3,809","3,563","3,613",16,"2,278","1,908",3,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,1,"3,559","3,641","3,692",23,"2,189","1,845",3,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,1,"3,527","3,513",23,"2,180","1,798",4,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,0,"3,570",25,"2,181","1,782",3,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,0,14,"2,077","1,761",3,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,1,58,34,0,All
Brian Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,721,0,0,All
Marisa Shaaban,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"12,288","11,983","11,911","11,790","11,685","11,610","11,584","11,531","11,153","10,891","10,813","5,984","5,859","5,532","5,485","5,322","5,230","5,031","4,976","4,605","4,440","4,273","4,221","4,198","4,062",323,"10,285","7,457",8,All
