col_1,col_2,col_3,col_4,division
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,All
,Stacy L Garrity,Write-In,Write-In,All
Stacy L Garrity,130,0,2,All
Write-In,,0,0,All
Write-In,,,2,All
Total,132,0,4,All
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,1
,Stacy L Garrity,Write-In,Write-In,1
Stacy L Garrity,34,0,1,1
Write-In,,0,0,1
Write-In,,,0,1
Total,35,0,1,1
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,15
,Stacy L Garrity,Write-In,Write-In,15
Stacy L Garrity,8,0,0,15
Write-In,,0,0,15
Write-In,,,0,15
Total,8,0,0,15
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,16
,Stacy L Garrity,Write-In,Write-In,16
Stacy L Garrity,8,0,0,16
Write-In,,0,0,16
Write-In,,,0,16
Total,8,0,0,16
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,25
,Stacy L Garrity,Write-In,Write-In,25
Stacy L Garrity,5,0,0,25
Write-In,,0,0,25
Write-In,,,1,25
Total,5,0,1,25
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,26
,Stacy L Garrity,Write-In,Write-In,26
Stacy L Garrity,9,0,0,26
Write-In,,0,0,26
Write-In,,,0,26
Total,9,0,0,26
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,27
,Stacy L Garrity,Write-In,Write-In,27
Stacy L Garrity,22,0,0,27
Write-In,,0,0,27
Write-In,,,0,27
Total,22,0,0,27
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,28
,Stacy L Garrity,Write-In,Write-In,28
Stacy L Garrity,24,0,1,28
Write-In,,0,0,28
Write-In,,,0,28
Total,25,0,1,28
,State Treasurer - Republican,,Representative In The General Assembly 175th District - Republican,29
,Stacy L Garrity,Write-In,Write-In,29
Stacy L Garrity,20,0,0,29
Write-In,,0,0,29
Write-In,,,1,29
Total,20,0,1,29
