col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Senator In The General Assembly 3rd District - Democrat,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharif Street,Write-In,Malcolm Kenyatta,Ken Washington,Nina Tinari,Terry Gillen,Charlene Cooper,Wynnetta Ward,Cindy Bass,Matthew Miller,Anuj Gupta,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Christina Borst,Daisy Confoy,Anlin Wang,Bryan Mercer,Arielle Cohen,Steve Paul,Carla Le'Coin,Paul Prescod,Jack Cahill,Daniel Laufer,Sergio Cea,Write-In,All
Sharif Street,109,0,"1,311","1,253","1,237","1,207","1,201","1,177","1,177","1,112","1,131","1,062","1,018",430,372,365,328,324,298,297,283,278,279,273,252,237,234,4,All
Write-In,,0,2,3,3,2,3,4,4,1,2,3,1,4,3,3,2,2,4,2,2,2,2,2,2,3,2,0,All
Malcolm Kenyatta,,,11,"1,334","1,235","1,214","1,216","1,275","1,174","1,231","1,142","1,169","1,023",253,180,184,238,152,120,203,189,111,200,107,160,145,154,3,All
Ken Washington,,,,12,"1,257","1,236","1,217","1,271","1,165","1,240","1,170","1,164","1,053",240,165,183,218,158,136,200,172,124,184,121,159,144,155,2,All
Nina Tinari,,,,,11,"1,273","1,263","1,170","1,209","1,138","1,202","1,078","1,119",311,238,250,176,211,188,142,109,181,136,168,109,88,101,1,All
Terry Gillen,,,,,,3,"1,289","1,165","1,195","1,149","1,212","1,081","1,088",285,221,253,173,210,179,146,124,167,126,184,111,94,92,2,All
Charlene Cooper,,,,,,,1,"1,162","1,208","1,138","1,211","1,074","1,095",287,224,247,164,211,184,134,119,168,133,184,99,70,98,2,All
Wynnetta Ward,,,,,,,,0,"1,121","1,183","1,099","1,122",966,219,163,165,221,136,121,177,178,106,179,100,161,144,148,3,All
Cindy Bass,,,,,,,,,3,"1,063","1,145",995,"1,079",288,251,247,144,211,209,128,138,179,113,182,115,88,96,2,All
Matthew Miller,,,,,,,,,,0,"1,086","1,112",967,185,132,149,206,113,91,184,144,69,166,91,140,126,141,3,All
Anuj Gupta,,,,,,,,,,,1,"1,039","1,072",264,200,228,149,196,177,123,94,158,108,170,68,75,90,2,All
Lindy Li,,,,,,,,,,,,0,954,174,133,121,183,98,98,159,151,82,166,72,127,131,131,2,All
Owen Voutsinas-Klose,,,,,,,,,,,,,2,228,209,189,90,162,187,86,97,161,72,154,74,65,75,1,All
Sherrie Cohen,,,,,,,,,,,,,,1,313,295,204,269,272,191,196,274,174,244,160,156,132,1,All
Heather Pope,,,,,,,,,,,,,,,8,260,161,234,262,157,187,248,149,223,149,143,138,8,All
Joanne Beer,,,,,,,,,,,,,,,,1,171,282,243,173,166,236,132,258,146,147,135,1,All
Christina Borst,,,,,,,,,,,,,,,,,0,170,141,237,184,133,230,117,197,194,171,1,All
Daisy Confoy,,,,,,,,,,,,,,,,,,0,227,128,151,225,153,238,132,136,127,1,All
Anlin Wang,,,,,,,,,,,,,,,,,,,0,140,158,240,126,218,141,139,140,0,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,0,181,135,216,147,192,199,178,1,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,,1,159,183,138,179,177,194,1,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,1,124,210,132,130,121,0,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,0,128,191,182,173,2,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,0,125,125,120,0,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,0,201,164,0,All
