col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,,All
,Kevin J Boyle,Write-In,Joe Torsella,Write-In,All
Kevin J Boyle,81,0,403,0,All
Write-In,,2,0,1,All
Joe Torsella,,,15,0,All
Write-In,,,,2,All
Total,484,3,418,3,All
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,,9
,Kevin J Boyle,Write-In,Joe Torsella,Write-In,9
Kevin J Boyle,15,0,49,0,9
Write-In,,1,0,0,9
Joe Torsella,,,2,0,9
Write-In,,,,0,9
Total,64,1,51,0,9
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,,10
,Kevin J Boyle,Write-In,Joe Torsella,Write-In,10
Kevin J Boyle,9,0,71,0,10
Write-In,,0,0,0,10
Joe Torsella,,,0,0,10
Write-In,,,,0,10
Total,80,0,71,0,10
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,,13
,Kevin J Boyle,Write-In,Joe Torsella,Write-In,13
Kevin J Boyle,7,0,52,0,13
Write-In,,0,0,0,13
Joe Torsella,,,2,0,13
Write-In,,,,0,13
Total,59,0,54,0,13
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,,14
,Kevin J Boyle,Write-In,Joe Torsella,Write-In,14
Kevin J Boyle,12,0,61,0,14
Write-In,,0,0,1,14
Joe Torsella,,,1,0,14
Write-In,,,,1,14
Total,73,1,62,2,14
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,,15
,Kevin J Boyle,Write-In,Joe Torsella,Write-In,15
Kevin J Boyle,10,0,58,0,15
Write-In,,0,0,0,15
Joe Torsella,,,0,0,15
Write-In,,,,0,15
Total,68,0,58,0,15
,State Treasurer - Democrat,,Representative In The General Assembly 172nd District - Democrat,,16
,Joe Torsella,Write-In,Kevin J Boyle,Write-In,16
Joe Torsella,10,0,73,0,16
Write-In,,1,0,0,16
Kevin J Boyle,,,7,0,16
Write-In,,,,1,16
Total,83,1,80,1,16
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,,17
,Kevin J Boyle,Write-In,Joe Torsella,Write-In,17
Kevin J Boyle,21,0,39,0,17
Write-In,,0,0,0,17
Joe Torsella,,,0,0,17
Write-In,,,,0,17
Total,60,0,39,0,17
