col_1,col_2,col_3,col_4,col_5,col_6,division
,Judge Of The Superior Court,,,,,All
,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Amanda Green-Hawkins,Write-In,All
Daniel D Mccaffery,345,191,65,"1,513",0,All
Megan Mccarthy King,,119,"1,637",15,0,All
Christylee Peck,,,45,20,0,All
Amanda Green-Hawkins,,,,85,0,All
Write-In,,,,,1,All
Total,"2,114","1,962","1,767","1,633",1,All
,Judge Of The Superior Court,,,,,1
,Megan Mccarthy King,Christylee Peck,Daniel D Mccaffery,Amanda Green-Hawkins,Write-In,1
Megan Mccarthy King,10,76,7,0,0,1
Christylee Peck,,3,0,1,0,1
Daniel D Mccaffery,,,12,29,0,1
Amanda Green-Hawkins,,,,2,0,1
Write-In,,,,,0,1
Total,93,80,48,32,0,1
,Judge Of The Superior Court,,,,,2
,Megan Mccarthy King,Christylee Peck,Daniel D Mccaffery,Amanda Green-Hawkins,Write-In,2
Megan Mccarthy King,11,143,7,2,0,2
Christylee Peck,,2,3,0,0,2
Daniel D Mccaffery,,,20,51,0,2
Amanda Green-Hawkins,,,,5,0,2
Write-In,,,,,1,2
Total,163,148,81,58,1,2
,Judge Of The Superior Court,,,,,3
,Megan Mccarthy King,Christylee Peck,Daniel D Mccaffery,Amanda Green-Hawkins,Write-In,3
Megan Mccarthy King,6,108,9,0,0,3
Christylee Peck,,3,7,0,0,3
Daniel D Mccaffery,,,10,43,0,3
Amanda Green-Hawkins,,,,2,0,3
Write-In,,,,,0,3
Total,123,118,69,45,0,3
,Judge Of The Superior Court,,,,,4
,Megan Mccarthy King,Christylee Peck,Daniel D Mccaffery,Amanda Green-Hawkins,Write-In,4
Megan Mccarthy King,6,83,7,1,0,4
Christylee Peck,,0,2,0,0,4
Daniel D Mccaffery,,,13,40,0,4
Amanda Green-Hawkins,,,,1,0,4
Write-In,,,,,0,4
Total,97,85,62,42,0,4
,Judge Of The Superior Court,,,,,5
