col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,,,,,All
,Tracey Gordon,Write-In,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Helen Gym,Kendra Brooks,Nicolas O'Rourke,Dan Tinney,David Oh,Al Taubenberger,Maj Toure,Matt Wolfe,Bill Heeney,Sherrie Cohen,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Tracey Gordon,15,0,"5,231","5,037","4,841","4,778","4,352",550,351,283,196,53,61,28,22,54,38,30,9,10,All
Write-In,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,All
Isaiah Thomas,,,93,"5,006","4,804","4,700","4,292",446,279,242,155,37,50,20,12,39,28,23,7,6,All
Derek S Green,,,,17,"4,772","4,673","4,232",365,220,214,119,32,34,15,8,27,19,13,2,5,All
Katherine Gilmore Richardson,,,,,4,"4,547","4,119",262,154,186,69,24,25,14,8,20,10,8,1,5,All
Allan Domb,,,,,,19,"4,124",207,100,196,98,16,21,10,8,19,9,5,3,2,All
Helen Gym,,,,,,,4,218,147,26,93,26,10,11,6,25,10,6,1,1,All
Kendra Brooks,,,,,,,,7,402,25,68,9,29,3,4,26,23,15,6,0,All
Nicolas O'Rourke,,,,,,,,,0,14,39,4,18,1,4,17,12,5,2,1,All
Dan Tinney,,,,,,,,,,14,65,46,7,47,43,5,3,2,1,1,All
David Oh,,,,,,,,,,,6,68,11,55,52,16,5,8,1,1,All
Al Taubenberger,,,,,,,,,,,,0,5,50,47,2,0,0,0,0,All
Maj Toure,,,,,,,,,,,,,4,7,6,13,8,7,2,0,All
Matt Wolfe,,,,,,,,,,,,,,0,50,1,1,1,1,0,All
Bill Heeney,,,,,,,,,,,,,,,1,4,1,0,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,11,3,5,0,All
Joe Cox,,,,,,,,,,,,,,,,,1,20,6,0,All
Clarc King,,,,,,,,,,,,,,,,,,0,4,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,0,All
Total,"5,640",1,"5,515","5,182","4,931","4,887","4,436",657,429,377,273,99,82,80,71,66,50,37,13,11,All
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,,,,,1
,Tracey Gordon,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Dan Tinney,Clarc King,Maj Toure,Joe Cox,Matt Wolfe,Al Taubenberger,Bill Heeney,Sherrie Cohen,Steve Cherniavsky,Write-In,1
Tracey Gordon,0,0,184,175,167,169,167,20,13,10,6,2,2,1,1,0,0,1,0,0,1
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Isaiah Thomas,,,2,170,165,167,160,12,8,11,3,1,3,0,1,0,0,1,0,0,1
Derek S Green,,,,0,156,163,163,10,6,6,1,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,,,0,153,149,15,10,6,2,1,1,1,0,0,0,1,0,0,1
Katherine Gilmore Richardson,,,,,,0,156,7,3,6,2,1,0,1,0,0,0,1,0,0,1
