col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Allan Domb,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Al Taubenberger,David Oh,Bill Heeney,Dan Tinney,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Daniel D Mccaffery,14,"1,871",82,30,0,"1,764","1,726","1,751","1,715","1,709",196,209,98,81,74,178,126,80,32,29,25,15,2,All
Amanda Green-Hawkins,,12,23,14,0,"1,755","1,726","1,773","1,729","1,734",107,151,39,44,32,170,115,66,26,30,17,16,1,All
Megan Mccarthy King,,,3,526,0,65,83,37,58,39,558,484,474,454,469,20,15,43,22,17,20,14,1,All
Christylee Peck,,,,2,0,40,58,26,34,29,484,425,432,415,429,18,13,31,16,12,11,10,1,All
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Helen Gym,,,,,,2,"1,751","1,766","1,730","1,718",95,108,28,27,24,122,77,45,20,13,16,9,0,All
Allan Domb,,,,,,,1,"1,720","1,715","1,709",121,130,43,54,30,54,26,50,9,14,13,5,1,All
Isaiah Thomas,,,,,,,,2,"1,742","1,769",52,78,19,19,7,121,82,32,13,14,5,9,0,All
Katherine Gilmore Richardson,,,,,,,,,0,"1,717",71,62,25,31,30,89,58,38,5,12,10,4,0,All
Derek S Green,,,,,,,,,,1,68,86,8,20,17,83,50,28,13,19,5,7,0,All
Al Taubenberger,,,,,,,,,,,21,568,505,485,486,10,13,44,21,13,12,8,5,All
David Oh,,,,,,,,,,,,6,473,457,462,32,19,49,14,12,8,6,2,All
Bill Heeney,,,,,,,,,,,,,5,468,476,5,9,19,14,9,8,7,0,All
Dan Tinney,,,,,,,,,,,,,,2,456,11,4,11,8,5,9,7,3,All
Matt Wolfe,,,,,,,,,,,,,,,1,6,6,23,13,11,8,8,1,All
Kendra Brooks,,,,,,,,,,,,,,,,0,135,30,19,15,15,10,0,All
Nicolas O'Rourke,,,,,,,,,,,,,,,,,0,11,12,7,13,8,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,5,11,12,12,6,2,All
Joe Cox,,,,,,,,,,,,,,,,,,,0,8,9,18,0,All
Maj Toure,,,,,,,,,,,,,,,,,,,,3,3,5,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,0,6,1,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,141","2,064",686,585,2,"1,950","1,934","1,924","1,882","1,871",802,728,587,553,553,229,156,141,57,55,40,33,6,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Helen Gym,Allan Domb,Kendra Brooks,David Oh,Nicolas O'Rourke,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Steve Cherniavsky,Maj Toure,Sherrie Cohen,Clarc King,Joe Cox,Write-In,1
Amanda Green-Hawkins,1,87,1,0,0,86,79,79,79,73,17,6,12,1,3,1,1,2,1,1,0,0,0,1
Daniel D Mccaffery,,0,2,1,0,83,78,76,77,72,18,6,13,2,3,1,1,2,1,1,0,0,0,1
Megan Mccarthy King,,,0,5,0,1,3,1,1,0,0,8,0,6,4,5,4,0,0,0,0,0,0,1
Christylee Peck,,,,0,0,0,1,0,0,0,0,6,0,6,5,6,5,0,0,0,0,0,0,1
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Isaiah Thomas,,,,,,0,84,85,82,79,14,8,8,1,2,1,1,1,1,1,0,0,0,1
Katherine Gilmore Richardson,,,,,,,0,82,76,73,8,7,5,1,1,2,0,1,1,1,0,0,0,1
Derek S Green,,,,,,,,0,75,76,8,6,3,0,1,1,0,2,1,0,0,0,0,1
Helen Gym,,,,,,,,,0,72,10,6,7,1,0,1,0,1,0,1,0,0,0,1
Allan Domb,,,,,,,,,,0,4,4,2,1,0,1,0,1,1,0,0,0,0,1
Kendra Brooks,,,,,,,,,,,0,1,14,0,1,1,0,1,0,0,0,0,0,1
David Oh,,,,,,,,,,,,0,0,8,5,6,5,0,0,1,0,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,,,,0,5,6,5,0,0,0,0,0,0,1
Dan Tinney,,,,,,,,,,,,,,,0,5,6,0,0,0,0,0,0,1
Matt Wolfe,,,,,,,,,,,,,,,,0,5,1,0,0,0,0,0,1
Bill Heeney,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Joe Cox,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,96,95,8,7,0,95,87,86,85,80,20,16,14,8,8,8,6,2,1,1,0,0,0,1
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Daniel D Mccaffery,Amanda Green-Hawkins,Megan Mccarthy King,Christylee Peck,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Derek S Green,Bill Heeney,Al Taubenberger,David Oh,Kendra Brooks,Dan Tinney,Matt Wolfe,Maj Toure,Nicolas O'Rourke,Joe Cox,Sherrie Cohen,Clarc King,Steve Cherniavsky,Write-In,2
Daniel D Mccaffery,1,103,1,1,0,100,102,99,100,97,8,6,5,9,3,2,4,3,3,2,1,2,0,2
Amanda Green-Hawkins,,0,1,0,0,104,103,101,102,100,2,2,3,8,1,1,4,2,3,2,2,0,0,2
Megan Mccarthy King,,,0,9,0,2,1,1,0,0,9,9,9,1,8,7,1,0,0,1,1,1,0,2
Christylee Peck,,,,0,0,1,2,2,1,1,8,7,6,1,6,6,0,1,0,1,0,0,0,2
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,,,,0,105,105,105,103,2,2,2,8,1,0,3,2,2,1,2,1,0,2
Isaiah Thomas,,,,,,,0,106,107,106,2,1,2,8,1,0,2,3,1,0,0,0,0,2
Katherine Gilmore Richardson,,,,,,,,0,104,104,3,2,1,6,1,0,0,2,0,1,0,1,0,2
Allan Domb,,,,,,,,,0,103,1,2,2,6,0,0,1,1,2,0,1,0,0,2
Derek S Green,,,,,,,,,,0,0,0,1,6,0,1,2,3,0,2,0,0,0,2
Bill Heeney,,,,,,,,,,,0,13,9,1,10,8,0,1,1,0,0,1,0,2
Al Taubenberger,,,,,,,,,,,,0,9,0,9,8,0,0,2,0,1,1,0,2
David Oh,,,,,,,,,,,,,0,3,9,9,2,0,0,1,1,1,0,2
Kendra Brooks,,,,,,,,,,,,,,0,0,0,3,5,0,1,1,1,0,2
Dan Tinney,,,,,,,,,,,,,,,0,8,0,0,0,0,0,1,0,2
Matt Wolfe,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,2
Maj Toure,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,2
Nicolas O'Rourke,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,2
Joe Cox,,,,,,,,,,,,,,,,,,,0,0,1,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Clarc King,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,117,112,13,11,0,115,115,111,110,108,16,14,14,13,10,10,5,5,3,3,2,2,0,2
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,Sherrie Cohen,Maj Toure,Clarc King,Joe Cox,Steve Cherniavsky,Write-In,3
Amanda Green-Hawkins,0,98,1,1,0,94,91,91,87,86,18,14,5,2,1,2,1,3,2,2,1,1,0,3
Daniel D Mccaffery,,0,1,1,0,92,94,88,88,85,12,11,5,3,2,1,2,2,2,1,1,1,0,3
Megan Mccarthy King,,,0,8,0,2,2,1,2,4,1,0,6,8,6,7,6,0,0,1,1,0,0,3
Christylee Peck,,,,0,0,1,2,3,1,2,1,1,5,6,6,6,6,1,0,0,1,0,0,3
Write-In,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Isaiah Thomas,,,,,,0,93,90,94,86,13,10,2,1,0,2,1,2,0,1,0,0,0,3
Helen Gym,,,,,,,0,89,91,88,10,9,3,2,0,1,1,2,0,0,0,1,0,3
Katherine Gilmore Richardson,,,,,,,,0,87,85,9,9,1,0,1,1,1,3,1,0,0,1,0,3
Derek S Green,,,,,,,,,0,85,7,7,3,2,0,0,1,1,0,0,0,0,0,3
Allan Domb,,,,,,,,,,0,4,3,2,2,1,2,1,1,1,1,0,0,0,3
Kendra Brooks,,,,,,,,,,,0,14,1,0,0,2,0,2,0,1,0,1,0,3
Nicolas O'Rourke,,,,,,,,,,,,0,1,0,0,1,0,2,1,0,0,1,0,3
David Oh,,,,,,,,,,,,,1,7,7,6,7,0,0,1,2,0,0,3
Al Taubenberger,,,,,,,,,,,,,,0,6,5,5,0,0,0,0,0,0,3
