col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Sheriff,,Judge Of The Court Of Common Pleas,,,,,,,,All
,Rochelle Bilal,Write-In,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,James C Crumlish,Carmella Jacquinto,Joshua Roberts,Crystal B Powell,Write-In,All
Rochelle Bilal,"8,823",0,"213,415","208,219","206,483","203,165","203,824","201,631","197,633",274,All
Write-In,,160,188,168,181,180,163,160,137,362,All
Tiffany Palmer,,,"1,575","211,451","210,841","206,918","207,098","204,586","200,383",186,All
Jennifer Schultz,,,,996,"207,440","203,752","205,332","204,014","198,052",155,All
Anthony Kyriakakis,,,,,717,"206,637","203,031","203,064","194,907",152,All
James C Crumlish,,,,,,"1,030","202,966","203,223","194,884",153,All
Carmella Jacquinto,,,,,,,744,"202,880","197,832",133,All
Joshua Roberts,,,,,,,,492,"195,658",139,All
Crystal B Powell,,,,,,,,,609,119,All
Write-In,,,,,,,,,,42,All
Total,"233,008",482,"225,880","218,930","217,072","213,476","213,042","210,244","206,003",779,All
