col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Daniel Orsino,Write-In,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Bill Heeney,Al Taubenberger,Matt Wolfe,Dan Tinney,Maj Toure,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,All
Mark F Squilla,2,0,0,149,125,122,116,91,85,64,18,10,10,7,7,15,17,17,4,1,0,All
Daniel Orsino,,1,0,12,7,7,4,6,7,2,43,40,37,41,35,3,3,2,4,0,0,All
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Helen Gym,,,,0,124,116,109,89,86,63,7,2,1,3,1,10,19,16,6,1,0,All
Katherine Gilmore Richardson,,,,,0,107,100,74,56,39,5,3,0,2,1,6,13,4,3,1,0,All
Derek S Green,,,,,,0,96,77,47,30,6,2,3,2,2,10,10,6,1,1,0,All
Isaiah Thomas,,,,,,,0,75,43,36,4,2,2,0,1,8,7,2,0,0,0,All
Allan Domb,,,,,,,,1,24,12,8,3,5,3,1,7,2,4,2,0,0,All
Kendra Brooks,,,,,,,,,0,72,9,1,1,1,2,5,12,13,5,0,0,All
Nicolas O'Rourke,,,,,,,,,,0,5,1,0,0,0,3,7,9,2,0,0,All
David Oh,,,,,,,,,,,0,50,48,45,41,4,1,2,3,0,0,All
Bill Heeney,,,,,,,,,,,,6,45,44,40,4,0,1,2,0,0,All
Al Taubenberger,,,,,,,,,,,,,1,42,42,4,0,1,2,0,0,All
Matt Wolfe,,,,,,,,,,,,,,0,41,4,0,0,2,0,0,All
Dan Tinney,,,,,,,,,,,,,,,0,2,0,0,1,0,0,All
Maj Toure,,,,,,,,,,,,,,,,1,1,6,1,1,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,0,4,1,0,0,All
Joe Cox,,,,,,,,,,,,,,,,,,0,4,0,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,184,54,0,171,138,133,124,100,100,74,66,60,53,50,47,20,20,19,9,1,0,All
,District Council 1st District,,,Council At Large,,,,,,,,,,,,,,,,,,5
,Mark F Squilla,Daniel Orsino,Write-In,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Bill Heeney,Al Taubenberger,Matt Wolfe,Dan Tinney,Maj Toure,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,5
Mark F Squilla,2,0,0,149,125,122,116,91,85,64,18,10,10,7,7,15,17,17,4,1,0,5
Daniel Orsino,,1,0,12,7,7,4,6,7,2,43,40,37,41,35,3,3,2,4,0,0,5
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Helen Gym,,,,0,124,116,109,89,86,63,7,2,1,3,1,10,19,16,6,1,0,5
Katherine Gilmore Richardson,,,,,0,107,100,74,56,39,5,3,0,2,1,6,13,4,3,1,0,5
Derek S Green,,,,,,0,96,77,47,30,6,2,3,2,2,10,10,6,1,1,0,5
Isaiah Thomas,,,,,,,0,75,43,36,4,2,2,0,1,8,7,2,0,0,0,5
Allan Domb,,,,,,,,1,24,12,8,3,5,3,1,7,2,4,2,0,0,5
Kendra Brooks,,,,,,,,,0,72,9,1,1,1,2,5,12,13,5,0,0,5
Nicolas O'Rourke,,,,,,,,,,0,5,1,0,0,0,3,7,9,2,0,0,5
David Oh,,,,,,,,,,,0,50,48,45,41,4,1,2,3,0,0,5
Bill Heeney,,,,,,,,,,,,6,45,44,40,4,0,1,2,0,0,5
Al Taubenberger,,,,,,,,,,,,,1,42,42,4,0,1,2,0,0,5
Matt Wolfe,,,,,,,,,,,,,,0,41,4,0,0,2,0,0,5
Dan Tinney,,,,,,,,,,,,,,,0,2,0,0,1,0,0,5
Maj Toure,,,,,,,,,,,,,,,,1,1,6,1,1,0,5
Sherrie Cohen,,,,,,,,,,,,,,,,,0,4,1,0,0,5
Joe Cox,,,,,,,,,,,,,,,,,,0,4,0,0,5
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,0,5
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,5
Write-In,,,,,,,,,,,,,,,,,,,,,0,5
Total,184,54,0,171,138,133,124,100,100,74,66,60,53,50,47,20,20,19,9,1,0,5
