col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Judge Of The Court Of Common Pleas,,,,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,Carmella Jacquinto,James C Crumlish,Joshua Roberts,Crystal B Powell,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Joe Cox,Sherrie Cohen,Al Taubenberger,Dan Tinney,Matt Wolfe,Maj Toure,Bill Heeney,Steve Cherniavsky,Clarc King,Write-In,All
Tiffany Palmer,6,"2,040","2,023","2,001","2,001","1,981","1,926",2,"1,882","1,835","1,769","1,747","1,640",491,375,91,85,72,32,28,25,47,16,28,11,4,All
Jennifer Schultz,,1,"2,000","1,983","1,970","1,971","1,902",2,"1,851","1,805","1,742","1,730","1,618",465,362,85,81,68,28,24,22,45,14,26,11,3,All
Anthony Kyriakakis,,,0,"1,958","1,981","1,960","1,872",2,"1,828","1,781","1,735","1,709","1,615",456,348,80,80,65,32,26,19,41,12,29,11,2,All
Carmella Jacquinto,,,,0,"1,965","1,965","1,913",5,"1,813","1,780","1,737","1,711","1,610",440,334,81,76,63,25,19,18,46,11,27,13,3,All
James C Crumlish,,,,,0,"1,967","1,879",5,"1,808","1,771","1,734","1,698","1,614",439,329,77,81,63,29,25,21,43,13,29,11,2,All
Joshua Roberts,,,,,,1,"1,890",1,"1,791","1,770","1,721","1,695","1,603",414,312,79,78,63,24,22,22,43,14,27,12,2,All
Crystal B Powell,,,,,,,2,4,"1,744","1,734","1,680","1,665","1,570",382,297,73,66,54,22,16,18,39,12,19,13,4,All
Write-In,,,,,,,,0,2,0,1,1,1,3,2,0,2,1,0,0,0,0,0,1,0,0,All
Helen Gym,,,,,,,,,1,"1,781","1,716","1,702","1,633",394,310,61,74,55,19,15,10,30,3,10,6,5,All
Isaiah Thomas,,,,,,,,,,2,"1,726","1,708","1,603",317,249,57,43,28,13,11,4,22,7,6,7,4,All
Derek S Green,,,,,,,,,,,1,"1,666","1,590",268,194,43,36,36,14,9,9,18,3,11,5,0,All
Katherine Gilmore Richardson,,,,,,,,,,,,0,"1,561",260,199,31,26,25,9,13,5,14,2,6,7,3,All
Allan Domb,,,,,,,,,,,,,4,152,82,71,27,13,14,18,13,21,6,10,2,1,All
Kendra Brooks,,,,,,,,,,,,,,1,430,37,59,62,5,9,6,25,3,18,5,4,All
Nicolas O'Rourke,,,,,,,,,,,,,,,0,14,39,32,3,2,2,12,2,7,2,3,All
David Oh,,,,,,,,,,,,,,,,7,8,7,62,47,57,9,48,5,1,1,All
Joe Cox,,,,,,,,,,,,,,,,,0,28,1,4,2,14,1,20,10,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,3,1,5,11,1,16,4,1,All
Al Taubenberger,,,,,,,,,,,,,,,,,,,0,45,49,8,46,2,1,0,All
Dan Tinney,,,,,,,,,,,,,,,,,,,,1,46,6,47,2,0,0,All
Matt Wolfe,,,,,,,,,,,,,,,,,,,,,0,8,46,4,0,0,All
Maj Toure,,,,,,,,,,,,,,,,,,,,,,1,9,9,4,0,All
Bill Heeney,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,All
Clarc King,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,132","2,065","2,036","2,026","2,020","1,999","1,948",7,"2,010","1,953","1,875","1,837","1,744",577,442,166,102,85,78,73,70,60,59,34,14,6,All
,Judge Of The Court Of Common Pleas,,,,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Tiffany Palmer,James C Crumlish,Anthony Kyriakakis,Carmella Jacquinto,Jennifer Schultz,Joshua Roberts,Crystal B Powell,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Joe Cox,Matt Wolfe,Bill Heeney,Sherrie Cohen,Dan Tinney,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,1
Tiffany Palmer,0,125,126,124,124,121,116,0,114,104,102,91,86,45,31,11,3,11,3,2,6,2,4,3,1,0,1
James C Crumlish,,0,123,124,120,121,115,0,110,101,102,91,86,41,27,11,3,9,3,2,5,2,4,3,1,0,1
Anthony Kyriakakis,,,0,121,123,119,113,0,109,100,101,91,87,42,29,11,3,10,3,2,6,2,3,3,1,0,1
Carmella Jacquinto,,,,0,121,122,116,0,110,101,101,90,86,41,28,11,3,8,3,2,5,2,3,2,1,0,1
Jennifer Schultz,,,,,0,120,115,0,109,101,100,89,87,41,29,11,2,9,4,2,6,2,3,2,1,0,1
Joshua Roberts,,,,,,0,114,0,107,99,99,90,85,38,25,10,2,7,3,2,5,2,3,2,1,0,1
Crystal B Powell,,,,,,,0,0,102,95,93,86,83,35,24,8,2,8,3,2,4,2,2,2,1,0,1
Write-In,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,,,,,,,0,100,99,86,85,35,26,8,2,7,1,0,7,0,3,2,2,0,1
Isaiah Thomas,,,,,,,,,,0,97,88,82,27,21,5,0,3,1,0,3,0,2,0,2,0,1
Derek S Green,,,,,,,,,,,0,89,81,28,22,4,1,2,0,0,2,0,2,1,1,0,1
Katherine Gilmore Richardson,,,,,,,,,,,,0,79,17,13,3,0,1,1,0,0,0,0,0,1,0,1
Allan Domb,,,,,,,,,,,,,0,11,4,9,1,4,2,0,2,0,0,0,0,0,1
Kendra Brooks,,,,,,,,,,,,,,0,35,6,1,7,1,0,7,0,3,2,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,,,,0,2,1,4,0,0,4,0,0,1,0,0,1
David Oh,,,,,,,,,,,,,,,,1,12,3,12,9,3,8,1,1,0,0,1
Al Taubenberger,,,,,,,,,,,,,,,,,0,0,10,9,2,8,1,1,0,0,1
Joe Cox,,,,,,,,,,,,,,,,,,0,0,0,3,0,2,2,1,0,1
Matt Wolfe,,,,,,,,,,,,,,,,,,,0,9,1,8,1,1,0,0,1
Bill Heeney,,,,,,,,,,,,,,,,,,,,0,0,8,1,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1
Dan Tinney,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Maj Toure,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Clarc King,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,132,128,127,126,126,122,117,0,122,113,111,95,92,50,35,26,13,12,12,9,9,8,6,4,2,0,1
,Judge Of The Court Of Common Pleas,,,,,,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Carmella Jacquinto,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Joshua Roberts,Crystal B Powell,James C Crumlish,Write-In,Allan Domb,Derek S Green,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,David Oh,Joe Cox,Al Taubenberger,Bill Heeney,Clarc King,Dan Tinney,Maj Toure,Matt Wolfe,Sherrie Cohen,Steve Cherniavsky,Write-In,2
Carmella Jacquinto,0,46,46,46,46,44,45,0,44,44,43,43,42,5,3,1,1,0,0,0,0,0,0,0,0,0,2
Tiffany Palmer,,1,46,46,46,44,45,0,44,44,42,43,42,5,3,1,1,0,0,0,0,0,0,0,0,0,2
Anthony Kyriakakis,,,0,46,46,44,45,0,44,44,42,43,42,5,3,1,1,0,0,0,0,0,0,0,0,0,2
Jennifer Schultz,,,,0,46,44,45,0,44,44,42,43,42,5,3,1,1,0,0,0,0,0,0,0,0,0,2
Joshua Roberts,,,,,0,44,45,0,44,44,42,43,42,5,3,1,1,0,0,0,0,0,0,0,0,0,2
Crystal B Powell,,,,,,1,43,0,42,42,41,41,40,4,3,1,1,0,0,0,0,0,0,0,0,0,2
James C Crumlish,,,,,,,0,0,43,43,41,42,41,5,3,1,1,0,0,0,0,0,0,0,0,0,2
Write-In,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Allan Domb,,,,,,,,,0,44,42,43,43,3,1,1,1,0,0,0,0,0,0,0,0,0,2
Derek S Green,,,,,,,,,,0,43,44,43,3,1,0,1,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,,,,,,,,,0,42,41,2,1,0,1,0,0,0,0,0,0,0,0,0,2
Isaiah Thomas,,,,,,,,,,,,0,42,3,1,0,0,0,0,0,0,0,0,0,0,0,2
Katherine Gilmore Richardson,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Kendra Brooks,,,,,,,,,,,,,,0,3,1,0,0,0,0,0,0,0,0,0,0,2
Nicolas O'Rourke,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,2
David Oh,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2
Al Taubenberger,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2
Bill Heeney,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2
Clarc King,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2
Dan Tinney,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Maj Toure,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,47,47,46,46,46,45,45,0,45,45,44,44,43,5,3,1,1,0,0,0,0,0,0,0,0,0,2
,Judge Of The Court Of Common Pleas,,,,,,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Tiffany Palmer,Jennifer Schultz,Anthony Kyriakakis,Carmella Jacquinto,James C Crumlish,Joshua Roberts,Crystal B Powell,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Sherrie Cohen,David Oh,Dan Tinney,Maj Toure,Al Taubenberger,Steve Cherniavsky,Bill Heeney,Matt Wolfe,Clarc King,Write-In,3
Tiffany Palmer,1,199,197,197,196,194,178,1,180,163,150,146,131,85,70,16,14,8,6,10,8,5,2,3,1,0,3
Jennifer Schultz,,0,195,194,192,191,174,1,175,157,149,145,127,82,67,16,14,7,6,10,5,5,1,2,1,0,3
Anthony Kyriakakis,,,0,192,192,188,170,1,171,156,147,141,129,80,65,16,13,7,6,10,7,5,1,2,1,0,3
Carmella Jacquinto,,,,0,193,192,175,1,172,156,147,139,128,78,63,16,14,7,4,10,6,5,1,2,1,0,3
James C Crumlish,,,,,0,191,173,1,169,155,147,140,129,77,62,16,13,8,5,9,8,5,2,3,1,0,3
Joshua Roberts,,,,,,0,175,1,167,154,144,139,125,75,60,16,14,8,5,9,5,5,2,3,1,0,3
Crystal B Powell,,,,,,,0,0,156,148,136,135,116,62,53,14,13,6,3,8,5,4,1,2,1,0,3
Write-In,,,,,,,,0,1,0,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,3
Helen Gym,,,,,,,,,0,149,141,136,127,72,58,14,7,7,5,7,5,2,1,2,1,0,3
Isaiah Thomas,,,,,,,,,,0,134,130,112,49,43,7,5,5,1,5,3,0,0,0,0,0,3
Derek S Green,,,,,,,,,,,0,126,116,42,33,5,6,3,2,6,5,0,0,0,0,0,3
Katherine Gilmore Richardson,,,,,,,,,,,,0,112,43,35,2,5,2,3,2,1,0,0,0,0,0,3
Allan Domb,,,,,,,,,,,,,1,27,16,4,5,5,6,6,2,2,3,1,0,0,3
Kendra Brooks,,,,,,,,,,,,,,0,77,16,10,2,3,5,3,6,1,1,1,0,3
Nicolas O'Rourke,,,,,,,,,,,,,,,0,10,4,1,1,3,2,2,0,0,1,0,3
Joe Cox,,,,,,,,,,,,,,,,0,8,0,0,3,0,6,0,0,1,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,0,0,1,3,0,7,0,0,0,0,3
David Oh,,,,,,,,,,,,,,,,,,1,4,0,5,0,4,5,0,0,3
Dan Tinney,,,,,,,,,,,,,,,,,,,0,2,2,1,3,3,0,0,3
Maj Toure,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,0,3
Al Taubenberger,,,,,,,,,,,,,,,,,,,,,0,0,1,3,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Bill Heeney,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,3
Matt Wolfe,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,211,202,198,197,196,194,180,2,190,167,157,154,140,97,78,19,16,14,11,11,9,7,5,5,1,0,3
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,4
,Isaiah Thomas,Allan Domb,Derek S Green,Helen Gym,Katherine Gilmore Richardson,David Oh,Kendra Brooks,Dan Tinney,Al Taubenberger,Bill Heeney,Matt Wolfe,Nicolas O'Rourke,Clarc King,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Write-In,Tiffany Palmer,Crystal B Powell,Jennifer Schultz,Carmella Jacquinto,Anthony Kyriakakis,James C Crumlish,Joshua Roberts,Write-In,4
Isaiah Thomas,0,58,57,56,56,2,3,0,0,0,0,1,0,0,0,0,0,0,55,55,54,54,54,54,54,0,4
Allan Domb,,0,56,57,56,3,3,0,0,0,0,2,0,0,0,0,0,0,53,53,53,53,53,53,53,0,4
Derek S Green,,,0,55,55,1,1,0,0,0,0,0,0,0,0,0,0,0,55,54,53,53,53,53,53,0,4
Helen Gym,,,,0,57,1,1,0,0,0,0,2,0,0,0,0,0,0,54,54,54,54,53,53,53,0,4
Katherine Gilmore Richardson,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,54,54,54,53,53,53,0,4
David Oh,,,,,,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kendra Brooks,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,4
Dan Tinney,,,,,,,,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Al Taubenberger,,,,,,,,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bill Heeney,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Matt Wolfe,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Nicolas O'Rourke,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Clarc King,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Joe Cox,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Maj Toure,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4
Sherrie Cohen,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4
Tiffany Palmer,,,,,,,,,,,,,,,,,,,0,56,55,55,54,54,54,0,4
Crystal B Powell,,,,,,,,,,,,,,,,,,,,0,55,55,54,54,54,0,4
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,1,55,54,54,54,0,4
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,,,,0,54,54,54,0,4
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,0,54,54,0,4
