col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,All
,Al Taubenberger,Dan Tinney,David Oh,Bill Heeney,Matt Wolfe,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,David H Conroy,Write-In,All
Write-In,,,,,,,,,,,,,,,,,,0,0,0,3
David H Conroy,,,,,,,,,,,,,,,,,,,1,0,3
Write-In,,,,,,,,,,,,,,,,,,,,0,3
Total,175,153,152,152,150,91,88,84,80,77,24,16,6,5,5,2,1,0,134,1,3
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,4
,Al Taubenberger,David Oh,Dan Tinney,Bill Heeney,Allan Domb,Helen Gym,Matt Wolfe,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,David H Conroy,Write-In,4
Al Taubenberger,26,113,107,96,25,20,86,16,12,13,1,1,1,2,0,2,0,0,44,0,4
David Oh,,5,93,93,19,12,82,7,6,3,1,2,3,2,1,2,1,0,31,0,4
Dan Tinney,,,3,96,11,8,85,4,5,4,2,0,3,1,1,0,1,0,19,0,4
Bill Heeney,,,,1,12,6,87,4,3,1,0,2,3,1,2,1,2,0,17,0,4
Allan Domb,,,,,1,88,6,75,75,73,5,4,2,5,2,2,0,0,87,0,4
Helen Gym,,,,,,1,4,80,79,81,10,7,2,4,1,2,0,0,92,0,4
Matt Wolfe,,,,,,,0,2,0,2,1,1,2,0,1,0,1,0,12,0,4
Derek S Green,,,,,,,,0,78,77,5,3,1,4,0,0,0,0,84,0,4
Isaiah Thomas,,,,,,,,,0,77,7,6,2,2,1,0,1,0,84,0,4
Katherine Gilmore Richardson,,,,,,,,,,0,8,5,1,1,1,0,0,0,83,0,4
Kendra Brooks,,,,,,,,,,,0,10,3,3,0,0,0,0,12,0,4
Nicolas O'Rourke,,,,,,,,,,,,0,0,2,0,2,0,0,11,0,4
Maj Toure,,,,,,,,,,,,,1,1,0,0,2,0,4,0,4
Sherrie Cohen,,,,,,,,,,,,,,0,1,1,0,0,3,0,4
Joe Cox,,,,,,,,,,,,,,,0,0,0,0,1,0,4
Steve Cherniavsky,,,,,,,,,,,,,,,,0,0,0,3,0,4
Clarc King,,,,,,,,,,,,,,,,,0,0,1,0,4
Write-In,,,,,,,,,,,,,,,,,,0,0,0,4
David H Conroy,,,,,,,,,,,,,,,,,,,1,0,4
Write-In,,,,,,,,,,,,,,,,,,,,0,4
Total,176,130,125,112,107,104,98,94,90,88,16,13,8,8,3,3,2,0,135,0,4
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,5
,Al Taubenberger,Bill Heeney,David Oh,Dan Tinney,Matt Wolfe,Allan Domb,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Nicolas O'Rourke,Kendra Brooks,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,David H Conroy,Write-In,5
Al Taubenberger,6,91,84,80,81,19,14,2,5,3,3,1,1,2,0,2,0,0,32,0,5
Bill Heeney,,3,78,80,81,13,7,5,3,0,2,0,1,2,0,1,0,0,26,0,5
David Oh,,,0,74,74,22,14,4,2,7,0,0,2,3,1,1,0,0,25,0,5
Dan Tinney,,,,1,74,13,8,4,3,2,1,0,2,0,0,0,0,0,23,0,5
Matt Wolfe,,,,,0,9,6,0,1,2,2,0,2,1,1,1,1,0,21,0,5
Allan Domb,,,,,,0,69,59,56,57,4,3,2,1,0,1,1,0,76,0,5
Helen Gym,,,,,,,0,60,55,58,6,6,2,1,2,0,0,0,67,0,5
Isaiah Thomas,,,,,,,,0,53,55,4,5,0,0,1,0,0,0,60,0,5
Katherine Gilmore Richardson,,,,,,,,,0,51,0,0,0,0,0,0,0,0,59,0,5
Derek S Green,,,,,,,,,,0,1,2,1,0,2,0,1,0,56,0,5
Nicolas O'Rourke,,,,,,,,,,,0,6,0,0,0,1,0,0,6,0,5
Kendra Brooks,,,,,,,,,,,,0,0,0,1,0,0,0,5,0,5
Joe Cox,,,,,,,,,,,,,0,1,0,0,1,0,2,0,5
Maj Toure,,,,,,,,,,,,,,0,0,1,0,0,0,0,5
Sherrie Cohen,,,,,,,,,,,,,,,0,0,0,0,2,0,5
Steve Cherniavsky,,,,,,,,,,,,,,,,0,0,0,1,0,5
Clarc King,,,,,,,,,,,,,,,,,0,0,1,0,5
Write-In,,,,,,,,,,,,,,,,,,0,0,0,5
David H Conroy,,,,,,,,,,,,,,,,,,,1,0,5
Write-In,,,,,,,,,,,,,,,,,,,,0,5
Total,124,105,98,95,93,90,80,65,62,61,10,7,4,3,2,2,1,0,108,0,5
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,6
,David H Conroy,Write-In,Helen Gym,Allan Domb,Al Taubenberger,Bill Heeney,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Dan Tinney,David Oh,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Sherrie Cohen,Clarc King,Joe Cox,Steve Cherniavsky,Write-In,6
David H Conroy,0,0,80,75,19,17,77,72,70,12,20,8,12,10,1,1,1,1,1,0,6
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Helen Gym,,,1,75,8,8,73,72,66,4,8,4,14,11,1,1,1,1,0,0,6
Allan Domb,,,,0,9,15,65,65,65,10,12,6,7,5,2,0,0,0,0,0,6
Al Taubenberger,,,,,3,62,3,4,4,45,44,39,1,0,1,1,0,0,1,0,6
Bill Heeney,,,,,,1,3,2,4,44,43,45,0,0,2,0,0,0,1,0,6
Isaiah Thomas,,,,,,,0,69,65,0,1,0,11,9,0,1,1,1,0,0,6
Katherine Gilmore Richardson,,,,,,,,1,63,3,1,1,8,7,0,0,0,0,1,0,6
Derek S Green,,,,,,,,,1,4,4,6,3,1,1,1,0,0,1,0,6
Dan Tinney,,,,,,,,,,0,39,42,1,0,1,1,0,0,0,0,6
David Oh,,,,,,,,,,,2,38,1,0,2,0,0,0,0,0,6
Matt Wolfe,,,,,,,,,,,,2,0,0,1,0,0,0,0,0,6
Kendra Brooks,,,,,,,,,,,,,0,13,0,1,1,1,0,0,6
Nicolas O'Rourke,,,,,,,,,,,,,,1,0,0,0,0,0,0,6
Maj Toure,,,,,,,,,,,,,,,1,0,0,0,0,0,6
Sherrie Cohen,,,,,,,,,,,,,,,,0,0,0,0,0,6
Clarc King,,,,,,,,,,,,,,,,,0,1,0,0,6
Joe Cox,,,,,,,,,,,,,,,,,,0,0,0,6
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,6
Write-In,,,,,,,,,,,,,,,,,,,,0,6
Total,109,0,93,91,82,81,81,80,77,60,57,55,18,14,4,2,1,1,1,0,6
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,7
,David H Conroy,Write-In,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Al Taubenberger,Dan Tinney,David Oh,Bill Heeney,Matt Wolfe,Kendra Brooks,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Joe Cox,Nicolas O'Rourke,Clarc King,Write-In,7
David H Conroy,0,0,65,64,63,58,58,8,7,8,5,4,2,1,1,0,0,0,0,0,7
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Allan Domb,,,0,68,65,58,57,2,3,3,1,0,5,1,1,0,1,1,0,0,7
Helen Gym,,,,1,65,57,59,2,3,2,2,0,6,2,1,0,1,1,0,0,7
Katherine Gilmore Richardson,,,,,0,58,58,3,4,2,1,0,7,1,0,2,1,1,0,0,7
Derek S Green,,,,,,0,55,2,1,2,0,0,0,1,0,1,0,0,0,0,7
Isaiah Thomas,,,,,,,0,1,0,0,1,1,2,2,0,0,0,0,0,0,7
Al Taubenberger,,,,,,,,3,44,44,43,42,1,0,0,1,0,0,0,0,7
Dan Tinney,,,,,,,,,2,41,42,42,2,0,0,1,0,0,0,0,7
David Oh,,,,,,,,,,1,41,41,1,0,0,1,0,0,0,0,7
Bill Heeney,,,,,,,,,,,0,42,0,0,0,0,0,0,0,0,7
Matt Wolfe,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7
Kendra Brooks,,,,,,,,,,,,,0,1,0,1,1,1,0,0,7
Maj Toure,,,,,,,,,,,,,,1,0,0,0,0,0,0,7
Sherrie Cohen,,,,,,,,,,,,,,,1,0,0,0,0,0,7
Steve Cherniavsky,,,,,,,,,,,,,,,,0,0,0,0,0,7
Joe Cox,,,,,,,,,,,,,,,,,0,0,0,0,7
Nicolas O'Rourke,,,,,,,,,,,,,,,,,,0,0,0,7
Clarc King,,,,,,,,,,,,,,,,,,,0,0,7
Write-In,,,,,,,,,,,,,,,,,,,,0,7
