col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Council At Large,,,,,,,,,,,,,,,,,,District Council 8th District,,,All
,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Sherrie Cohen,Bill Heeney,Joe Cox,Maj Toure,Clarc King,Steve Cherniavsky,Write-In,Cindy Bass,Greg Paulmier,Write-In,All
Helen Gym,20,"24,780","24,690","23,796","23,364","6,195","4,777","1,227",314,253,140,815,94,395,223,126,112,32,"23,240","4,650",62,All
Isaiah Thomas,,71,"24,967","23,814","22,768","4,852","3,685",966,240,129,101,390,112,280,256,155,61,25,"23,950","3,264",41,All
Derek S Green,,,35,"23,647","22,910","4,616","3,413","1,035",309,148,146,472,69,233,220,126,68,24,"23,484","3,451",45,All
Katherine Gilmore Richardson,,,,25,"22,220","3,886","2,820",531,194,254,108,347,100,170,145,117,47,18,"22,604","2,943",37,All
Allan Domb,,,,,33,"2,630","1,617","1,105",359,338,189,268,145,128,147,58,75,12,"22,080","2,733",16,All
Kendra Brooks,,,,,,25,"7,325",759,153,208,87,844,55,451,297,182,151,17,"4,859","3,857",59,All
Nicolas O'Rourke,,,,,,,3,460,63,51,62,571,34,290,167,121,91,14,"3,692","3,055",51,All
David Oh,,,,,,,,125,"1,123",928,999,144,916,126,132,77,54,3,"1,117","1,114",6,All
Al Taubenberger,,,,,,,,,5,917,901,45,878,35,55,16,21,1,323,491,4,All
Dan Tinney,,,,,,,,,,8,887,30,866,25,48,17,15,0,255,429,4,All
Matt Wolfe,,,,,,,,,,,7,32,900,38,63,19,22,1,240,354,2,All
Sherrie Cohen,,,,,,,,,,,,10,10,155,90,49,79,8,435,673,16,All
Bill Heeney,,,,,,,,,,,,,4,33,42,22,13,3,215,279,1,All
Joe Cox,,,,,,,,,,,,,,2,89,205,86,4,248,442,6,All
Maj Toure,,,,,,,,,,,,,,,27,61,48,5,287,267,3,All
Clarc King,,,,,,,,,,,,,,,,1,33,2,121,253,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,1,1,74,179,0,All
Write-In,,,,,,,,,,,,,,,,,,4,22,14,2,All
Cindy Bass,,,,,,,,,,,,,,,,,,,220,0,0,All
Greg Paulmier,,,,,,,,,,,,,,,,,,,,77,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,"28,895","28,106","27,714","26,213","25,423","9,698","7,566","3,140","1,514","1,372","1,265","1,224","1,140",761,636,393,273,64,"27,676","6,465",82,All
