col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,District Council 6th District,,,Mayor,,,All
,Bobby Henon,Pete Smith,Write-In,Billy Ciancaglini,Jim Kenney,Write-In,All
Bobby Henon,76,0,0,596,"1,853",3,All
Pete Smith,,21,0,"1,445",73,5,All
Write-In,,,0,0,1,2,All
Billy Ciancaglini,,,,164,0,0,All
Jim Kenney,,,,,96,0,All
Write-In,,,,,,1,All
Total,"2,528","1,544",3,"2,205","2,023",11,All
,Mayor,,,District Council 6th District,,,1
,Billy Ciancaglini,Jim Kenney,Write-In,Pete Smith,Bobby Henon,Write-In,1
Billy Ciancaglini,21,0,0,152,52,0,1
Jim Kenney,,4,0,6,73,1,1
Write-In,,,0,1,0,0,1
Pete Smith,,,,1,0,0,1
Bobby Henon,,,,,7,0,1
Write-In,,,,,,0,1
Total,225,84,1,160,132,1,1
,Mayor,,,District Council 6th District,,,2
,Billy Ciancaglini,Jim Kenney,Write-In,Bobby Henon,Pete Smith,Write-In,2
Billy Ciancaglini,11,0,0,62,109,0,2
Jim Kenney,,5,0,93,3,0,2
Write-In,,,0,0,0,0,2
Bobby Henon,,,,4,0,0,2
Pete Smith,,,,,2,0,2
Write-In,,,,,,0,2
Total,182,101,0,159,114,0,2
,District Council 6th District,,,Mayor,,,3
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,3
Bobby Henon,1,0,0,65,16,0,3
Pete Smith,,1,0,1,42,1,3
Write-In,,,0,0,0,0,3
Jim Kenney,,,,5,0,0,3
Billy Ciancaglini,,,,,3,0,3
Write-In,,,,,,1,3
Total,82,45,0,71,61,2,3
,District Council 6th District,,,Mayor,,,4
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,4
Bobby Henon,6,0,0,171,31,0,4
Pete Smith,,3,0,9,102,0,4
Write-In,,,0,0,0,0,4
Jim Kenney,,,,7,0,0,4
Billy Ciancaglini,,,,,11,0,4
Write-In,,,,,,0,4
Total,208,114,0,187,144,0,4
,Mayor,,,District Council 6th District,,,5
,Billy Ciancaglini,Jim Kenney,Write-In,Bobby Henon,Pete Smith,Write-In,5
Billy Ciancaglini,5,0,0,12,36,0,5
Jim Kenney,,2,0,41,2,0,5
Write-In,,,0,0,0,0,5
Bobby Henon,,,,0,0,0,5
Pete Smith,,,,,1,0,5
Write-In,,,,,,0,5
Total,53,45,0,53,39,0,5
,District Council 6th District,,,Mayor,,,6
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,6
Bobby Henon,1,0,0,35,12,0,6
Pete Smith,,0,0,0,21,0,6
Write-In,,,0,0,0,0,6
Jim Kenney,,,,3,0,0,6
Billy Ciancaglini,,,,,2,0,6
Write-In,,,,,,0,6
Total,48,21,0,38,35,0,6
,Mayor,,,District Council 6th District,,,7
,Billy Ciancaglini,Jim Kenney,Write-In,Bobby Henon,Pete Smith,Write-In,7
Billy Ciancaglini,23,0,0,74,149,0,7
Jim Kenney,,6,0,122,5,0,7
Write-In,,,0,0,1,1,7
Bobby Henon,,,,11,0,0,7
Pete Smith,,,,,3,0,7
Write-In,,,,,,0,7
Total,246,133,2,207,158,1,7
,District Council 6th District,,,Mayor,,,8
,Bobby Henon,Pete Smith,Write-In,Billy Ciancaglini,Jim Kenney,Write-In,8
Bobby Henon,0,0,0,26,51,0,8
Pete Smith,,2,0,34,1,1,8
Write-In,,,0,0,0,0,8
Billy Ciancaglini,,,,3,0,0,8
Jim Kenney,,,,,3,0,8
Write-In,,,,,,0,8
Total,77,38,0,63,55,1,8
,Mayor,,,District Council 6th District,,,9
,Billy Ciancaglini,Jim Kenney,Write-In,Bobby Henon,Pete Smith,Write-In,9
Billy Ciancaglini,8,0,0,44,72,0,9
Jim Kenney,,3,0,59,4,0,9
Write-In,,,0,0,0,0,9
Bobby Henon,,,,2,0,0,9
Pete Smith,,,,,0,0,9
Write-In,,,,,,0,9
Total,124,66,0,105,76,0,9
,Mayor,,,District Council 6th District,,,10
,Billy Ciancaglini,Jim Kenney,Write-In,Pete Smith,Bobby Henon,Write-In,10
Billy Ciancaglini,16,0,0,128,39,0,10
Jim Kenney,,7,0,3,77,0,10
Write-In,,,0,0,0,0,10
Pete Smith,,,,0,0,0,10
Bobby Henon,,,,,4,0,10
Write-In,,,,,,0,10
Total,183,87,0,131,120,0,10
,District Council 6th District,,,Mayor,,,11
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,11
Bobby Henon,4,0,0,95,11,0,11
Pete Smith,,1,0,1,32,0,11
Write-In,,,0,0,0,0,11
Jim Kenney,,,,2,0,0,11
Billy Ciancaglini,,,,,5,0,11
Write-In,,,,,,0,11
Total,110,34,0,98,48,0,11
,District Council 6th District,,,Mayor,,,12
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,12
Bobby Henon,0,0,0,61,4,0,12
Pete Smith,,0,0,1,8,0,12
Write-In,,,0,0,0,0,12
Jim Kenney,,,,2,0,0,12
Billy Ciancaglini,,,,,0,0,12
Write-In,,,,,,0,12
Total,65,9,0,64,12,0,12
,District Council 6th District,,,Mayor,,,13
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,13
Bobby Henon,2,0,0,48,10,0,13
Pete Smith,,0,0,0,26,0,13
Write-In,,,0,0,0,0,13
Jim Kenney,,,,2,0,0,13
Billy Ciancaglini,,,,,3,0,13
Write-In,,,,,,0,13
Total,60,26,0,50,39,0,13
,District Council 6th District,,,Mayor,,,14
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,14
Bobby Henon,0,0,0,43,13,0,14
Pete Smith,,0,0,0,18,0,14
Write-In,,,0,0,0,0,14
Jim Kenney,,,,1,0,0,14
Billy Ciancaglini,,,,,1,0,14
Write-In,,,,,,0,14
Total,56,18,0,44,32,0,14
,District Council 6th District,,,Mayor,,,15
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,15
Bobby Henon,4,0,0,60,8,0,15
Pete Smith,,0,0,0,13,0,15
Write-In,,,0,0,0,0,15
Jim Kenney,,,,0,0,0,15
Billy Ciancaglini,,,,,2,0,15
Write-In,,,,,,0,15
Total,72,13,0,60,23,0,15
,District Council 6th District,,,Mayor,,,16
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,16
Bobby Henon,4,0,0,49,7,0,16
Pete Smith,,0,0,1,41,0,16
Write-In,,,0,0,0,0,16
Jim Kenney,,,,3,0,0,16
Billy Ciancaglini,,,,,3,0,16
Write-In,,,,,,0,16
Total,60,42,0,53,51,0,16
,District Council 6th District,,,Mayor,,,17
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,17
Bobby Henon,7,0,0,97,14,1,17
Pete Smith,,0,0,8,54,0,17
Write-In,,,0,0,0,0,17
Jim Kenney,,,,7,0,0,17
Billy Ciancaglini,,,,,4,0,17
Write-In,,,,,,0,17
Total,119,62,0,112,72,1,17
,District Council 6th District,,,Mayor,,,18
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,18
Bobby Henon,3,0,0,106,9,0,18
Pete Smith,,0,0,4,18,0,18
Write-In,,,0,0,0,1,18
Jim Kenney,,,,3,0,0,18
Billy Ciancaglini,,,,,1,0,18
Write-In,,,,,,0,18
Total,118,22,1,113,28,1,18
,District Council 6th District,,,Mayor,,,19
,Bobby Henon,Pete Smith,Write-In,Billy Ciancaglini,Jim Kenney,Write-In,19
Bobby Henon,2,0,0,15,56,2,19
Pete Smith,,2,0,42,4,0,19
Write-In,,,0,0,0,0,19
Billy Ciancaglini,,,,5,0,0,19
Jim Kenney,,,,,0,0,19
Write-In,,,,,,0,19
Total,75,48,0,62,60,2,19
,District Council 6th District,,,Mayor,,,20
,Bobby Henon,Pete Smith,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,20
Bobby Henon,6,0,0,255,77,0,20
Pete Smith,,2,0,12,160,0,20
Write-In,,,0,0,0,0,20
Jim Kenney,,,,21,0,0,20
Billy Ciancaglini,,,,,19,0,20
Write-In,,,,,,0,20
Total,338,174,0,288,256,0,20
,District Council 6th District,,,Mayor,,,21
